date,open,high,low,close,adj_close,volume,dividend,split
1999-11-01,64.5,65.19,63.94,64.87,15.46953875444359,4018200,0.0000,1.0
1999-11-02,64.94,65.75,64.19,64.25,15.321687451410522,3909800,0.0000,1.0
1999-11-03,64.75,64.75,62.94,63.0,15.023600146908372,4876700,0.0000,1.0
1999-11-04,63.88,64.5,63.5,63.5,15.142835068709232,5136800,0.0000,1.0
1999-11-05,65.5,66.87,65.0,65.06,15.514848024727916,4981800,0.0000,1.0
1999-11-08,65.44,67.0,65.25,66.0,15.739009677713533,3555500,0.0000,1.0
1999-11-09,66.31,66.44,63.38,63.94,15.247761799893988,4434000,0.0000,1.0
1999-11-10,63.25,64.81,62.81,64.0,15.262069990510092,4485800,0.0000,1.0
1999-11-11,64.0,64.0,62.5,63.0,15.023600146908372,3173400,0.0000,1.0
1999-11-12,63.5,66.81,63.5,66.5,15.858244599514393,4980800,0.0000,1.0
1999-11-15,66.06,66.44,65.56,65.75,15.679392216813103,4167200,0.0000,1.0
1999-11-16,66.06,67.5,65.87,67.5,16.096714443116113,5426300,0.0000,1.0
1999-11-17,66.87,67.12,66.12,66.56,15.872552790130497,3513500,0.0000,1.0
1999-11-18,66.5,66.94,65.25,65.37,15.58877367624445,4635800,0.0000,1.0
1999-11-19,65.44,66.12,64.81,65.12,15.52915621534402,2960100,0.0000,1.0
1999-11-22,64.37,64.69,63.81,64.25,15.321687451410522,4653100,0.0000,1.0
1999-11-23,63.63,63.88,62.19,62.63,14.935366304775735,3817000,0.0000,1.0
1999-11-24,61.25,61.56,59.75,60.0,14.30819061610321,6184300,0.0000,1.0
1999-11-26,59.94,61.38,59.81,60.5,14.427425537904071,2333300,0.0000,1.0
1999-11-29,60.13,60.19,56.31,56.94,13.578472894681946,7984500,0.0000,1.0
1999-11-30,57.5,59.5,57.44,58.61,13.976717533496819,7492700,0.0000,1.0
1999-12-01,57.13,59.0,57.13,57.88,13.921869469468426,4690100,0.5000,1.0
1999-12-02,57.38,58.19,55.5,56.38,13.561074649077918,6197800,0.0000,1.0
1999-12-03,57.38,58.25,57.13,57.44,13.816036322153876,7211900,0.0000,1.0
1999-12-06,56.13,56.88,54.5,55.34,13.310923573607166,6910000,0.0000,1.0
1999-12-07,54.81,54.94,52.25,52.5,12.627818713667802,10122600,0.0000,1.0
1999-12-08,50.13,51.56,50.13,50.69,12.192459630396588,10318900,0.0000,1.0
1999-12-09,50.94,51.31,49.0,50.94,12.252592100461673,9630000,0.0000,1.0
1999-12-10,52.0,54.5,52.0,53.63,12.899617478361986,8036500,0.0000,1.0
1999-12-13,53.0,53.13,52.0,52.64,12.66149289690425,5364200,0.0000,1.0
1999-12-14,52.0,52.25,50.63,51.13,12.298292777711138,5939200,0.0000,1.0
1999-12-15,51.06,51.5,49.69,50.66,12.185243733988777,7240200,0.0000,1.0
1999-12-16,49.94,50.44,48.81,50.19,12.072194690266418,8177400,0.0000,1.0
1999-12-17,50.0,50.44,48.38,48.75,11.72583166269153,12621200,0.0000,1.0
1999-12-20,48.94,49.63,47.94,48.0,11.545434252496277,6203500,0.0000,1.0
1999-12-21,47.81,51.06,47.63,49.31,11.86052839563732,7993100,0.0000,1.0
1999-12-22,49.5,50.13,48.44,48.5,11.665699192626445,6098100,0.0000,1.0
1999-12-23,49.19,49.5,49.13,49.38,11.877365487255544,5265000,0.0000,1.0
1999-12-27,49.75,50.63,49.0,49.0,11.785964132756614,5414500,0.0000,1.0
1999-12-28,49.06,49.69,49.0,49.31,11.86052839563732,3632700,0.0000,1.0
1999-12-29,49.5,50.25,49.19,49.88,11.997630427385714,4057600,0.0000,1.0
1999-12-30,50.0,50.88,49.75,50.69,12.192459630396588,3368100,0.0000,1.0
1999-12-31,50.56,50.94,50.0,50.19,12.072194690266418,2643800,0.0000,1.0
2000-01-03,50.25,50.25,48.0,48.44,11.651267399810825,6852900,0.0000,1.0
2000-01-04,47.75,47.94,44.94,45.56,10.958541344661048,13646700,0.0000,1.0
