date,open,high,low,close,adj_close,volume,dividend,split
1999-11-01,55.31,55.94,54.38,54.63,14.05137240772405,1718900,0.0000,1.0
1999-11-02,55.38,57.06,55.19,56.06,14.419182448782909,1558700,0.0000,1.0
1999-11-03,56.75,57.5,56.19,56.63,14.565792045568607,1805700,0.0000,1.0
1999-11-04,56.75,56.81,54.44,54.56,14.033367720399491,1051100,0.0000,1.0
1999-11-05,55.0,56.0,54.25,54.75,14.082237585994724,1408500,0.0000,1.0
1999-11-08,54.19,54.81,53.44,54.06,13.904762810938353,866200,0.0000,1.0
1999-11-09,54.06,54.13,53.38,53.88,13.858465043532343,1050100,0.0000,1.0
1999-11-10,53.88,54.38,53.44,53.75,13.825027767072445,720100,0.0000,1.0
1999-11-11,53.75,55.0,53.25,55.0,14.146540040725293,1142500,0.0000,1.0
1999-11-12,54.13,55.44,53.19,55.0,14.146540040725293,1602700,0.0000,1.0
1999-11-15,55.44,56.25,54.25,55.56,14.29057753932177,1347700,0.0000,1.0
1999-11-16,55.63,57.69,55.63,56.81,14.612089812974617,1661400,0.0000,1.0
1999-11-17,56.69,57.06,55.38,55.38,14.24427977191576,1044400,0.0000,1.0
1999-11-18,55.38,56.63,55.31,55.94,14.388317270512234,997400,0.0000,1.0
1999-11-19,51.5,52.5,49.0,49.19,12.652150992786858,7474200,0.0000,1.0
1999-11-22,48.5,50.94,47.88,50.25,12.924793400844472,4108500,0.0000,1.0
1999-11-23,50.25,50.25,48.94,50.19,12.909360811709135,1807300,0.0000,1.0
1999-11-24,49.0,49.31,48.13,48.56,12.490108806865823,2077300,0.0000,1.0
1999-11-26,48.19,48.31,47.63,48.13,12.379508584729244,887600,0.0000,1.0
1999-11-29,47.5,47.75,46.19,46.19,11.880521536020023,1978000,0.0000,1.0
1999-11-30,45.63,48.19,45.63,46.38,11.929391401615257,2425700,0.0000,1.0
1999-12-01,46.19,47.5,46.19,46.94,12.07342890021173,1343600,0.0000,1.0
1999-12-02,47.88,48.63,47.5,47.5,12.217466398808208,1920400,0.0000,1.0
1999-12-03,48.0,49.19,47.44,48.27,12.415517959378363,2325200,0.0000,1.0
1999-12-06,48.25,48.63,47.44,47.63,12.250903675268104,1259400,0.0000,1.0
1999-12-07,47.88,47.88,45.31,45.69,11.751916626558884,2021800,0.0000,1.0
1999-12-08,45.19,45.69,44.69,45.13,11.60787912796241,3106300,0.0000,1.0
1999-12-09,45.63,46.5,45.44,45.81,11.782781804829558,1871900,0.0000,1.0
1999-12-10,46.0,47.06,46.0,46.69,12.009126445481161,2316000,0.0000,1.0
1999-12-13,46.56,46.94,45.75,46.32,11.913958812479919,1557400,0.0000,1.0
1999-12-14,45.5,47.69,45.5,46.13,11.865088946884688,2210300,0.0000,1.0
1999-12-15,46.0,47.25,45.81,46.52,11.965400776264376,1733500,0.0000,1.0
1999-12-16,46.0,47.5,46.0,47.13,12.122298765806965,1470900,0.0000,1.0
1999-12-17,47.12,47.44,44.94,44.94,11.559009262367175,2661500,0.0000,1.0
1999-12-20,45.0,45.75,44.94,45.13,11.60787912796241,1416700,0.0000,1.0
1999-12-21,44.44,45.0,43.13,44.38,11.414971763770701,1752300,0.0000,1.0
1999-12-22,44.06,44.81,43.38,43.38,11.157761944848422,1262100,0.0000,1.0
1999-12-23,44.19,45.44,44.06,44.81,11.52557198590728,1109600,0.0000,1.0
1999-12-27,45.5,46.94,45.25,46.44,11.944823990750592,1743800,0.0000,1.0
1999-12-28,46.69,48.06,46.38,47.56,12.232898987943544,1546800,0.0000,1.0
1999-12-29,47.69,48.06,46.25,46.5,11.960256579885929,1593200,0.0000,1.0
1999-12-30,46.75,47.56,45.88,46.0,11.83165167042479,1357400,0.0000,1.0
1999-12-31,45.75,47.44,45.69,47.06,12.104294078482406,762800,0.0000,1.0
2000-01-03,48.88,49.0,48.5,48.63,12.508113494190383,2527500,0.0000,1.0
2000-01-04,48.13,49.75,48.0,48.0,12.346071308269346,3090700,0.0000,1.0
2000-01-05,48.06,49.88,48.0,49.81,12.811621080518671,3199300,0.0000,1.0
2000-01-06,51.0,52.25,50.56,51.63,13.279742950957218,2570300,0.0000,1.0
2000-01-07,52.88,55.0,52.75,53.31,13.711855446746643,3180100,0.0000,1.0
2000-01-10,54.06,54.56,51.5,51.56,13.261738263632656,1841100,0.0000,1.0
2000-01-11,51.63,53.19,50.75,50.75,13.053398310305612,1972800,0.0000,1.0
2000-01-12,51.5,52.31,51.13,51.63,13.279742950957218,1700500,0.0000,1.0
2000-01-13,53.19,53.38,52.06,52.19,13.423780449553691,1564700,0.0000,1.0
2000-01-14,52.06,52.88,51.88,51.94,13.359477994823122,1522200,0.0000,1.0
2000-01-18,51.56,51.75,49.88,49.94,12.928651548128308,2027100,0.3250,1.0
2000-01-19,49.94,50.69,49.31,49.31,12.7655548225512,1712300,0.0000,1.0
2000-01-20,49.56,49.94,47.06,47.13,12.201188375316123,2139600,0.0000,1.0
2000-01-21,47.19,47.94,45.63,47.38,12.265909298164182,2500000,0.0000,1.0
