date,open,high,low,close,adj_close,volume,dividend,split
1999-11-01,37.75,38.0,36.88,37.25,7.774961335649233,134200,0.0000,1.0
1999-11-02,37.25,37.25,35.53,36.13,7.541190686094143,300867,0.0000,1.0
1999-11-03,36.13,36.25,35.13,35.19,7.344990319503262,438667,0.0000,1.0
1999-11-04,35.31,37.0,35.25,36.94,7.710256959433091,182667,0.0000,1.0
1999-11-05,37.34,38.63,36.69,36.88,7.697733531778356,192867,0.0000,1.0
1999-11-08,37.13,40.5,37.06,40.25,8.401132718386085,305600,0.0000,1.0
1999-11-09,40.44,42.19,40.25,41.25,8.609856512631701,291667,0.0000,1.0
1999-11-10,40.44,41.0,39.38,40.31,8.413656146040822,343467,0.0000,1.0
1999-11-11,40.56,41.13,39.94,40.94,8.54515213641556,698600,0.0000,1.0
1999-11-12,41.13,43.63,40.56,43.38,9.054438194374866,934200,0.0000,1.0
1999-11-15,43.63,43.63,41.13,41.31,8.62237994028644,107400,0.0000,1.0
1999-11-16,41.63,44.13,41.5,44.0,9.183846946807149,369267,0.0000,1.0
1999-11-17,44.38,44.69,43.0,43.0,8.975123152561531,491400,0.0000,1.0
1999-11-18,43.06,44.13,43.06,43.88,9.158800091497675,329000,0.0000,1.0
1999-11-19,44.13,45.38,43.25,43.38,9.054438194374866,398200,0.0000,1.0
1999-11-22,43.88,43.88,41.5,42.06,8.778922785970652,187200,0.0000,1.0
1999-11-23,42.13,42.44,40.0,40.0,8.34895176982468,363800,0.0000,1.0
1999-11-24,39.97,42.88,39.63,42.56,8.88328468309346,253600,0.0000,1.0
1999-11-26,42.88,42.88,41.0,41.06,8.570198991725034,58600,0.0000,1.0
1999-11-29,41.19,43.44,40.38,41.88,8.741352503006441,259200,0.0000,1.0
1999-11-30,41.75,43.38,41.33,42.13,8.793533451567844,263000,0.0000,1.0
1999-12-01,42.25,42.5,39.56,40.75,8.505494615508892,325867,0.0000,1.0
1999-12-02,40.81,41.56,40.44,41.44,8.649514033538368,124000,0.0000,1.0
1999-12-03,41.69,43.56,41.69,43.38,9.054438194374866,251400,0.0000,1.0
1999-12-06,43.13,44.88,42.19,42.63,8.897895348690653,395067,0.0000,1.0
1999-12-07,42.81,43.88,42.0,42.81,8.935465631654864,315000,0.0000,1.0
1999-12-08,42.75,43.69,42.56,43.38,9.054438194374866,300467,0.0000,1.0
1999-12-09,43.75,49.19,43.69,48.69,10.162761541819092,618000,0.0000,1.0
1999-12-10,48.94,48.94,46.63,46.75,9.757837380982595,251000,0.0000,1.0
1999-12-13,47.06,48.69,46.75,47.0,9.810018329543999,339400,0.0000,1.0
1999-12-14,46.94,47.75,45.0,45.0,9.392570741052765,307267,0.0000,1.0
1999-12-15,44.94,47.38,44.5,44.94,9.380047313398029,226000,0.0000,1.0
1999-12-16,45.63,47.31,45.13,47.31,9.87472270576014,193867,0.0000,1.0
1999-12-17,47.56,49.13,47.38,48.75,10.175284969473829,264467,0.0000,1.0
1999-12-20,48.72,48.72,46.75,46.81,9.770360808637333,193467,0.0000,1.0
1999-12-21,47.06,47.94,46.5,47.88,9.993695268480144,233800,0.0000,1.0
1999-12-22,47.06,50.0,46.44,48.94,10.214942490380496,181067,0.0000,1.0
1999-12-23,49.5,53.13,49.34,53.13,11.089495188269632,373067,0.0000,1.0
1999-12-27,53.88,54.63,50.38,52.19,10.89329482167875,262667,0.0000,1.0
1999-12-28,52.5,52.69,49.5,50.13,10.46332380553278,131200,0.0000,1.0
1999-12-29,49.75,50.56,47.81,49.81,10.396532191374183,351600,0.0000,1.0
1999-12-30,49.72,51.13,48.19,48.25,10.07092307235102,160000,0.0000,1.0
1999-12-31,48.5,48.5,47.13,47.88,9.993695268480144,261867,0.0000,1.0
2000-01-03,48.44,49.0,46.75,46.75,9.757837380982595,777867,0.0000,1.0
2000-01-04,45.63,47.13,42.0,43.25,9.027304101122935,354467,0.0000,1.0
2000-01-05,42.75,43.0,40.88,42.06,8.778922785970652,276267,0.0000,1.0
2000-01-06,41.75,45.13,41.38,43.75,9.131665998245744,367667,0.0000,1.0
2000-01-07,43.88,43.88,41.63,42.38,8.84571440012925,246200,0.0000,1.0
2000-01-10,45.69,49.25,44.88,47.81,9.97908460288295,780067,0.0000,1.0
2000-01-11,48.5,48.75,43.0,43.44,9.066961622029602,704667,0.0000,1.0
2000-01-12,43.88,46.88,42.88,45.19,9.432228261959432,510000,0.0000,1.0
2000-01-13,45.94,47.94,45.81,47.75,9.966561175228213,241200,0.0000,1.0
2000-01-14,48.56,49.63,48.0,48.81,10.187808397128567,328600,0.0000,1.0
2000-01-18,48.13,49.38,46.94,48.5,10.123104020912425,570867,0.0000,1.0
2000-01-19,49.0,52.0,48.88,51.44,10.736751975994538,607667,0.0000,1.0
2000-01-20,52.03,52.38,49.38,49.88,10.411142856971377,280400,0.0000,1.0
2000-01-21,50.38,50.75,48.81,49.63,10.358961908409972,271800,0.0000,1.0
2000-01-24,50.0,50.44,48.19,48.5,10.123104020912425,202467,0.0000,1.0
2000-01-25,47.75,48.0,44.63,45.69,9.536590159082241,249600,0.0000,1.0
2000-01-26,45.56,47.0,44.88,46.56,9.718179860075928,175000,0.0000,1.0
2000-01-27,46.88,49.73,46.31,46.56,9.718179860075928,163000,0.0000,1.0
2000-01-28,46.31,46.31,42.88,43.0,8.975123152561531,179467,0.0000,1.0
2000-01-31,43.53,43.56,40.75,43.13,9.002257245813462,300600,0.0000,1.0
2000-02-01,43.06,44.56,41.88,44.25,9.236027895368553,156800,0.0000,1.0
2000-02-02,45.63,48.0,44.88,46.88,9.784971474234526,197400,0.0000,1.0
2000-02-03,48.34,48.5,45.75,48.31,10.083446500005758,179200,0.0000,1.0
2000-02-04,48.41,49.38,48.19,48.5,10.123104020912425,187200,0.0000,1.0
2000-02-07,49.44,49.5,47.0,47.63,9.941514319918738,190267,0.0000,1.0
2000-02-08,48.38,48.38,47.13,47.81,9.97908460288295,108067,0.0000,1.0
2000-02-09,48.0,48.06,45.38,45.38,9.471885782866101,100200,0.0000,1.0
2000-02-10,45.5,46.63,45.0,46.63,9.732790525673122,105467,0.0000,1.0
2000-02-11,46.63,47.0,46.06,46.5,9.705656432421192,142600,0.0000,1.0
2000-02-14,46.38,46.63,44.06,44.44,9.27568541627522,120067,0.0000,1.0
2000-02-15,44.47,46.72,43.95,45.75,9.549113586736977,86800,0.0000,1.0
2000-02-16,45.38,45.38,43.0,43.38,9.054438194374866,131600,0.0000,1.0
2000-02-17,43.81,44.19,41.31,43.06,8.98764658021627,168000,0.0000,1.0
2000-02-18,43.06,43.13,39.5,39.5,8.244589872701871,130267,0.0000,1.0
2000-02-22,39.84,41.0,39.38,40.0,8.34895176982468,373667,0.0000,1.0
2000-02-23,40.38,42.88,39.75,42.31,8.831103734532055,188000,0.0000,1.0
2000-02-24,42.81,42.81,38.88,39.63,8.271723965953802,122200,0.0000,1.0
2000-02-25,39.63,42.38,39.5,41.75,8.71421840975451,200867,0.0000,1.0
2000-02-28,42.25,42.81,40.88,41.38,8.636990605883632,355667,0.0000,1.0
2000-02-29,42.06,42.06,39.19,40.0,8.34895176982468,273000,0.0000,1.0
2000-03-01,39.97,41.31,37.25,40.63,8.48044776019942,556200,0.0000,1.0
2000-03-02,40.94,41.5,38.0,38.38,8.01081922314678,275667,0.0000,1.0
2000-03-03,38.75,39.88,37.5,39.31,8.204932351795206,334400,0.0000,1.0
2000-03-06,39.81,40.0,38.75,39.13,8.167362068830993,231667,0.0000,1.0
2000-03-07,39.66,39.75,38.25,38.44,8.023342650801517,157467,0.0000,1.0
2000-03-08,38.5,39.5,38.31,39.25,8.192408924140468,129267,0.0000,1.0
2000-03-09,39.25,39.81,38.06,39.81,8.309294248918013,339467,0.0000,1.0
2000-03-10,39.56,40.31,38.06,38.13,7.958638274585377,453667,0.0000,1.0
2000-03-13,38.31,38.31,35.5,36.25,7.566237541403616,767400,0.0000,1.0
2000-03-14,36.81,37.31,34.56,36.5,7.618418489965021,433200,0.0000,1.0
2000-03-15,37.75,38.75,37.0,38.06,7.944027608988184,348400,0.0000,1.0
2000-03-16,38.75,40.69,38.25,40.69,8.492971187854156,293200,0.0000,1.0
2000-03-17,39.88,40.28,39.0,39.31,8.204932351795206,83067,0.0000,1.0
2000-03-20,39.88,40.69,38.63,38.69,8.075523599362922,235200,0.0000,1.0
2000-03-21,39.0,39.5,37.56,38.31,7.996208557549588,288400,0.0000,1.0
2000-03-22,38.25,38.31,36.81,37.5,7.8271422842106375,648667,0.0000,1.0
2000-03-23,36.94,38.19,36.38,37.94,7.918980753678709,447267,0.0000,1.0
2000-03-24,38.25,38.44,36.87,37.81,7.891846660426779,580200,0.0000,1.0
2000-03-27,37.63,38.81,36.13,38.19,7.971161702240113,391200,0.0000,1.0
2000-03-28,38.25,38.25,36.38,36.56,7.630941917619758,265867,0.0000,1.0
2000-03-29,36.5,37.19,36.0,36.88,7.697733531778356,259667,0.0000,1.0
2000-03-30,36.75,38.38,36.63,37.38,7.802095428901164,211667,0.0000,1.0
2000-03-31,37.63,41.25,37.63,41.25,8.609856512631701,233267,0.0000,1.0
2000-04-03,40.13,42.75,40.0,41.75,8.71421840975451,287200,0.0000,1.0
2000-04-04,41.5,43.25,38.25,40.94,8.54515213641556,322000,0.0000,1.0
2000-04-05,39.75,41.44,38.88,38.94,8.127704547924326,234400,0.0000,1.0
2000-04-06,39.44,39.81,38.13,39.22,8.186147210313099,141200,0.0000,1.0
2000-04-07,39.38,39.69,38.63,39.31,8.204932351795206,50800,0.0000,1.0
2000-04-10,38.56,39.31,37.75,37.75,7.879323232772042,98400,0.0000,1.0
2000-04-11,37.91,38.0,36.0,36.13,7.541190686094143,305267,0.0000,1.0
2000-04-12,36.25,40.31,36.06,39.56,8.25711330035661,400600,0.0000,1.0
2000-04-13,39.56,40.5,36.94,36.94,7.710256959433091,116000,0.0000,1.0
2000-04-14,36.5,37.13,35.0,35.06,7.317856226251333,394600,0.0000,1.0
2000-04-17,35.25,36.44,33.5,36.44,7.6058950623102834,433867,0.0000,1.0
2000-04-18,36.0,36.25,34.75,35.81,7.4743990719355455,387067,0.0000,1.0
