date,open,high,low,close,adj_close,volume,dividend,split
1999-11-01,52.5,52.88,49.38,50.19,35.94711126201004,1882000,0.0000,1.0
1999-11-02,50.0,52.94,50.0,51.0,36.527249937487795,1329000,0.0000,1.0
1999-11-03,51.19,51.94,50.5,50.75,36.3481947907354,728100,0.0000,1.0
1999-11-04,50.75,52.19,50.69,51.69,37.02144214252439,1028300,0.0000,1.0
1999-11-05,54.5,54.88,53.06,53.13,38.05279978781817,2151800,0.0000,1.0
1999-11-08,53.06,53.13,49.5,49.94,35.76805611525765,2952500,0.0000,1.0
1999-11-09,50.75,51.19,49.06,49.44,35.40994582175287,1022400,0.0000,1.0
1999-11-10,49.06,49.56,45.5,45.5,32.588036708935185,1346200,0.0000,1.0
1999-11-11,46.0,46.69,45.5,45.75,32.76709185568758,2689400,0.0000,1.0
1999-11-12,46.88,51.06,46.88,50.63,36.262248320294255,1298300,0.0000,1.0
1999-11-15,50.63,51.0,49.38,50.19,35.94711126201004,815200,0.0000,1.0
1999-11-16,50.5,52.56,50.5,51.81,37.12648305381522,996800,0.0267,1.0
1999-11-17,51.63,51.63,49.19,49.38,35.385171457197366,1016400,0.0000,1.0
1999-11-18,50.0,50.25,48.69,49.88,35.743466024402686,855700,0.0000,1.0
1999-11-19,49.63,50.31,49.06,50.0,35.829456720531965,604100,0.0000,1.0
1999-11-22,50.0,50.0,47.75,48.06,34.43927379977532,683400,0.0000,1.0
1999-11-23,47.94,48.0,46.5,47.25,33.858836600902706,673600,0.0000,1.0
1999-11-24,46.88,47.25,46.31,47.06,33.72268466536468,317800,0.0000,1.0
1999-11-26,46.81,47.63,46.69,47.31,33.90183194896734,207100,0.0000,1.0
1999-11-29,47.06,47.06,45.44,45.88,32.87710948676013,758800,0.0000,1.0
1999-11-30,45.63,47.5,45.31,46.56,33.36439009815936,1566700,0.0000,1.0
1999-12-01,47.13,47.31,45.94,46.4,33.24973583665366,1384700,0.0000,1.0
1999-12-02,45.75,48.13,45.75,47.94,34.35328310364604,1079400,0.0000,1.0
1999-12-03,49.75,50.94,49.56,50.75,36.36689857133994,1167600,0.0000,1.0
1999-12-06,51.5,51.5,49.5,50.69,36.3239032232753,1094200,0.0000,1.0
