date,open,high,low,close,adj_close,volume,dividend,split
1999-11-01,40.38,40.75,39.81,40.38,1.3926298471854464,613100,0.0000,1.0
1999-11-02,40.12,40.25,39.31,39.5,1.3622803111398,406500,0.0000,1.0
1999-11-03,39.25,39.25,38.62,39.0,1.3450362565684102,619900,0.0000,1.0
1999-11-04,38.75,39.38,38.56,39.06,1.3471055431169772,558000,0.0000,1.0
1999-11-05,39.19,39.38,38.25,39.0,1.3450362565684102,332900,0.0000,1.0
1999-11-08,38.5,39.44,38.5,39.25,1.3536582838541051,411700,0.0000,1.0
1999-11-09,40.0,40.56,40.0,40.56,1.3988377068311466,599100,0.0000,1.0
1999-11-10,40.38,40.75,39.75,40.19,1.386077106448318,516800,0.0000,1.0
1999-11-11,40.19,40.94,40.0,40.5,1.3967684202825799,317900,0.0000,1.0
1999-11-12,40.5,41.0,40.38,40.88,1.4098739017568362,207100,0.0000,1.0
1999-11-15,40.5,41.37,40.5,41.13,1.4184959290425312,233800,0.0000,1.0
1999-11-16,41.0,41.56,40.31,41.06,1.4160817614025365,190800,0.0000,1.0
1999-11-17,40.56,40.62,39.19,39.69,1.368833051876928,267000,0.0000,1.0
1999-11-18,39.69,39.94,38.62,39.5,1.3622803111398,237000,0.0000,1.0
1999-11-19,39.94,39.94,39.12,39.25,1.3536582838541051,440200,0.0000,1.0
1999-11-22,38.75,38.81,38.44,38.56,1.340207921288421,579800,0.3000,1.0
1999-11-23,38.5,38.5,37.81,37.81,1.3141405991679254,423900,0.0000,1.0
1999-11-24,37.94,37.94,36.69,37.5,1.303366106024787,229100,0.0000,1.0
1999-11-26,36.87,37.44,36.81,37.12,1.2901586628170691,98500,0.0000,1.0
1999-11-29,36.87,36.87,35.88,36.38,1.2644389049915135,363500,0.0000,1.0
1999-11-30,36.63,37.5,35.44,35.56,1.2359386328064381,651300,0.0000,1.0
1999-12-01,35.88,36.25,35.25,35.81,1.2446277401799366,445600,0.0000,1.0
1999-12-02,35.88,36.12,35.13,35.19,1.22307875389366,371200,0.0000,1.0
1999-12-03,34.94,36.63,34.94,36.31,1.2620059549269338,488100,0.0000,1.0
1999-12-06,35.5,35.81,35.19,35.56,1.2359386328064381,295000,0.0000,1.0
1999-12-07,35.5,35.69,35.19,35.25,1.2251641396632997,312400,0.0000,1.0
1999-12-08,35.31,35.56,35.13,35.44,1.2317678612671585,424900,0.0000,1.0
1999-12-09,35.44,35.75,35.37,35.5,1.2338532470367984,465600,0.0000,1.0
1999-12-10,35.5,35.69,35.37,35.62,1.2380240185760776,370100,0.0000,1.0
1999-12-13,35.44,35.88,35.25,35.37,1.229334911202579,739700,0.0000,1.0
1999-12-14,35.31,35.37,34.81,34.94,1.2143896465201616,357700,0.0000,1.0
1999-12-15,35.19,35.31,35.0,35.06,1.218560418059441,708000,0.0000,1.0
1999-12-16,35.06,35.44,34.88,35.06,1.218560418059441,354200,0.0000,1.0
1999-12-17,35.0,35.75,34.88,35.0,1.2164750322898013,914300,0.0000,1.0
1999-12-20,35.37,35.75,34.12,34.25,1.1904077101693056,358200,0.0000,1.0
1999-12-21,29.13,30.69,28.81,29.0,1.0079364553258352,3481700,0.0000,1.0
1999-12-22,29.0,29.19,28.88,29.06,1.0100218410954749,1811700,0.0000,1.0
1999-12-23,29.5,31.06,29.25,30.19,1.0492966064236886,688100,0.0000,1.0
1999-12-27,30.19,32.62,30.19,31.56,1.0969129148304608,712900,0.0000,1.0
1999-12-28,31.44,32.31,31.44,32.13,1.1167240796420377,509300,0.0000,1.0
1999-12-29,31.5,32.0,30.87,31.0,1.077449314313824,426100,0.0000,1.0
1999-12-30,31.06,31.69,30.87,31.31,1.0882238074569621,420600,0.0000,1.0
1999-12-31,31.31,31.5,30.56,31.38,1.0906567575215418,364000,0.0000,1.0
2000-01-03,31.38,31.94,30.25,30.94,1.0753639285441843,506600,0.0000,1.0
2000-01-04,30.06,30.75,29.56,30.0,1.0426928848198296,422700,0.0000,1.0
2000-01-05,30.19,30.87,29.75,30.63,1.0645894354010461,566500,0.0000,1.0
2000-01-06,30.63,33.44,30.19,32.0,1.1122057438078183,884100,0.0000,1.0
2000-01-07,32.0,32.06,31.62,32.0,1.1122057438078183,567200,0.0000,1.0
2000-01-10,31.88,32.06,31.75,32.0,1.1122057438078183,475300,0.0000,1.0
2000-01-11,32.0,32.69,32.0,32.0,1.1122057438078183,557600,0.0000,1.0
2000-01-12,32.0,32.44,31.94,32.13,1.1167240796420377,532700,0.0000,1.0
2000-01-13,32.0,33.06,31.88,32.56,1.1316693443244552,519200,0.0000,1.0
2000-01-14,32.13,32.62,32.0,32.25,1.1208948511813168,469200,0.0000,1.0
2000-01-18,32.0,32.31,31.75,31.75,1.1035166364343196,414600,0.0000,1.0
2000-01-19,31.75,32.0,31.38,31.75,1.1035166364343196,1836000,0.0000,1.0
2000-01-20,31.44,31.62,30.0,30.31,1.0534673779629677,862200,0.0000,1.0
2000-01-21,31.62,31.62,30.56,30.69,1.0666748211706858,505700,0.0000,1.0
2000-01-24,31.31,31.31,30.12,30.56,1.0621564853364664,471000,0.0000,1.0
2000-01-25,30.56,31.31,29.94,30.06,1.0447782705894693,918000,0.0000,1.0
2000-01-26,30.63,30.75,29.62,29.94,1.04060749905019,2365400,0.0000,1.0
2000-01-27,29.94,30.63,29.81,30.38,1.0559003280275474,801400,0.0000,1.0
2000-01-28,30.0,30.0,28.56,29.13,1.0124547911600545,850700,0.0000,1.0
2000-01-31,29.37,29.69,29.06,29.25,1.016625562699334,550600,0.0000,1.0
2000-02-01,29.25,29.31,28.81,28.94,1.0058510695561957,263400,0.0000,1.0
2000-02-02,28.94,28.94,28.0,28.25,0.9818691332053395,434700,0.0000,1.0
2000-02-03,28.38,28.56,27.75,27.87,0.9686616899976217,391400,0.0000,1.0
2000-02-04,28.12,28.38,27.56,27.69,0.9624055326887028,1334800,0.0000,1.0
2000-02-07,27.69,27.87,26.13,26.13,0.9081855026780715,663500,0.0000,1.0
2000-02-08,25.5,26.0,24.75,24.75,0.8602216299763594,1840000,0.0000,1.0
2000-02-09,25.44,25.81,24.75,25.0,0.868910737349858,1548500,0.0000,1.0
2000-02-10,23.75,24.19,22.88,23.0,0.7993978783618694,1768600,0.0000,1.0
2000-02-11,23.0,23.06,21.12,21.63,0.7517815699550972,1047500,0.0000,1.0
2000-02-14,21.5,22.31,21.0,21.87,0.7601231130336559,2948800,0.0000,1.0
2000-02-15,22.25,22.62,21.87,22.0,0.7646414488678751,872500,0.0000,1.0
2000-02-16,22.12,22.56,21.75,21.94,0.7625560630982354,1125900,0.0000,1.0
2000-02-17,22.0,22.75,21.44,22.5,0.7820196636148722,1097600,0.0000,1.0
2000-02-18,22.38,22.38,21.56,21.81,0.7580377272640161,710400,0.0000,1.0
2000-02-22,21.56,22.75,21.56,22.44,0.7799342778452326,732600,0.0000,1.0
2000-02-23,22.0,22.0,21.25,21.38,0.7535193914297968,884500,0.3000,1.0
2000-02-24,21.31,21.69,20.25,21.69,0.7644450701642794,1258900,0.0000,1.0
2000-02-25,21.5,21.69,21.06,21.25,0.7489376551863042,1137100,0.0000,1.0
2000-02-28,21.25,22.19,21.06,21.75,0.7665597176612761,773400,0.0000,1.0
2000-02-29,21.75,22.56,21.75,22.19,0.7820671326392513,1781300,0.0000,1.0
2000-03-01,22.19,22.88,21.81,22.5,0.7929928113737339,923600,0.0000,1.0
2000-03-02,22.5,22.62,21.75,22.0,0.775370748898762,669100,0.0000,1.0
2000-03-03,22.25,23.44,22.12,22.88,0.8063855788547124,621300,0.0000,1.0
2000-03-06,22.44,22.44,22.0,22.31,0.7862964276332445,468900,0.0000,1.0
2000-03-07,22.12,22.12,21.19,21.25,0.7489376551863042,585100,0.0000,1.0
2000-03-08,21.38,22.94,21.38,22.75,0.8018038426112197,2095000,0.0000,1.0
2000-03-09,22.5,22.5,21.75,22.12,0.7796000438927553,353200,0.0000,1.0
2000-03-10,22.0,22.56,21.94,22.25,0.784181780136248,300500,0.0000,1.0
2000-03-13,22.31,22.31,21.56,21.87,0.7707890126552693,349000,0.0000,1.0
2000-03-14,21.63,21.81,21.44,21.56,0.7598633339207866,613000,0.0000,1.0
2000-03-15,21.56,23.37,21.5,23.37,0.8236552000801849,516700,0.0000,1.0
2000-03-16,23.25,24.56,23.06,24.44,0.8613664137766247,949100,0.0000,1.0
2000-03-17,25.0,25.44,24.56,25.31,0.8920288024830757,1067500,0.0000,1.0
2000-03-20,25.5,25.62,24.63,24.87,0.8765213875051006,438600,0.0000,1.0
2000-03-21,25.12,25.5,24.5,25.12,0.8853324187425864,787600,0.0000,1.0
2000-03-22,25.12,25.44,24.69,24.87,0.8765213875051006,497300,0.0000,1.0
2000-03-23,24.87,25.25,24.38,24.81,0.8744067400081038,400800,0.0000,1.0
2000-03-24,24.81,24.94,24.12,24.31,0.8567846775331319,626400,0.0000,1.0
2000-03-27,24.5,24.69,24.0,24.19,0.8525553825391388,682600,0.0000,1.0
2000-03-28,23.75,24.12,23.06,23.69,0.8349333200641669,466200,0.0000,1.0
2000-03-29,23.62,23.94,23.5,23.81,0.83916261505816,426600,0.0000,1.0
2000-03-30,23.69,23.94,23.25,23.94,0.8437443513016528,568200,0.0000,1.0
2000-03-31,23.25,24.38,23.13,23.5,0.8282369363236776,894700,0.0000,1.0
2000-04-03,23.75,23.75,22.81,23.0,0.8106148738487057,732600,0.0000,1.0
2000-04-04,23.0,23.25,22.56,23.06,0.8127295213457023,948500,0.0000,1.0
2000-04-05,23.0,24.12,22.62,23.88,0.8416297038046562,634100,0.0000,1.0
2000-04-06,23.88,24.56,23.5,23.69,0.8349333200641669,677200,0.0000,1.0
2000-04-07,23.37,23.62,22.5,22.62,0.7972221063677272,809900,0.0000,1.0
2000-04-10,22.62,22.94,22.19,22.31,0.7862964276332445,790300,0.0000,1.0
2000-04-11,22.5,23.0,22.19,22.44,0.7908781638767373,1464400,0.0000,1.0
2000-04-12,22.0,22.69,21.44,21.81,0.7686743651582726,1301000,0.0000,1.0
2000-04-13,22.0,22.31,20.88,21.75,0.7665597176612761,2858000,0.0000,1.0
2000-04-14,22.0,22.0,20.88,21.31,0.7510523026833008,1137300,0.0000,1.0
2000-04-17,21.06,21.5,20.88,20.88,0.735897328954825,757800,0.0000,1.0
2000-04-18,20.62,21.31,20.56,21.06,0.7422412714458149,507600,0.0000,1.0
2000-04-19,21.19,22.0,20.88,21.06,0.7422412714458149,417500,0.0000,1.0
2000-04-20,20.94,21.19,20.56,20.62,0.7267338564678397,667400,0.0000,1.0
2000-04-24,20.75,22.0,20.62,20.94,0.7380119764518217,605800,0.0000,1.0
2000-04-25,20.81,22.12,20.75,21.75,0.7665597176612761,802100,0.0000,1.0
2000-04-26,21.75,22.25,21.75,21.87,0.7707890126552693,561900,0.0000,1.0
2000-04-27,21.75,21.75,20.75,20.88,0.735897328954825,879400,0.0000,1.0
2000-04-28,20.81,20.94,20.37,20.94,0.7380119764518217,861800,0.0000,1.0
2000-05-01,20.69,21.31,20.62,21.19,0.7468230076893076,556500,0.0000,1.0
2000-05-02,21.0,21.19,20.62,21.06,0.7422412714458149,781900,0.0000,1.0
2000-05-03,21.19,21.19,20.56,20.56,0.724619208970843,1090800,0.0000,1.0
2000-05-04,20.56,20.56,19.75,19.94,0.7027678515018779,655000,0.0000,1.0
2000-05-05,20.0,20.44,19.75,20.13,0.7094642352423671,843700,0.0000,1.0
2000-05-08,20.69,21.12,20.56,20.88,0.735897328954825,796800,0.0000,1.0
2000-05-09,21.0,22.06,21.0,21.81,0.7686743651582726,1008400,0.0000,1.0
2000-05-10,21.75,22.38,21.5,21.63,0.7623304226672828,1551000,0.0000,1.0
2000-05-11,22.44,22.44,21.87,22.31,0.7862964276332445,1036600,0.0000,1.0
2000-05-12,22.31,23.25,22.31,22.81,0.8039184901082164,1239600,0.0000,1.0
2000-05-15,23.25,23.25,22.56,22.62,0.7972221063677272,469900,0.0000,1.0
2000-05-16,22.75,23.37,22.62,23.19,0.8173112575891951,334900,0.0000,1.0
2000-05-17,23.0,23.5,23.0,23.19,0.8173112575891951,459500,0.0000,1.0
2000-05-18,23.37,23.56,23.13,23.13,0.8151966100921983,479800,0.0000,1.0
2000-05-19,23.31,23.44,23.06,23.19,0.8173112575891951,523000,0.0000,1.0
2000-05-22,23.56,23.62,22.31,22.31,0.7862964276332445,430800,0.0000,1.0
2000-05-23,22.38,22.44,22.06,22.31,0.7968696651182277,346100,0.3000,1.0
2000-05-24,22.75,22.81,22.25,22.44,0.8015130114411937,390100,0.0000,1.0
2000-05-25,22.5,22.56,21.63,21.75,0.7768675578808361,403500,0.0000,1.0
2000-05-26,21.69,22.12,21.69,21.81,0.779010640799128,484500,0.0000,1.0
2000-05-30,22.25,22.44,22.0,22.06,0.7879401529586778,857100,0.0000,1.0
2000-05-31,22.31,22.44,21.75,21.75,0.7768675578808361,519900,0.0000,1.0
2000-06-01,22.0,22.69,21.87,22.5,0.8036560943594856,707400,0.0000,1.0
2000-06-02,22.25,23.13,22.19,22.75,0.8125856065190354,814700,0.0000,1.0
2000-06-05,22.5,22.94,22.12,22.12,0.7900832358769698,460000,0.0000,1.0
2000-06-06,22.0,22.31,21.87,22.0,0.7857970700403859,652900,0.0000,1.0
2000-06-07,21.81,22.0,21.38,21.38,0.7636518798847023,580600,0.0000,1.0
2000-06-08,21.38,21.38,20.13,20.25,0.7232904849235371,1112200,0.0000,1.0
2000-06-09,20.31,21.19,20.25,20.69,0.7390064263243448,993400,0.0000,1.0
2000-06-12,20.81,21.19,20.81,20.88,0.7457928555656026,1017300,0.0000,1.0
2000-06-13,21.0,21.5,20.88,21.06,0.7522221043204784,1687300,0.0000,1.0
2000-06-14,21.06,21.31,20.37,20.5,0.7322199970830868,1459500,0.0000,1.0
2000-06-15,21.0,21.12,20.62,20.75,0.7411495092426367,996900,0.0000,1.0
2000-06-16,20.75,21.0,20.62,20.69,0.7390064263243448,768700,0.0000,1.0
2000-06-19,20.75,20.81,20.13,20.13,0.7190043190869531,502000,0.0000,1.0
2000-06-20,20.13,20.19,19.62,19.75,0.7054314606044374,476900,0.0000,1.0
2000-06-21,19.62,20.19,19.5,19.56,0.6986450313631795,421200,0.0000,1.0
2000-06-22,19.81,20.19,19.5,19.81,0.7075745435227293,1020300,0.0000,1.0
2000-06-23,19.81,20.25,19.81,20.19,0.7211474020052451,768600,0.0000,1.0
2000-06-26,20.19,20.5,19.75,19.88,0.7100748069274032,618800,0.0000,1.0
2000-06-27,20.06,20.56,19.88,20.56,0.7343630800013788,507800,0.0000,1.0
2000-06-28,21.75,23.19,21.69,23.02,0.8222294796513493,3756700,0.0000,1.0
2000-06-29,23.0,23.0,22.06,22.5,0.8036560943594856,1248400,0.0000,1.0
2000-06-30,22.56,22.62,21.0,21.19,0.7568654506434445,1205800,0.0000,1.0
2000-07-03,21.75,22.31,21.69,22.31,0.7968696651182277,541300,0.0000,1.0
2000-07-05,23.25,24.5,22.75,24.12,0.8615193331533686,1283000,0.0000,1.0
2000-07-06,24.12,24.69,23.56,23.88,0.8529470014802006,814000,0.0000,1.0
2000-07-07,24.12,24.31,23.75,24.12,0.8615193331533686,504400,0.0000,1.0
2000-07-10,24.25,24.69,24.19,24.31,0.8683057623946264,418300,0.0000,1.0
2000-07-11,24.25,24.31,23.62,23.75,0.8483036551572348,815600,0.0000,1.0
2000-07-12,24.0,24.12,23.56,23.88,0.8529470014802006,714900,0.0000,1.0
2000-07-13,24.0,24.0,23.06,23.13,0.8261584650015512,753200,0.0000,1.0
2000-07-14,23.88,24.12,23.5,23.88,0.8529470014802006,912000,0.0000,1.0
2000-07-17,24.5,25.38,23.94,24.22,0.8650911380171885,1162300,0.0000,1.0
2000-07-18,24.06,24.44,23.81,23.88,0.8529470014802006,898200,0.0000,1.0
2000-07-19,24.0,24.75,23.19,23.37,0.8347307966747191,647800,0.0000,1.0
2000-07-20,23.5,23.69,23.0,23.19,0.8283015479198432,448400,0.0000,1.0
2000-07-21,23.06,23.44,22.62,23.0,0.8215151186785853,480400,0.0000,1.0
2000-07-24,23.19,23.19,22.69,23.06,0.8236582015968772,547500,0.0000,1.0
2000-07-25,23.31,23.31,22.06,22.38,0.7993699285229017,560600,0.0000,1.0
2000-07-26,22.31,24.06,22.31,24.0,0.8572331673167847,1152700,0.0000,1.0
2000-07-27,23.75,24.81,23.69,24.56,0.8772352745541763,1062200,0.0000,1.0
2000-07-28,24.56,24.63,24.31,24.63,0.8797355379588502,821200,0.0000,1.0
2000-07-31,24.81,25.69,24.75,24.81,0.8861647867137261,887600,0.0000,1.0
2000-08-01,25.0,25.56,24.81,25.5,0.9108102402740836,661100,0.0000,1.0
2000-08-02,25.56,25.69,25.25,25.44,0.9086671573557917,586100,0.0000,1.0
2000-08-03,25.56,26.44,25.5,25.75,0.9197397524336335,627800,0.0000,1.0
2000-08-04,26.75,26.75,26.25,26.69,0.953314718153541,837200,0.0000,1.0
2000-08-07,26.69,27.06,26.5,26.94,0.9622442303130908,618700,0.0000,1.0
2000-08-08,26.94,27.63,26.44,27.44,0.9801032546321905,759900,0.0000,1.0
2000-08-09,27.0,27.0,26.06,27.0,0.9643873132313827,689800,0.0000,1.0
2000-08-10,27.12,27.38,26.31,26.5,0.946528288912283,719300,0.0000,1.0
2000-08-11,26.56,26.56,26.06,26.31,0.9397418596710251,405400,0.0000,1.0
2000-08-14,26.88,27.0,26.31,26.88,0.9601011473947988,343100,0.0000,1.0
2000-08-15,26.69,26.75,26.06,26.13,0.9333126109161493,361600,0.0000,1.0
2000-08-16,26.25,26.37,25.5,25.88,0.9243830987565994,374500,0.0000,1.0
2000-08-17,25.94,25.94,25.5,25.69,0.9175966695153416,538600,0.0000,1.0
2000-08-18,25.56,26.19,25.5,26.13,0.9333126109161493,322000,0.0000,1.0
2000-08-21,26.0,26.19,25.62,25.62,0.9150964061106677,312300,0.0000,1.0
