date,open,high,low,close,adj_close,volume,dividend,split
1999-11-01,36.0,36.06,35.38,36.06,10.718174471007012,815900,0.0000,1.0
1999-11-02,36.13,37.63,36.13,36.69,10.905430430983007,1027500,0.0000,1.0
1999-11-03,38.13,39.0,37.69,38.56,11.461253677260965,1206900,0.0000,1.0
1999-11-04,38.5,38.75,38.31,38.56,11.461253677260965,911500,0.0000,1.0
1999-11-05,39.25,39.38,38.56,39.06,11.609869518511754,962500,0.0000,1.0
1999-11-08,39.06,39.25,38.94,39.13,11.630675736286864,577700,0.0000,1.0
1999-11-09,39.06,39.38,38.94,39.13,11.630675736286864,556000,0.0000,1.0
1999-11-10,39.0,39.5,39.0,39.25,11.666343538187053,919800,0.0000,1.0
1999-11-11,39.13,39.56,39.13,39.31,11.68417743913715,422700,0.0000,1.0
1999-11-12,39.44,39.5,38.56,39.44,11.722817557862355,523400,0.0000,1.0
1999-11-15,39.75,41.75,39.63,41.0,12.186498982564821,801900,0.0000,1.0
1999-11-16,39.63,41.19,39.63,40.19,11.94574131973854,909800,0.0000,1.0
1999-11-17,40.13,40.25,39.56,39.75,11.814959379437845,511700,0.0000,1.0
1999-11-18,39.81,40.44,39.81,40.0,11.88926730006324,776700,0.0000,1.0
1999-11-19,38.69,39.06,37.81,38.13,11.333444053785284,1179000,0.0000,1.0
1999-11-22,38.13,39.31,38.13,39.0,11.59203561756166,1057800,0.0000,1.0
1999-11-23,38.75,41.38,38.06,41.25,12.260806903190216,1893200,0.0000,1.0
1999-11-24,41.0,44.5,41.0,43.13,12.819602466293189,1652100,0.0000,1.0
1999-11-26,43.13,43.63,41.94,41.94,12.465896764116307,517900,0.0000,1.0
1999-11-29,41.25,42.0,40.63,41.0,12.186498982564821,1224300,0.0000,1.0
1999-11-30,41.19,43.69,41.0,42.94,12.763128446617888,1227000,0.0000,1.0
1999-12-01,42.0,43.0,41.63,42.25,12.558038585691797,1160500,0.0000,1.0
1999-12-02,42.19,43.88,42.06,43.0,12.780962347567982,1687800,0.0000,1.0
1999-12-03,43.0,43.63,42.81,43.0,12.780962347567982,863000,0.0000,1.0
1999-12-06,42.38,42.88,41.69,41.88,12.448062863166212,569700,0.0000,1.0
1999-12-07,42.0,42.38,40.81,41.13,12.225139101290027,1017100,0.0000,1.0
1999-12-08,41.06,42.06,40.88,41.81,12.427256645391102,601400,0.0000,1.0
1999-12-09,41.88,42.44,41.75,42.13,12.522370783791608,759300,0.0000,1.0
1999-12-10,42.13,43.25,41.75,42.0,12.483730665066401,1146600,0.0000,1.0
1999-12-13,42.94,42.94,42.25,42.71,12.694765159642525,841200,0.0000,1.0
1999-12-14,42.0,43.0,42.0,42.56,12.650180407267287,795300,0.0000,1.0
1999-12-15,41.75,42.94,41.5,42.88,12.745294545667795,1094300,0.0000,1.0
1999-12-16,42.38,42.94,42.25,42.75,12.706654426942588,842700,0.0000,1.0
1999-12-17,42.0,43.38,41.44,41.44,12.317280922865516,1433200,0.0000,1.0
1999-12-20,41.56,42.0,40.38,40.88,12.150831180664632,798400,0.0000,1.0
1999-12-21,40.88,40.88,39.88,40.31,11.98140912163873,1589100,0.0000,1.0
1999-12-22,40.25,40.94,40.13,40.13,11.927907418788447,888100,0.0000,1.0
1999-12-23,40.0,40.5,39.69,40.13,11.927907418788447,760000,0.0000,1.0
1999-12-27,40.13,41.31,40.0,41.0,12.186498982564821,767600,0.0000,1.0
1999-12-28,40.88,42.06,40.81,41.88,12.448062863166212,789000,0.0000,1.0
1999-12-29,42.0,43.06,41.88,42.88,12.810685515818141,1419900,0.2200,1.0
1999-12-30,42.63,43.5,42.44,43.19,12.903300079948355,685600,0.0000,1.0
1999-12-31,42.75,43.5,42.44,43.38,12.960063845060423,247300,0.0000,1.0
2000-01-03,43.62,43.81,42.56,42.88,12.810685515818141,1345600,0.0000,1.0
2000-01-04,42.5,43.0,42.44,42.81,12.789772549724221,1685300,0.0000,1.0
2000-01-05,42.94,44.31,42.44,44.25,13.219982137941994,3106900,0.0000,1.0
2000-01-06,44.63,46.88,44.44,46.06,13.760731689799057,3040700,0.0000,1.0
2000-01-07,46.06,47.44,45.69,46.0,13.742806290289982,2056500,0.0000,1.0
2000-01-10,46.0,47.44,45.69,46.94,14.023637549265473,1578300,0.0000,1.0
2000-01-11,46.44,47.38,46.38,46.94,14.023637549265473,1588200,0.0000,1.0
2000-01-12,46.44,46.56,45.81,46.06,13.760731689799057,1506900,0.0000,1.0
2000-01-13,46.31,47.06,45.81,46.25,13.817495454911123,1001400,0.0000,1.0
2000-01-14,47.0,48.31,46.75,48.13,14.379157972862107,1494700,0.0000,1.0
2000-01-18,47.69,47.69,45.44,47.13,14.080401314377541,1520200,0.0000,1.0
2000-01-19,47.0,47.81,45.38,46.38,13.856333820514118,1002000,0.0000,1.0
2000-01-20,46.63,46.75,45.13,45.56,13.611353360556775,1082300,0.0000,1.0
2000-01-21,45.56,45.56,43.81,44.19,13.202056738432919,1329800,0.0000,1.0
2000-01-24,44.25,44.88,43.81,44.88,13.40819883278727,826700,0.0000,1.0
2000-01-25,44.88,45.31,42.88,44.5,13.294671302563135,1540200,0.0000,1.0
2000-01-26,44.63,46.06,44.56,45.63,13.632266326650694,1232600,0.0000,1.0
2000-01-27,45.75,46.0,45.25,45.81,13.686042525177916,733400,0.0000,1.0
2000-01-28,45.38,45.44,44.0,44.75,13.369360467184276,1303000,0.0000,1.0
2000-01-31,44.63,44.63,43.5,43.69,13.052678409190637,913200,0.0000,1.0
2000-02-01,43.63,43.63,42.28,42.75,12.771847150215146,1569900,0.0000,1.0
2000-02-02,43.75,44.5,42.56,42.63,12.735996351197,1584300,0.0000,1.0
2000-02-03,42.69,43.0,40.38,41.25,12.323712162488299,2030000,0.0000,1.0
2000-02-04,40.5,41.0,39.81,40.88,12.213172198849012,1476800,0.0000,1.0
2000-02-07,40.88,41.56,40.06,41.31,12.341637561997373,1008600,0.0000,1.0
2000-02-08,41.75,41.81,36.25,40.06,11.968191738891669,5148000,0.0000,1.0
2000-02-09,40.19,41.0,39.63,40.0,11.950266339382594,2049300,0.0000,1.0
2000-02-10,40.0,40.19,37.13,37.5,11.203374693171181,1201000,0.0000,1.0
2000-02-11,37.88,37.88,35.94,36.19,10.8120034705564,1504500,0.0000,1.0
2000-02-14,36.31,39.13,35.69,39.0,11.651509680898029,1558900,0.0000,1.0
2000-02-15,40.0,41.13,39.63,40.44,12.081719269115801,1310800,0.0000,1.0
