date,open,high,low,close,adj_close,volume,dividend,split
1999-11-01,60.31,60.63,58.06,58.94,14.300518924739897,1060100,0.0000,1.0
1999-11-02,58.06,58.63,57.06,57.31,13.905034604289847,1074000,0.0000,1.0
1999-11-03,57.06,57.81,55.56,55.75,13.526534273061577,918300,0.0000,1.0
1999-11-04,56.25,58.38,56.0,57.63,13.982675697875134,1109700,0.0000,1.0
1999-11-05,58.5,58.63,57.06,57.13,13.861361489148123,723300,0.0000,1.0
1999-11-08,57.13,57.63,56.38,57.0,13.8298197948791,587600,0.0000,1.0
1999-11-09,57.0,57.88,56.81,57.88,14.043332802238638,667100,0.0000,1.0
1999-11-10,57.13,57.88,56.13,56.69,13.754604985468355,746200,0.0000,1.0
1999-11-11,56.44,58.31,56.44,58.25,14.133105316696625,870700,0.0000,1.0
1999-11-12,58.0,58.25,56.25,56.69,13.754604985468355,1402200,0.0000,1.0
1999-11-15,57.5,57.5,56.0,56.31,13.662406186835828,1154100,0.0000,1.0
1999-11-16,56.56,58.31,56.56,58.13,14.103989906602143,1078300,0.0000,1.0
1999-11-17,57.5,58.38,57.44,57.75,14.098652081418154,676200,0.3580,1.0
1999-11-18,57.0,58.13,56.75,58.13,14.191422432776402,1127600,0.0000,1.0
1999-11-19,57.88,58.75,57.5,58.38,14.252455558669988,883000,0.0000,1.0
1999-11-22,57.75,58.0,56.56,56.94,13.900904753522937,628700,0.0000,1.0
1999-11-23,57.0,57.38,56.81,57.13,13.947289929202062,923000,0.0000,1.0
1999-11-24,57.06,57.25,56.63,56.75,13.854519577843813,998200,0.0000,1.0
1999-11-26,56.0,56.69,55.88,56.44,13.778838501735766,326400,0.0000,1.0
1999-11-29,56.0,56.69,55.25,56.56,13.808134402164688,859000,0.0000,1.0
1999-11-30,55.88,57.75,55.88,57.0,13.915552703737397,1296200,0.0000,1.0
1999-12-01,57.06,57.5,56.81,57.16,13.95461390430929,938100,0.0000,1.0
1999-12-02,58.0,58.0,57.0,57.0,13.915552703737397,983900,0.0000,1.0
1999-12-03,57.0,58.94,57.0,57.81,14.113300031632614,1178500,0.0000,1.0
1999-12-06,57.56,58.0,57.0,57.13,13.947289929202062,918500,0.0000,1.0
1999-12-07,57.25,57.44,55.56,55.75,13.610387074269472,1132500,0.0000,1.0
1999-12-08,55.94,56.38,55.06,55.06,13.441935646803179,922300,0.0000,1.0
1999-12-09,55.13,55.44,53.81,53.88,13.153859292585457,977100,0.0000,1.0
1999-12-10,54.13,54.5,53.25,53.56,13.075736891441668,764000,0.0000,1.0
1999-12-13,53.63,54.06,53.06,53.56,13.075736891441668,883100,0.0000,1.0
1999-12-14,53.81,54.94,53.5,54.81,13.380902520909594,1538900,0.0000,1.0
1999-12-15,56.0,58.63,56.0,58.0,14.159685207311739,1389600,0.0000,1.0
1999-12-16,58.75,60.0,57.69,59.31,14.479498786994125,1123300,0.0000,1.0
1999-12-17,60.81,60.81,60.81,60.81,14.845697542355635,1654900,0.0000,1.0
1999-12-20,60.0,60.06,58.25,58.75,14.342784584992494,1000800,0.0000,1.0
