date,open,high,low,close,adj_close,volume,dividend,split
1999-11-01,55.31,55.31,53.88,55.0,15.878083385214566,647000,0.0000,1.0
1999-11-02,55.0,56.44,54.25,54.25,15.661564066325276,391100,0.0000,1.0
1999-11-03,54.88,56.13,53.88,55.56,16.03975114331857,520200,0.0000,1.0
1999-11-04,55.56,55.56,53.88,54.0,15.589390960028847,476700,0.0000,1.0
1999-11-05,54.25,55.5,53.88,54.13,15.62692097530299,452400,0.0000,1.0
1999-11-08,54.13,56.13,54.13,54.56,15.75105871813285,478400,0.0000,1.0
1999-11-09,55.0,55.13,53.31,53.63,15.482574762710131,514000,0.0000,1.0
1999-11-10,53.81,54.38,53.25,53.63,15.482574762710131,352600,0.0000,1.0
1999-11-11,53.56,53.75,51.13,51.56,14.884981442575691,1007000,0.0000,1.0
1999-11-12,52.0,52.19,50.31,51.06,14.740635229982832,1303500,0.0000,1.0
1999-11-15,51.13,51.56,50.81,51.38,14.833016806042263,969400,0.0000,1.0
1999-11-16,51.75,52.5,51.38,52.13,15.049536124931553,517600,0.0000,1.0
1999-11-17,53.5,53.5,52.88,53.44,15.427723201924843,429000,0.0000,1.0
1999-11-18,54.38,54.38,53.69,54.0,15.589390960028847,270900,0.0000,1.0
1999-11-19,53.5,55.13,53.13,55.0,15.878083385214566,681400,0.0000,1.0
1999-11-22,54.0,54.06,50.63,51.72,14.931172230605407,782600,0.0000,1.0
1999-11-23,51.06,51.88,50.13,51.13,14.760843699745832,981800,0.0000,1.0
1999-11-24,51.38,52.0,50.94,51.44,14.850338351553404,553200,0.0000,1.0
1999-11-26,51.13,51.25,50.75,51.0,14.72331368447169,211000,0.0000,1.0
1999-11-29,51.0,51.31,50.38,51.13,14.760843699745832,750900,0.0000,1.0
1999-11-30,52.0,52.56,51.5,51.56,14.884981442575691,1038800,0.0000,1.0
1999-12-01,52.13,52.38,50.5,50.75,14.651140578175259,628400,0.0000,1.0
1999-12-02,50.75,51.75,50.75,51.45,14.853225275805263,1017100,0.0000,1.0
1999-12-03,51.38,52.5,51.38,52.06,15.02932765516855,1477800,0.0000,1.0
1999-12-06,52.19,52.19,51.0,51.0,14.72331368447169,573500,0.0000,1.0
1999-12-07,50.0,50.75,49.25,50.56,14.596289017389973,1286000,0.0000,1.0
1999-12-08,50.81,51.06,49.88,50.48,14.573193623375113,856800,0.0000,1.0
1999-12-09,51.0,51.06,50.0,50.5,14.578967471878828,866300,0.0000,1.0
1999-12-10,50.38,50.94,50.31,50.69,14.633819032664114,616600,0.0000,1.0
1999-12-13,52.25,52.31,50.0,50.9,14.694444441953117,975700,0.0000,1.0
1999-12-14,50.38,50.56,48.81,49.63,14.327805061967254,767300,0.0000,1.0
1999-12-15,50.0,50.19,49.0,49.81,14.379769698500683,578000,0.0000,1.0
1999-12-16,50.0,50.31,49.19,49.88,14.399978168263683,691700,0.0000,1.0
1999-12-17,49.0,50.38,48.94,49.0,14.14592883410025,1019900,0.0000,1.0
1999-12-20,49.0,49.0,48.0,49.0,14.14592883410025,782200,0.0000,1.0
1999-12-21,48.88,48.88,46.19,46.94,13.551222438217668,1130600,0.0000,1.0
1999-12-22,46.94,49.5,46.88,49.06,14.163250379611393,1426900,0.0000,1.0
1999-12-23,49.75,53.0,49.56,51.38,14.833016806042263,1691900,0.0000,1.0
1999-12-27,51.38,52.75,51.06,51.44,14.850338351553404,808700,0.0000,1.0
1999-12-28,51.19,51.19,50.06,50.75,14.651140578175259,361600,0.0000,1.0
1999-12-29,51.5,51.81,50.63,51.44,14.850338351553404,270400,0.0000,1.0
1999-12-30,51.75,52.94,51.31,52.44,15.139030776739123,618800,0.0000,1.0
1999-12-31,52.19,53.25,52.06,52.75,15.228525428546698,320200,0.0000,1.0
2000-01-03,52.12,52.12,49.0,49.06,14.163250379611393,962800,0.0000,1.0
2000-01-04,51.0,51.81,50.38,51.13,14.760843699745832,1324800,0.0000,1.0
2000-01-05,52.0,55.25,51.88,55.0,15.878083385214566,1737400,0.0000,1.0
2000-01-06,54.63,55.56,54.0,54.81,15.82323182442928,1448500,0.0000,1.0
2000-01-07,55.25,57.56,55.19,56.25,16.238948916696714,1136700,0.0000,1.0
2000-01-10,56.63,57.25,55.25,55.75,16.094602704103856,1218800,0.0000,1.0
2000-01-11,55.5,55.56,54.63,55.0,15.878083385214566,399200,0.0000,1.0
2000-01-12,54.38,54.56,52.75,53.0,15.3699847168877,1352400,0.2400,1.0
2000-01-13,54.0,54.38,52.13,53.0,15.3699847168877,616500,0.0000,1.0
2000-01-14,53.5,54.38,52.06,53.38,15.480184607310669,635100,0.0000,1.0
2000-01-18,51.63,53.19,51.5,51.81,15.024885060036826,923000,0.0000,1.0
2000-01-19,51.25,51.63,50.13,50.75,14.717485365699071,674400,0.0000,1.0
2000-01-20,50.5,50.56,48.69,49.32,14.302785778054742,913600,0.0000,1.0
2000-01-21,49.63,49.75,49.25,49.38,14.320185760753107,870200,0.0000,1.0
2000-01-24,49.63,50.0,45.75,46.44,13.467586608533297,840800,0.0000,1.0
2000-01-25,46.44,47.38,45.38,47.06,13.647386429749721,1225000,0.0000,1.0
2000-01-26,47.31,47.81,45.69,46.94,13.612586464352992,1419300,0.0000,1.0
2000-01-27,48.94,49.0,46.81,47.0,13.629986447051357,1052700,0.0000,1.0
2000-01-28,47.25,48.0,46.63,47.25,13.702486374961204,1147300,0.0000,1.0
2000-01-31,47.13,47.31,46.0,47.13,13.667686409564478,404400,0.0000,1.0
2000-02-01,47.25,48.44,46.44,48.31,14.00988606929896,566800,0.0000,1.0
2000-02-02,49.13,49.44,47.44,47.5,13.774986302871053,759900,0.0000,1.0
2000-02-03,48.25,48.38,45.88,46.25,13.412486663321815,885200,0.0000,1.0
2000-02-04,45.56,47.25,45.5,45.56,13.212386862290636,1124000,0.0000,1.0
2000-02-07,46.06,46.13,42.25,44.5,12.90498716795288,2692900,0.0000,1.0
2000-02-08,44.13,44.63,42.69,43.0,12.469987600493795,2071700,0.0000,1.0
2000-02-09,42.5,42.5,40.94,41.75,12.107487960944557,1656900,0.0000,1.0
2000-02-10,41.81,43.25,41.69,42.19,12.235087834065888,603600,0.0000,1.0
2000-02-11,42.13,42.19,41.44,41.44,12.017588050336345,777000,0.0000,1.0
2000-02-14,42.0,42.06,41.0,41.56,12.052388015733072,571500,0.0000,1.0
2000-02-15,41.56,42.0,40.88,41.31,11.979888087823225,1165000,0.0000,1.0
2000-02-16,42.0,42.31,41.25,41.69,12.090087978246192,650100,0.0000,1.0
2000-02-17,41.63,43.38,41.44,43.13,12.507687563006916,1006500,0.0000,1.0
2000-02-18,43.25,43.31,41.44,41.88,12.145187923457678,949900,0.0000,1.0
2000-02-22,42.0,43.5,41.88,43.0,12.469987600493795,504000,0.0000,1.0
2000-02-23,43.25,43.5,42.56,43.13,12.507687563006916,559200,0.0000,1.0
2000-02-24,43.0,43.06,41.56,42.25,12.252487816764251,1318200,0.0000,1.0
2000-02-25,42.19,43.44,42.13,42.94,12.45258761779543,495800,0.0000,1.0
2000-02-28,43.19,43.44,42.38,43.06,12.48738758319216,367700,0.0000,1.0
2000-02-29,43.0,43.94,42.75,43.25,12.542487528403642,578900,0.0000,1.0
