date,open,high,low,close,adj_close,volume,dividend,split
1999-11-01,70.5,71.0,69.31,69.38,47.581999331708104,949300,0.0000,1.0
1999-11-02,69.19,71.75,69.13,69.75,47.83575170635112,543000,0.0000,1.0
1999-11-03,69.81,69.88,68.31,68.75,47.14993447758623,924000,0.0000,1.0
1999-11-04,69.69,70.75,69.44,70.13,48.096362253281775,570400,0.0000,1.0
1999-11-05,72.0,74.31,71.25,73.69,50.53787158768478,1304900,0.0000,1.0
1999-11-08,73.5,73.5,72.5,73.0,50.064657699837014,651600,0.0000,1.0
1999-11-09,73.5,73.56,71.75,71.88,49.29654240362033,695600,0.0000,1.0
1999-11-10,71.0,72.75,70.63,71.94,49.33769143734623,678700,0.0000,1.0
1999-11-11,72.0,73.5,71.56,73.31,50.27726104075413,574300,0.0000,1.0
1999-11-12,73.94,79.81,73.75,79.75,54.69392399400002,2227700,0.0000,1.0
1999-11-15,78.75,79.94,77.25,78.0,53.49374384366146,997100,0.0000,1.0
1999-11-16,78.38,83.0,78.38,82.81,56.792524714020594,1505100,0.0000,1.0
1999-11-17,81.13,81.38,78.56,79.56,54.5636187205347,1245400,0.0000,1.0
1999-11-18,79.81,81.13,79.25,80.19,54.995683574656574,1111500,0.0000,1.0
1999-11-19,80.0,80.88,79.63,79.94,54.82422926746535,329600,0.0000,1.0
1999-11-22,79.5,80.25,78.5,79.69,54.65277496027413,329900,0.0000,1.0
1999-11-23,79.94,80.63,77.5,77.75,53.322289536470244,656300,0.0000,1.0
1999-11-24,77.5,77.75,76.75,77.13,52.897082854636004,515700,0.0000,1.0
1999-11-26,77.19,77.75,76.63,77.31,53.02052995581369,107600,0.0000,1.0
1999-11-29,77.25,77.25,74.38,74.5,51.09338354298435,517900,0.0000,1.0
1999-11-30,74.75,77.13,74.5,75.13,51.525448397106224,925000,0.0000,1.0
1999-12-01,74.75,76.19,74.75,76.19,52.252414659597015,500000,0.0000,1.0
1999-12-02,76.25,77.63,76.25,77.5,53.15083522927902,453600,0.0000,1.0
1999-12-03,78.5,80.69,78.38,79.06,54.220710106152254,669500,0.0000,1.0
1999-12-06,79.19,79.31,76.56,77.0,52.80792661489657,295100,0.0000,1.0
1999-12-07,77.25,80.94,77.25,80.94,55.510046496230245,883100,0.0000,1.0
1999-12-08,81.81,81.81,80.0,80.0,54.86537830119125,732200,0.0000,1.0
