date,open,high,low,close,adj_close,volume,dividend,split
1999-11-01,75.63,77.06,75.56,76.25,29.005369130273348,3602800,0.0000,1.0
1999-11-02,77.0,77.5,75.75,77.0,29.290667843030135,3789400,0.0000,1.0
1999-11-03,76.75,76.94,74.88,75.25,28.624970846597634,3053000,0.0000,1.0
1999-11-04,76.31,76.94,75.69,76.0,28.91026955935442,2250667,0.0000,1.0
1999-11-05,77.0,78.75,77.0,78.0,29.671066126705853,3704400,0.0000,1.0
1999-11-08,78.0,79.44,77.56,79.13,30.100916187259408,3963267,0.0000,1.0
1999-11-09,78.56,80.0,76.31,80.0,30.431862694057283,6376000,0.0000,1.0
1999-11-10,77.75,78.0,76.94,77.19,29.36294351692852,4324667,0.0000,1.0
1999-11-11,77.38,78.94,77.06,78.81,29.97918873648318,2483667,0.0000,1.0
1999-11-12,79.44,80.63,78.81,80.44,30.599237938874598,3155067,0.0000,1.0
1999-11-15,80.81,80.81,77.94,78.75,29.95636483946264,4470000,0.0000,1.0
1999-11-16,78.75,80.38,77.88,80.38,30.576414041854054,4448067,0.0000,1.0
1999-11-17,80.13,81.63,79.81,79.94,30.40903879703674,3999667,0.0000,1.0
1999-11-18,80.25,83.5,80.06,83.0,31.57305754508443,6823800,0.0000,1.0
1999-11-19,82.44,83.0,81.44,82.25,31.287758832327643,4187667,0.0000,1.0
1999-11-22,82.88,82.88,80.44,81.5,31.00246011957086,3649267,0.0000,1.0
1999-11-23,80.06,81.25,79.81,80.69,30.694337509793527,3493400,0.0000,1.0
1999-11-24,80.44,80.75,79.06,79.5,30.241663552219425,2912667,0.0000,1.0
1999-11-26,79.88,80.5,79.75,80.5,30.622061835895142,1236200,0.0000,1.0
1999-11-29,80.31,80.63,79.56,80.0,30.431862694057283,2724200,0.0000,1.0
1999-11-30,80.81,81.0,79.0,79.19,30.146563981300496,3068800,0.0600,1.0
1999-12-01,79.69,81.38,79.38,81.31,30.95361936254001,3446667,0.0000,1.0
1999-12-02,81.25,82.5,80.25,81.27,30.93839190251662,3595067,0.0000,1.0
1999-12-03,83.0,84.38,82.81,84.25,32.072837674258956,4721800,0.0000,1.0
1999-12-06,84.19,84.19,82.75,83.35,31.730219823732746,2636800,0.0000,1.0
1999-12-07,83.44,83.88,82.63,83.25,31.69215117367428,2950000,0.0000,1.0
1999-12-08,83.69,85.5,83.06,84.29,32.088065134282346,3799667,0.0000,1.0
1999-12-09,83.25,87.38,83.25,87.25,33.21489717601298,6136067,0.0000,1.0
1999-12-10,88.0,89.44,87.81,89.0,33.88109855203617,5247800,0.0000,1.0
1999-12-13,89.94,93.0,89.63,91.11,34.68434706826984,6056400,0.0000,1.0
1999-12-14,92.31,92.88,90.94,92.5,35.213501304082534,5036867,0.0000,1.0
1999-12-15,91.0,93.75,90.63,93.5,35.59418780466721,6807000,0.0000,1.0
1999-12-16,93.63,96.75,93.13,96.69,36.808577741532325,5135200,0.0000,1.0
1999-12-17,96.94,98.75,96.81,98.75,37.59279193273676,9681200,0.0000,1.0
1999-12-20,98.5,98.81,95.75,98.47,37.48619971257305,4673667,0.0000,1.0
1999-12-21,96.25,96.81,94.88,95.8,36.469766756011964,3308867,0.0000,1.0
1999-12-22,96.44,97.19,95.06,96.31,36.66391687131015,2324067,0.0000,1.0
1999-12-23,97.44,97.94,96.38,97.13,36.97607980178958,2412000,0.0000,1.0
1999-12-27,98.0,98.63,97.13,97.81,37.23494662218717,3947667,0.0000,1.0
1999-12-28,97.81,101.6,97.5,99.63,37.92779605325127,3224800,0.0000,1.0
1999-12-29,101.8,103.1,100.5,100.9,38.411267908993814,2657400,0.0000,1.0
1999-12-30,101.8,102.4,99.88,100.2,38.14478735858454,2805667,0.0000,1.0
1999-12-31,67.44,69.75,67.25,68.75,39.25829537279471,2065200,0.0000,1.5
2000-01-03,68.62,69.19,63.81,65.19,37.22542945967255,12030800,0.0000,1.0
2000-01-04,64.0,64.31,57.0,58.5,33.40524042630532,8774500,0.0000,1.0
2000-01-05,61.75,63.0,61.0,61.75,35.26108711665562,6931400,0.0000,1.0
2000-01-06,61.63,62.0,60.0,60.0,34.261785052620844,6603400,0.0000,1.0
