date,open,high,low,close,adj_close,volume,dividend,split
1999-11-01,57.0,57.88,57.0,57.75,29.93240779991154,1952900,0.0000,1.0
1999-11-02,57.62,57.69,56.0,56.06,29.056463744814565,2020400,0.0000,1.0
1999-11-03,56.0,56.44,55.69,56.06,29.056463744814565,1171800,0.0000,1.0
1999-11-04,56.88,56.94,55.0,55.0,28.507055047534802,1021200,0.0000,1.0
1999-11-05,56.0,56.12,55.31,55.62,28.828407304434283,968600,0.0000,1.0
1999-11-08,55.56,57.19,55.5,56.06,29.056463744814565,1473800,0.0000,1.0
1999-11-09,56.62,56.62,55.12,56.12,29.08756235032096,1556200,0.0000,1.0
1999-11-10,55.81,58.75,55.69,58.56,30.352238974247964,2483100,0.0000,1.0
1999-11-11,58.5,59.06,57.56,57.81,29.963506405417945,1715200,0.0000,1.0
1999-11-12,58.44,61.0,57.62,60.5,31.357760552288283,1856400,0.0000,1.0
1999-11-15,60.94,62.5,60.62,60.94,31.58581699266856,2201000,0.0000,1.0
1999-11-16,61.31,61.81,59.62,61.81,32.036746772511385,1543600,0.0000,1.0
1999-11-17,61.25,62.25,60.56,60.81,31.6065493963395,1340900,0.1700,1.0
1999-11-18,62.5,62.5,61.25,61.88,32.16269160739168,1547200,0.0000,1.0
1999-11-19,61.75,62.0,60.5,60.69,31.54417830724953,1153800,0.0000,1.0
1999-11-22,60.44,61.56,60.31,61.12,31.767674709821904,1482200,0.0000,1.0
1999-11-23,61.19,61.25,59.25,59.56,30.95685055165237,1813100,0.0000,1.0
1999-11-24,59.62,59.81,58.25,58.75,30.535845700295106,2023900,0.0000,1.0
1999-11-26,58.88,58.94,58.31,58.44,30.374720386812697,523000,0.0000,1.0
1999-11-29,58.06,58.88,57.56,58.69,30.504660155750123,3028300,0.0000,1.0
1999-11-30,58.62,60.62,58.5,60.0,31.185544544982235,2843100,0.0000,1.0
1999-12-01,61.88,62.94,60.62,60.75,31.575363851794513,4259100,0.0000,1.0
1999-12-02,61.44,63.0,60.56,60.75,31.575363851794513,1339100,0.0000,1.0
1999-12-03,62.88,64.0,62.0,62.75,32.61488200329392,2680500,0.0000,1.0
1999-12-06,62.0,62.44,59.75,61.69,32.063937382999235,1981900,0.0000,1.0
1999-12-07,61.69,62.19,61.0,61.69,32.063937382999235,4159900,0.0000,1.0
1999-12-08,61.38,61.38,59.75,60.06,31.21673008952722,2992700,0.0000,1.0
1999-12-09,60.25,60.25,58.56,58.63,30.473474611205145,2975800,0.0000,1.0
1999-12-10,58.63,59.0,57.75,58.13,30.213595073330293,2730500,0.0000,1.0
1999-12-13,58.0,59.44,57.75,59.19,30.764539693624975,2461500,0.0000,1.0
1999-12-14,59.0,60.25,58.94,59.88,31.123173455892275,2262100,0.0000,1.0
1999-12-15,60.0,61.5,59.94,60.79,31.5961542148245,2008300,0.0000,1.0
1999-12-16,60.25,62.5,59.56,61.75,32.09512292754422,2349200,0.0000,1.0
1999-12-17,61.75,63.88,61.62,63.75,33.134641079043625,4320600,0.0000,1.0
1999-12-20,63.63,63.63,56.5,56.63,29.433956459705737,8300000,0.0000,1.0
1999-12-21,56.63,57.75,54.88,56.69,29.465142004250716,12074600,0.0000,1.0
1999-12-22,56.38,56.44,53.94,54.06,28.098175635028998,6228700,0.0000,1.0
1999-12-23,54.75,55.5,54.44,55.06,28.6179347107787,4601900,0.0000,1.0
1999-12-27,55.13,55.38,54.13,54.38,28.264498539268903,5101200,0.0000,1.0
1999-12-28,54.94,56.69,54.81,55.81,29.00775401759098,2621100,0.0000,1.0
1999-12-29,56.94,57.0,56.25,56.75,29.496327548795698,1243400,0.0000,1.0
1999-12-30,56.63,57.13,55.81,56.75,29.496327548795698,1028200,0.0000,1.0
1999-12-31,56.75,58.06,56.75,57.69,29.98490108000042,918400,0.0000,1.0
2000-01-03,57.69,58.44,56.5,56.69,29.465142004250716,2100800,0.0000,1.0
2000-01-04,56.38,56.44,54.06,55.69,28.94538292850101,2670300,0.0000,1.0
2000-01-05,55.75,56.25,54.69,55.0,28.586749166233716,2975700,0.0000,1.0
2000-01-06,55.5,56.13,54.5,56.0,29.10650824198342,2388000,0.0000,1.0
2000-01-07,56.75,59.38,56.44,59.0,30.66578546923253,3943400,0.0000,1.0
2000-01-10,59.44,59.88,58.31,59.31,30.826910782714943,1467400,0.0000,1.0
2000-01-11,59.94,60.19,58.75,58.88,30.60341438014257,2641000,0.0000,1.0
2000-01-12,59.38,59.75,59.06,59.44,30.8944794625624,2046200,0.0000,1.0
2000-01-13,59.94,60.0,59.5,59.88,31.123173455892275,1543900,0.0000,1.0
2000-01-14,60.0,60.5,59.25,59.88,31.123173455892275,2549000,0.0000,1.0
2000-01-18,59.75,60.38,57.63,59.0,30.66578546923253,3184300,0.0000,1.0
2000-01-19,59.0,59.0,52.5,54.25,28.196929859421438,11410700,0.0000,1.0
2000-01-20,54.5,55.25,52.56,52.88,27.484859925644347,5193200,0.0000,1.0
2000-01-21,53.0,53.13,49.94,51.31,26.668838176717312,5065300,0.0000,1.0
2000-01-24,51.44,51.44,47.0,47.75,24.818495867048362,6944600,0.0000,1.0
2000-01-25,46.25,47.94,45.0,47.56,24.71974164265592,5044200,0.0000,1.0
2000-01-26,47.94,48.5,46.13,47.63,24.7561247779584,4770500,0.0000,1.0
2000-01-27,47.13,48.19,44.63,46.25,24.038857253423807,4691000,0.0000,1.0
2000-01-28,45.13,46.63,44.81,45.19,23.48791263312912,3140100,0.0000,1.0
2000-01-31,45.19,48.0,45.19,48.0,24.94843563598579,3392700,0.0000,1.0
2000-02-01,48.0,48.38,47.13,47.5,24.688556098110936,2850600,0.0000,1.0
2000-02-02,48.0,49.0,47.75,48.13,25.016004315833253,2598900,0.0000,1.0
2000-02-03,48.25,49.0,46.75,47.5,24.688556098110936,2445100,0.0000,1.0
2000-02-04,47.5,47.69,46.63,47.38,24.626185009020976,3652000,0.0000,1.0
2000-02-07,47.0,47.0,44.5,45.0,23.389158408736677,2656600,0.0000,1.0
2000-02-08,46.0,46.94,44.94,45.25,23.519098177674103,4497100,0.0000,1.0
2000-02-09,44.5,44.94,42.5,43.75,22.739459564049547,3706600,0.0000,1.0
2000-02-10,43.25,44.44,42.38,43.25,22.479580026174695,3168200,0.0000,1.0
2000-02-11,42.5,44.44,42.25,42.25,21.95982095042499,3240000,0.0000,1.0
2000-02-14,43.25,44.88,42.63,42.63,22.157329399209882,3246700,0.0000,1.0
2000-02-15,42.88,46.63,42.75,46.31,24.07004279796879,3409900,0.0000,1.0
2000-02-16,46.13,46.13,44.63,44.88,23.424242146349783,2729000,0.1875,1.0
2000-02-17,46.25,46.88,45.44,46.44,24.238453771757662,2385000,0.0000,1.0
2000-02-18,46.19,46.38,43.94,44.31,23.126741744758444,2392600,0.0000,1.0
2000-02-22,44.06,47.25,43.0,47.25,24.661217500334832,2469800,0.0000,1.0
2000-02-23,47.25,47.25,43.94,45.19,23.586040610373143,2193600,0.0000,1.0
2000-02-24,45.19,46.06,42.56,45.75,23.878321706673407,3503600,0.0000,1.0
2000-02-25,45.75,46.75,44.38,46.56,24.301085435250577,2572500,0.0000,1.0
2000-02-28,46.63,48.75,45.44,48.0,25.052665397165544,2908400,0.0000,1.0
2000-02-29,49.0,49.88,47.81,48.13,25.120516365949534,2672500,0.0000,1.0
2000-03-01,49.0,49.69,46.56,48.13,25.120516365949534,2278600,0.0000,1.0
2000-03-02,48.13,48.13,45.0,45.88,23.946172675457397,2279400,0.0000,1.0
2000-03-03,46.13,48.44,44.75,45.5,23.747839074396502,3157700,0.0000,1.0
2000-03-06,45.75,45.75,44.0,44.31,23.126741744758444,2306400,0.0000,1.0
2000-03-07,43.5,43.63,41.19,41.81,21.821915421989402,3169400,0.0000,1.0
2000-03-08,41.69,43.13,40.31,42.69,22.281214287604104,4356400,0.0000,1.0
2000-03-09,44.38,45.13,42.81,44.0,22.96494328073508,4679200,0.0000,1.0
2000-03-10,45.5,45.63,43.88,45.38,23.68520741090359,3238600,0.0000,1.0
2000-03-13,44.88,45.44,43.88,44.63,23.293759514072878,2134300,0.0000,1.0
2000-03-14,44.69,46.0,44.25,45.0,23.486873809842695,2332600,0.0000,1.0
2000-03-15,44.13,46.5,43.5,45.94,23.977488507203855,3996600,0.0000,1.0
2000-03-16,47.88,50.31,46.56,49.75,25.96604382310387,3976100,0.0000,1.0
2000-03-17,48.63,49.63,46.88,46.88,24.468103204565015,4364800,0.0000,1.0
2000-03-20,47.75,49.88,46.25,47.5,24.791700132611734,3410000,0.0000,1.0
2000-03-21,47.0,50.0,46.94,50.0,26.096526455380772,3067400,0.0000,1.0
2000-03-22,49.38,49.38,46.25,46.25,24.139286971227214,2866900,0.0000,1.0
2000-03-23,46.75,47.63,45.88,46.25,24.139286971227214,3263500,0.0000,1.0
2000-03-24,46.31,49.69,46.0,49.62,25.898192854319877,3008800,0.0000,1.0
2000-03-27,48.75,49.31,47.0,48.0,25.052665397165544,2897400,0.0000,1.0
2000-03-28,47.38,48.63,46.63,46.81,24.431568067527483,2313100,0.0000,1.0
2000-03-29,46.63,49.63,46.63,49.0,25.574595926273158,2489200,0.0000,1.0
2000-03-30,49.06,52.25,49.0,51.5,26.879422249042197,4947800,0.0000,1.0
2000-03-31,53.0,54.0,51.13,52.69,27.500519578680258,4039700,0.0000,1.0
2000-04-03,55.0,55.0,53.31,54.38,28.38258217287213,3333100,0.0000,1.0
2000-04-04,54.88,55.25,51.88,53.75,28.05376593953433,2848400,0.0000,1.0
2000-04-05,53.5,54.88,52.75,52.75,27.531835410426716,1897400,0.0000,1.0
2000-04-06,53.25,53.69,51.0,52.13,27.208238482379997,1756000,0.0000,1.0
2000-04-07,51.75,53.13,51.5,51.63,26.947273217826186,1259900,0.0000,1.0
2000-04-10,51.63,54.81,51.13,53.5,27.923283307257428,2226800,0.0000,1.0
2000-04-11,54.25,56.75,54.13,56.06,29.259425461772924,2760500,0.0000,1.0
2000-04-12,55.38,55.88,52.5,52.88,27.599686379210706,1976000,0.0000,1.0
2000-04-13,55.75,57.0,53.25,55.44,28.935828533726202,4306600,0.0000,1.0
2000-04-14,53.0,56.06,52.56,54.13,28.252099540595225,3205900,0.0000,1.0
2000-04-17,52.75,55.25,52.75,55.0,28.70617910091885,2196900,0.0000,1.0
2000-04-18,54.25,54.94,53.38,53.75,28.05376593953433,2226800,0.0000,1.0
