date,open,high,low,close,adj_close,volume,dividend,split
1999-11-01,86.62,87.12,83.37,83.56,25.1641402533088,4510867,0.0000,1.0
1999-11-02,84.5,86.25,83.25,83.69,25.203289825268232,3541600,0.0000,1.0
1999-11-03,83.62,84.0,82.19,82.44,24.826851633350614,2648800,0.0000,1.0
1999-11-04,83.88,85.94,83.5,84.12,25.332784563287895,3869600,0.0000,1.0
1999-11-05,86.13,87.38,85.62,86.25,25.97423524231551,3433267,0.0000,1.0
1999-11-08,86.31,86.62,84.12,84.38,25.411083707206753,2393600,0.0000,1.0
1999-11-09,84.31,84.69,82.0,83.06,25.013564976541755,3235267,0.0000,1.0
1999-11-10,82.06,82.25,80.56,80.56,24.260688592706522,3180067,0.0000,1.0
1999-11-11,80.81,82.62,80.31,81.12,24.429332902685616,2292867,0.0000,1.0
1999-11-12,82.56,85.0,82.5,85.0,25.597797050397894,3423267,0.0000,1.0
1999-11-15,84.06,84.81,82.5,82.56,24.862989699774708,3742000,0.0000,1.0
1999-11-16,83.37,86.44,82.88,86.0,25.898947603931987,4490200,0.0000,1.0
1999-11-17,85.06,85.19,81.63,81.87,24.655195817836184,3606800,0.0000,1.0
1999-11-18,82.38,84.12,81.94,83.37,25.106921648137323,3071600,0.0000,1.0
1999-11-19,83.5,84.38,82.5,83.0,24.995495943329708,1998867,0.0000,1.0
1999-11-22,82.5,82.56,80.69,81.87,24.655195817836184,2514267,0.0000,1.0
1999-11-23,81.87,82.25,79.5,79.94,24.07397524951538,3029267,0.0000,1.0
1999-11-24,79.75,79.94,78.75,79.56,23.95953803917243,2521400,0.0000,1.0
1999-11-26,80.88,80.88,79.06,79.06,23.808962762405383,794200,0.0000,1.0
1999-11-29,78.81,78.81,76.31,76.94,23.170523588913106,3480867,0.0000,1.0
1999-11-30,76.62,79.25,76.56,77.25,23.263880260508675,4031467,0.0000,1.0
1999-12-01,77.13,78.0,76.56,77.39,23.306041338003446,3046200,0.0000,1.0
1999-12-02,78.0,79.25,76.0,79.06,23.808962762405383,3261800,0.0000,1.0
1999-12-03,80.94,83.37,80.81,82.0,24.694345389795615,3844467,0.0000,1.0
1999-12-06,82.0,82.0,77.37,78.87,23.751744157233905,3321667,0.0000,1.0
1999-12-07,78.5,79.19,77.37,78.63,23.67946802438572,3702400,0.0000,1.0
1999-12-08,78.38,78.63,76.88,77.72,23.405421020669696,3171400,0.0000,1.0
1999-12-09,78.0,79.38,76.06,77.88,23.453605109235152,3158800,0.0000,1.0
1999-12-10,79.62,79.62,78.12,78.94,23.77282469598129,3209067,0.0000,1.0
1999-12-13,78.12,79.25,77.75,78.53,23.649352969032314,1701867,0.0000,1.0
1999-12-14,78.06,78.06,76.06,76.56,23.05608637857015,2228000,0.0000,1.0
1999-12-15,76.56,77.37,74.75,75.5,22.73686679182401,3057600,0.0000,1.0
1999-12-16,76.19,76.19,73.81,75.0,22.586291515056963,2703400,0.0000,1.0
1999-12-17,73.25,74.88,72.06,72.75,21.908702769605256,6655667,0.0000,1.0
1999-12-20,73.38,73.94,72.25,72.25,21.75812749283821,4137067,0.0000,1.0
1999-12-21,72.38,76.5,72.12,75.0,22.586291515056963,5240000,0.0000,1.0
1999-12-22,75.0,75.63,74.0,74.88,22.550153448632873,2252267,0.0000,1.0
1999-12-23,76.25,77.94,76.06,77.5,23.339167898892196,2891600,0.0000,1.0
1999-12-27,77.5,79.19,76.5,76.5,23.038017345358103,2541200,0.0000,1.0
1999-12-28,76.69,77.37,76.31,76.44,23.01994831214606,1502200,0.0000,1.0
1999-12-29,77.19,78.19,76.94,77.56,23.357236932104243,1533467,0.0000,1.0
1999-12-30,77.56,78.69,76.75,78.06,23.50781220887129,1277400,0.0000,1.0
1999-12-31,78.0,78.38,77.69,77.69,23.396386504063674,773600,0.0000,1.0
2000-01-03,74.75,75.38,72.12,72.87,21.94484083602935,8012800,0.0000,1.0
2000-01-04,70.62,71.19,69.19,70.88,21.46902296144548,7815600,0.4100,1.0
2000-01-05,70.25,72.56,69.0,70.44,21.335750245544858,5809667,0.0000,1.0
2000-01-06,70.12,72.94,69.75,71.44,21.638642781682634,5579467,0.0000,1.0
2000-01-07,72.63,73.5,71.0,72.75,22.035432004023118,4381267,0.0000,1.0
2000-01-10,72.75,73.38,71.5,71.5,21.6568163338509,3149000,0.0000,1.0
2000-01-11,70.0,70.44,68.25,69.81,21.14492794777806,5603667,0.0000,1.0
2000-01-12,69.69,70.88,69.5,70.25,21.278200663678682,4847867,0.0000,1.0
2000-01-13,71.13,72.5,70.56,71.31,21.599266751984725,4612600,0.0000,1.0
2000-01-14,73.94,75.75,72.81,73.88,22.377700569858803,6487867,0.0000,1.0
2000-01-18,73.94,74.5,70.25,71.0,21.505370065782014,3531067,0.0000,1.0
2000-01-19,72.25,75.38,72.25,74.13,22.453423703893247,10489800,0.0000,1.0
2000-01-20,75.38,76.0,72.75,74.06,22.432221226363605,5180200,0.0000,1.0
2000-01-21,73.88,74.0,72.63,72.94,22.092981585889294,3440400,0.0000,1.0
2000-01-24,74.37,74.56,72.19,73.0,22.111155138057562,4306067,0.0000,1.0
2000-01-25,73.0,75.75,73.0,74.62,22.60184104660076,5053267,0.0000,1.0
2000-01-26,75.38,79.0,75.0,78.44,23.75889053464706,5591067,0.0000,1.0
2000-01-27,79.44,81.5,78.56,80.69,24.44039874095705,5443867,0.0000,1.0
2000-01-28,79.56,79.56,76.62,76.69,23.22882859640595,5000000,0.0000,1.0
2000-01-31,76.81,81.5,76.81,80.69,24.44039874095705,4773467,0.0000,1.0
2000-02-01,82.44,84.5,81.31,83.75,25.367249901538642,6434000,0.0000,1.0
2000-02-02,83.0,84.19,81.38,82.38,24.95228712702989,4750800,0.0000,1.0
2000-02-03,83.5,84.87,80.25,83.19,25.197630081301487,6133467,0.0000,1.0
2000-02-04,82.5,83.31,81.56,81.75,24.761464829263094,3410067,0.0000,1.0
2000-02-07,82.19,83.37,81.75,82.19,24.894737545163714,3122800,0.0000,1.0
2000-02-08,84.06,86.13,84.0,85.06,25.764039123879126,4212400,0.0000,1.0
2000-02-09,84.94,86.37,82.44,82.88,25.103733395098775,6545667,0.0000,1.0
2000-02-10,83.13,83.75,81.38,83.13,25.17945652913322,4587000,0.0000,1.0
2000-02-11,83.25,85.0,82.0,82.62,25.024981335702957,4701667,0.0000,1.0
2000-02-14,82.25,83.44,79.06,79.06,23.946683907052478,3936467,0.0000,1.0
2000-02-15,80.06,82.5,79.62,81.06,24.55246897932803,5977000,0.0000,1.0
2000-02-16,81.0,82.19,79.0,79.5,24.079956622953098,3219800,0.0000,1.0
2000-02-17,80.62,81.5,77.81,78.38,23.74071698247879,3810800,0.0000,1.0
2000-02-18,78.06,78.56,74.56,74.75,22.64121707629867,5414200,0.0000,1.0
2000-02-22,76.0,78.87,75.12,77.25,23.398448416643106,4712400,0.0000,1.0
2000-02-23,77.37,79.19,76.56,77.37,23.43479552097964,2968600,0.0000,1.0
2000-02-24,77.25,77.56,74.62,76.0,23.019832746470886,3466600,0.0000,1.0
2000-02-25,76.62,78.75,74.88,75.87,22.980456716772977,3096200,0.0000,1.0
2000-02-28,76.75,80.25,76.38,77.94,23.60744426657817,4034000,0.0000,1.0
2000-02-29,77.69,81.0,77.69,79.62,24.116303727289633,4111267,0.0000,1.0
2000-03-01,79.88,82.0,78.87,82.0,24.837187963297534,3244200,0.0000,1.0
2000-03-02,80.5,81.12,79.75,80.56,24.40102271125914,2389200,0.0000,1.0
2000-03-03,82.0,82.38,79.38,81.12,24.570642531496297,3987600,0.0000,1.0
2000-03-06,82.94,84.38,82.25,83.44,25.27335321533593,3794267,0.0000,1.0
2000-03-07,83.44,84.19,81.0,81.81,24.779638381431358,3044600,0.0000,1.0
2000-03-08,80.75,81.44,78.63,79.0,23.92851035488421,3498467,0.0000,1.0
2000-03-09,78.75,81.25,78.06,81.12,24.570642531496297,2653000,0.0000,1.0
2000-03-10,80.0,81.56,77.75,78.69,23.834613668681502,3540867,0.0000,1.0
2000-03-13,77.62,81.19,77.13,80.06,24.249576443190254,3148867,0.0000,1.0
2000-03-14,80.5,80.94,78.5,79.0,23.92851035488421,2753067,0.0000,1.0
2000-03-15,77.88,84.19,77.19,83.13,25.17945652913322,5907800,0.0000,1.0
2000-03-16,84.94,90.38,84.19,90.12,27.29667535673627,10423267,0.0000,1.0
2000-03-17,89.25,92.25,88.5,91.0,27.56322078853751,7926067,0.0000,1.0
2000-03-20,90.0,90.5,84.5,86.56,26.21837792808579,5384067,0.0000,1.0
2000-03-21,86.44,92.5,85.5,92.0,27.866113324675286,5563667,0.0000,1.0
2000-03-22,90.63,92.13,88.75,91.56,27.732840608774666,5736067,0.0000,1.0
2000-03-23,91.0,99.19,90.94,98.5,29.834914809570822,6954267,0.0000,1.0
2000-03-24,97.0,100.75,96.0,96.19,29.13523305109256,6326000,0.0000,1.0
2000-03-27,96.0,96.87,93.56,94.69,28.6808942468859,3219267,0.0000,1.0
2000-03-28,93.75,95.75,93.12,94.25,28.54762153098528,4883800,0.0000,1.0
2000-03-29,94.25,94.5,89.31,90.38,27.375427416132087,6058867,0.0000,1.0
2000-03-30,89.44,90.75,85.94,87.0,26.35165064398641,5344800,0.0000,1.0
2000-03-31,88.0,88.38,86.0,87.19,26.409200225852587,4536667,0.0000,1.0
2000-04-03,87.94,93.0,87.81,92.5,28.01755959274417,5673000,0.0000,1.0
2000-04-04,91.5,91.88,83.0,86.75,26.421315927298103,8425800,0.4800,1.0
2000-04-05,84.25,86.94,84.25,86.37,26.30557990363962,4873800,0.0000,1.0
2000-04-06,87.0,88.25,86.81,87.44,26.631468180783237,3235600,0.0000,1.0
2000-04-07,88.25,88.25,86.0,86.37,26.30557990363962,3276067,0.0000,1.0
2000-04-10,85.5,89.06,85.12,88.12,26.83857474943526,5243267,0.0000,1.0
2000-04-11,87.0,87.87,85.0,86.0,26.192889564814255,5478067,0.0000,1.0
2000-04-12,87.94,90.94,86.5,86.81,26.43959003629681,6088867,0.0000,1.0
2000-04-13,86.0,86.75,84.25,84.5,25.736036839846566,4520667,0.0000,1.0
2000-04-14,82.0,82.38,75.75,78.87,24.02131627880117,8723000,0.0000,1.0
2000-04-17,77.5,79.44,74.94,78.63,23.948219842806335,5805800,0.0000,1.0
2000-04-18,78.25,80.94,78.06,80.5,24.51776290659939,4555600,0.0000,1.0
2000-04-19,80.75,81.0,75.63,78.0,23.756341698319908,6038067,0.0000,1.0
2000-04-20,78.12,78.19,76.25,77.31,23.54618944483477,3027067,0.0000,1.0
2000-04-24,76.0,76.44,74.44,74.75,22.766494127556577,5195200,0.0000,1.0
2000-04-25,75.75,78.56,75.25,78.06,23.774615807318614,4218067,0.0000,1.0
2000-04-26,78.75,78.75,76.19,76.44,23.281214864353508,3667000,0.0000,1.0
2000-04-27,75.12,75.5,73.31,73.88,22.501519547075315,6198800,0.0000,1.0
2000-04-28,74.25,74.69,71.75,72.12,21.96547901644656,5735467,0.0000,1.0
2000-05-01,72.5,75.38,71.56,73.75,22.461925644244783,5626467,0.0000,1.0
2000-05-02,73.81,77.0,73.38,76.12,23.183752949693737,5607467,0.0000,1.0
2000-05-03,75.19,76.75,74.25,74.25,22.61420988590068,6213667,0.0000,1.0
2000-05-04,75.12,75.44,72.87,73.25,22.309641402588888,4114800,0.0000,1.0
2000-05-05,72.0,72.75,70.5,72.19,21.986798810278383,9670067,0.0000,1.0
2000-05-08,71.62,73.19,71.31,72.0,21.928930798449144,3665067,0.0000,1.0
2000-05-09,72.25,72.69,70.88,70.88,21.587814097139933,4252000,0.0000,1.0
2000-05-10,70.69,70.69,68.75,68.75,20.939083227685817,4410667,0.0000,1.0
2000-05-11,70.06,70.69,68.5,70.0,21.319793831825557,5235400,0.0000,1.0
2000-05-12,69.12,72.87,68.13,71.62,21.813194774790663,8147867,0.0000,1.0
2000-05-15,72.75,75.19,72.06,74.62,22.726900224726045,4468800,0.0000,1.0
2000-05-16,76.62,76.69,73.69,74.25,22.61420988590068,5283400,0.0000,1.0
2000-05-17,73.25,74.94,73.06,74.0,22.538067765072732,2900400,0.0000,1.0
2000-05-18,73.75,76.38,73.75,75.12,22.879184466381943,3437467,0.0000,1.0
2000-05-19,74.62,74.94,72.25,72.5,22.081215040105043,3409667,0.0000,1.0
2000-05-22,73.25,73.25,70.5,72.19,21.986798810278383,2776400,0.0000,1.0
2000-05-23,71.94,74.56,71.94,73.12,22.270047499758356,3472467,0.0000,1.0
2000-05-24,72.5,73.44,70.5,71.62,21.813194774790663,5715400,0.0000,1.0
2000-05-25,72.0,73.75,69.75,70.25,21.395935952653506,5147600,0.0000,1.0
