date,open,high,low,close,adj_close,volume,dividend,split
1999-11-01,68.94,70.0,68.25,68.75,33.90183470498711,2400000,0.0000,1.0
1999-11-02,69.63,69.88,68.56,68.88,33.96593999242927,2254400,0.0000,1.0
1999-11-03,70.88,72.38,70.81,71.88,35.44529277955598,4182500,0.0000,1.0
1999-11-04,73.13,76.56,72.75,76.13,37.54104256131882,5294600,0.0000,1.0
1999-11-05,77.19,78.75,76.75,77.0,37.97005486958557,5094000,0.0000,1.0
1999-11-08,76.0,76.38,74.63,75.25,37.107099077094986,2621800,0.0000,1.0
1999-11-09,75.25,75.69,73.56,74.0,36.49070208245885,1899100,0.0000,1.0
1999-11-10,74.31,76.69,73.5,75.94,37.56076726514718,1994100,0.2300,1.0
1999-11-11,77.88,77.88,76.44,76.88,38.02570170324618,1843200,0.0000,1.0
1999-11-12,77.38,77.56,75.75,77.38,38.2730072554265,1410900,0.0000,1.0
1999-11-15,76.75,76.88,73.88,73.88,36.541868390164254,2285000,0.0000,1.0
1999-11-16,74.25,77.0,74.25,77.0,38.08505503576946,2093600,0.0000,1.0
1999-11-17,75.25,76.31,74.63,75.06,37.12550949330981,2534200,0.0000,1.0
1999-11-18,74.06,75.13,73.5,73.63,36.41821561407409,2084700,0.0000,1.0
1999-11-19,72.0,73.19,72.0,72.88,36.04725728580361,2393600,0.0000,1.0
1999-11-22,72.5,75.13,71.63,75.06,37.12550949330981,1413000,0.0000,1.0
1999-11-23,75.25,75.31,73.06,73.5,36.35391617050721,2051900,0.0000,1.0
1999-11-24,73.0,73.94,72.81,73.56,36.38359283676885,1178500,0.0000,1.0
1999-11-26,72.56,72.81,72.19,72.44,35.82962839988493,651800,0.0000,1.0
1999-11-29,71.63,75.63,71.13,75.38,37.28378504670522,1966600,0.0000,1.0
1999-11-30,73.5,74.44,71.0,71.75,35.488346737876086,3008900,0.0000,1.0
1999-12-01,71.13,71.88,70.13,71.44,35.33501729552429,2420400,0.0000,1.0
1999-12-02,72.0,72.0,70.5,71.32,35.27566396300101,2120900,0.0000,1.0
1999-12-03,72.25,73.88,71.38,71.88,35.55264618144297,2493500,0.0000,1.0
1999-12-06,71.31,71.31,69.25,69.5,34.375471753064645,2545900,0.0000,1.0
1999-12-07,69.69,69.94,66.0,66.5,32.891638439982714,3834100,0.0000,1.0
1999-12-08,67.19,67.38,66.13,66.25,32.76798566389255,1914500,0.0000,1.0
1999-12-09,66.38,68.94,65.75,66.88,33.079590659639756,1900200,0.0000,1.0
1999-12-10,66.25,67.69,65.63,65.88,32.58497955527911,1866400,0.0000,1.0
1999-12-13,65.25,65.56,63.63,64.13,31.71941012264799,4143000,0.0000,1.0
1999-12-14,64.0,67.25,63.63,66.38,32.832285107459434,3542800,0.0000,1.0
1999-12-15,65.75,68.63,65.69,68.56,33.91053731496564,3189500,0.0000,1.0
1999-12-16,67.5,68.5,66.38,66.88,33.079590659639756,3546200,0.0000,1.0
1999-12-17,66.94,67.5,65.94,67.06,33.16862065842468,3341600,0.0000,1.0
1999-12-20,65.63,66.38,64.5,65.0,32.14972178344175,3192500,0.0000,1.0
1999-12-21,64.81,65.56,63.75,65.44,32.367350669360434,2384600,0.0000,1.0
1999-12-22,65.31,67.5,64.81,66.88,33.079590659639756,1943400,0.0000,1.0
1999-12-23,67.44,68.5,67.19,68.25,33.75720787261384,1904500,0.0000,1.0
1999-12-27,67.25,70.5,67.06,70.5,34.87008285742529,2152300,0.0000,1.0
1999-12-28,69.63,69.63,67.75,68.44,33.85118398244236,1548700,0.0000,1.0
1999-12-29,68.75,68.75,66.63,67.31,33.29227343451484,955900,0.0000,1.0
1999-12-30,66.75,68.25,66.31,67.25,33.262596768253196,1089600,0.0000,1.0
1999-12-31,67.44,67.44,66.19,66.5,32.891638439982714,906200,0.0000,1.0
2000-01-03,65.0,67.0,65.0,65.56,32.426704001883714,2645000,0.0000,1.0
2000-01-04,64.25,65.44,62.75,63.5,31.407805126900787,3701000,0.0000,1.0
2000-01-05,63.13,65.31,63.0,64.44,31.87273956499979,3411000,0.0000,1.0
2000-01-06,65.0,66.19,64.31,66.19,32.73830899763092,2460100,0.0000,1.0
2000-01-07,68.0,71.06,67.5,71.06,35.147065075867246,5863300,0.0000,1.0
2000-01-10,71.06,71.06,67.94,68.13,33.69785454009056,2830500,0.0000,1.0
2000-01-11,67.0,69.38,67.0,68.5,33.880860648704,3309700,0.0000,1.0
2000-01-12,67.63,68.31,66.94,67.5,33.38624954434336,3573600,0.0000,1.0
2000-01-13,65.75,68.38,65.63,66.69,32.98561454981124,3639400,0.0000,1.0
2000-01-14,68.94,69.25,68.0,68.31,33.786884538875476,3750300,0.0000,1.0
2000-01-18,69.38,69.38,66.5,67.31,33.29227343451484,2082900,0.0000,1.0
2000-01-19,66.0,68.0,65.75,67.75,33.50990232043352,2193700,0.0000,1.0
2000-01-20,67.69,68.25,65.56,66.78,33.03012954920369,2136400,0.0000,1.0
2000-01-21,65.13,65.63,64.13,64.75,32.026069007351595,4051000,0.0000,1.0
2000-01-24,64.63,64.81,61.56,62.13,30.73018791392671,4206900,0.0000,1.0
2000-01-25,62.38,63.25,61.75,62.31,30.819217912711625,3148700,0.0000,1.0
2000-01-26,62.94,63.38,62.13,62.75,31.036846798630307,2233100,0.0000,1.0
2000-01-27,62.0,64.38,61.5,64.25,31.77876345517127,3052200,0.0000,1.0
2000-01-28,65.0,67.38,64.88,65.31,32.30305122579355,4284500,0.0000,1.0
2000-01-31,65.94,67.0,62.38,66.88,33.079590659639756,3334100,0.0000,1.0
2000-02-01,65.88,66.5,64.69,65.56,32.426704001883714,2981300,0.0000,1.0
2000-02-02,65.5,66.06,63.88,65.06,32.17939844970339,2066300,0.0000,1.0
2000-02-03,65.31,65.81,63.63,65.25,32.27337455953191,2643600,0.0000,1.0
2000-02-04,64.88,65.25,64.5,64.88,32.090368450918476,1717600,0.0000,1.0
2000-02-07,65.44,65.44,62.75,63.31,31.31382901707227,1957400,0.0000,1.0
2000-02-08,62.63,63.75,62.63,63.31,31.31382901707227,2536700,0.0000,1.0
2000-02-09,64.38,64.38,61.69,61.75,30.542235694269664,3211000,0.0000,1.0
2000-02-10,61.88,63.0,61.81,62.31,30.819217912711625,2080000,0.0000,1.0
2000-02-11,62.5,62.56,61.06,61.63,30.611481248880157,3268100,0.2600,1.0
2000-02-14,61.38,62.0,60.44,60.75,30.174387244352904,2758000,0.0000,1.0
2000-02-15,60.88,61.69,60.63,61.19,30.39293424661653,2989400,0.0000,1.0
2000-02-16,62.0,62.44,61.19,61.25,30.42273611056157,3292800,0.0000,1.0
2000-02-17,61.75,61.94,60.19,60.19,29.8962365141992,3290500,0.0000,1.0
2000-02-18,60.31,60.38,58.25,58.5,29.056817346413908,3684000,0.0000,1.0
2000-02-22,59.75,60.38,57.63,59.5,29.55351507883124,2716500,0.0000,1.0
2000-02-23,59.75,60.88,58.31,60.31,29.95584024208928,2489800,0.0000,1.0
2000-02-24,59.94,60.25,57.88,58.56,29.08661921035895,2612700,0.0000,1.0
2000-02-25,58.44,58.81,56.13,56.69,28.157794450738535,2554400,0.0000,1.0
2000-02-28,57.0,58.44,57.0,57.5,28.560119613996577,3832900,0.0000,1.0
2000-02-29,58.5,60.5,58.38,59.44,29.5237132148862,4138700,0.0000,1.0
2000-03-01,59.44,60.25,58.0,58.88,29.245562484732496,4186700,0.0000,1.0
2000-03-02,57.88,59.38,57.19,57.69,28.654492183155867,2095800,0.0000,1.0
2000-03-03,58.63,59.0,57.56,58.0,28.808468480205242,2085200,0.0000,1.0
2000-03-06,57.25,58.69,57.13,57.63,28.62469031921083,2549700,0.0000,1.0
2000-03-07,57.88,57.94,54.0,54.5,27.070026416744582,3998100,0.0000,1.0
2000-03-08,55.0,57.38,54.5,55.5,27.566724149161914,4282600,0.0000,1.0
2000-03-09,56.44,60.06,56.44,60.06,29.831665808984948,3853500,0.0000,1.0
2000-03-10,60.13,61.94,60.0,61.19,30.39293424661653,3535800,0.0000,1.0
2000-03-13,61.0,61.0,57.63,59.25,29.429340645726906,2115500,0.0000,1.0
2000-03-14,58.25,58.69,57.38,57.44,28.530317750051534,2133000,0.0000,1.0
2000-03-15,57.44,63.5,57.38,62.75,31.167782709187566,4364700,0.0000,1.0
2000-03-16,63.88,65.94,63.0,64.75,32.16117817402223,5316400,0.0000,1.0
2000-03-17,63.88,63.94,61.0,61.38,30.487306815775824,4843300,0.0000,1.0
2000-03-20,61.38,61.44,59.63,60.75,30.174387244352904,2271100,0.0000,1.0
2000-03-21,59.75,62.0,59.69,61.69,30.641283112825196,2987000,0.0000,1.0
2000-03-22,62.38,64.31,61.63,63.56,31.570107872445607,3347000,0.0000,1.0
2000-03-23,64.19,64.81,63.56,64.38,31.977400013027818,3159800,0.0000,1.0
2000-03-24,64.12,64.19,61.12,62.12,30.85486313776465,2061200,0.0000,1.0
2000-03-27,62.0,62.31,59.94,60.5,30.05021281124857,2013000,0.0000,1.0
2000-03-28,59.81,61.0,59.5,60.25,29.926038378144238,2114100,0.0000,1.0
2000-03-29,60.13,61.5,60.13,61.0,30.298561677457236,2834600,0.0000,1.0
2000-03-30,61.25,63.13,60.75,60.75,30.174387244352904,3098400,0.0000,1.0
