date,open,high,low,close,adj_close,volume,dividend,split
1999-11-01,34.69,36.13,34.63,35.63,21.62123943851212,4935500,0.0000,1.0
1999-11-02,36.63,38.0,36.06,36.25,21.99747206416122,6979500,0.0000,1.0
1999-11-03,36.38,37.88,36.25,37.69,22.871302678572036,5394000,0.0000,1.0
1999-11-04,38.0,38.13,37.25,37.69,22.871302678572036,4346600,0.0000,1.0
1999-11-05,38.0,38.56,37.81,37.88,22.986599773529022,4330500,0.0000,1.0
1999-11-08,37.94,38.13,36.44,36.94,22.416182566899735,3653500,0.0000,1.0
1999-11-09,37.06,37.13,35.13,35.13,21.317826030730586,4272900,0.0000,1.0
1999-11-10,35.0,35.69,34.94,35.38,21.469532734621353,4304100,0.0000,1.0
1999-11-11,35.5,36.75,35.44,36.75,22.300885471942753,3099500,0.0000,1.0
1999-11-12,36.44,36.63,35.75,36.13,21.924652846293654,2183500,0.0000,1.0
1999-11-15,36.13,37.44,35.75,37.25,22.60429887972429,3049300,0.0000,1.0
1999-11-16,37.19,38.69,37.19,38.38,23.290013181310556,4048400,0.0000,1.0
1999-11-17,38.88,39.44,38.44,39.0,23.666245806959658,4650800,0.0000,1.0
1999-11-18,39.13,40.19,38.75,39.88,24.200253404655157,6013000,0.0000,1.0
1999-11-19,39.69,39.69,38.56,38.69,23.478129494135104,3505400,0.0000,1.0
1999-11-22,38.94,39.63,37.69,39.0,23.666245806959658,3393000,0.0000,1.0
1999-11-23,39.06,39.25,37.44,38.0,23.05941899139659,3708100,0.0000,1.0
1999-11-24,38.25,39.69,38.0,38.63,23.441719885201323,2598900,0.0000,1.0
1999-11-26,39.19,39.88,38.69,38.88,23.59342658909209,932900,0.0000,1.0
1999-11-29,38.5,38.88,38.0,38.44,23.326422790244337,2136200,0.0000,1.0
1999-11-30,38.0,39.25,37.75,38.81,23.550948712002675,2424800,0.0000,1.0
1999-12-01,38.5,38.81,37.88,38.0,23.05941899139659,2539000,0.0000,1.0
1999-12-02,38.25,40.0,38.19,39.43,23.927181337651778,4110900,0.0000,1.0
1999-12-03,40.19,40.56,39.81,39.94,24.23666301358894,5259500,0.0000,1.0
1999-12-06,39.69,39.94,38.75,39.0,23.666245806959658,2897600,0.0000,1.0
1999-12-07,38.75,38.75,36.0,36.69,22.26447586300897,5792600,0.0000,1.0
1999-12-08,37.0,37.38,36.38,36.5,22.149178768051986,3381400,0.0000,1.0
1999-12-09,36.94,37.0,35.38,36.63,22.228066254075188,3101500,0.0000,1.0
1999-12-10,37.5,37.5,35.69,36.06,21.88217496920424,2630200,0.0000,1.0
1999-12-13,35.56,35.88,34.5,34.94,21.2025289357736,3321500,0.0000,1.0
1999-12-14,34.75,35.56,34.31,35.31,21.42705485753194,3884200,0.0000,1.0
1999-12-15,35.5,36.38,35.06,36.0,21.845765360270452,2922000,0.0000,1.0
1999-12-16,36.13,36.25,34.0,34.75,21.087231840816617,4191300,0.0000,1.0
1999-12-17,35.25,35.25,33.44,33.56,20.365107930296567,6111300,0.0000,1.0
1999-12-20,33.94,34.25,33.06,33.63,20.407585807385985,5171800,0.0000,1.0
1999-12-21,33.25,34.75,32.81,34.31,20.820228041968868,5012200,0.0000,1.0
1999-12-22,34.31,35.81,34.13,35.5,21.542351952488918,3942700,0.0000,1.0
1999-12-23,35.31,37.75,35.19,37.25,22.60429887972429,3800700,0.0000,1.0
1999-12-27,37.31,37.56,36.56,37.44,22.71959597468127,2186900,0.0000,1.0
1999-12-28,37.0,37.13,36.0,36.13,21.924652846293654,1803200,0.0000,1.0
1999-12-29,36.5,37.94,36.38,37.5,22.756005583615057,2688400,0.0000,1.0
1999-12-30,37.5,38.0,36.5,36.69,22.26447586300897,1371500,0.0000,1.0
1999-12-31,36.81,37.19,36.38,36.44,22.1127691591182,697200,0.0000,1.0
2000-01-03,33.0,35.25,32.75,34.25,20.783818433035083,9266900,0.0000,1.0
2000-01-04,34.31,35.5,34.25,34.5,20.93552513692585,5109300,0.0000,1.0
2000-01-05,35.0,36.44,34.63,35.94,21.833628823959188,5841200,0.0400,1.0
2000-01-06,36.56,38.31,36.31,38.0,23.08508334197132,6130500,0.0000,1.0
2000-01-07,39.75,43.0,39.31,42.25,25.66696766311285,11537600,0.0000,1.0
2000-01-10,41.63,43.25,41.44,41.94,25.478641983217816,6966700,0.0000,1.0
2000-01-11,41.56,43.06,41.44,42.13,25.594067399927678,4413700,0.0000,1.0
2000-01-12,41.63,42.06,41.31,42.06,25.55154224640299,3243300,0.0000,1.0
2000-01-13,42.0,44.13,41.94,43.5,26.426345404625064,5029300,0.0000,1.0
2000-01-14,44.75,44.94,43.63,43.88,26.657196238044776,5759600,0.0000,1.0
2000-01-18,44.5,44.88,43.88,44.38,26.960947334649664,5947800,0.0000,1.0
2000-01-19,44.63,45.63,44.25,44.94,27.301148562847132,4288100,0.0000,1.0
2000-01-20,45.75,46.13,44.0,44.0,26.730096501229948,6083200,0.0000,1.0
2000-01-21,45.0,45.0,43.31,43.56,26.46279553621765,6105200,0.0000,1.0
2000-01-24,44.25,44.94,42.38,43.06,26.159044439612764,5749800,0.0000,1.0
2000-01-25,43.75,45.0,43.63,44.56,27.070297729427423,3742800,0.0000,1.0
2000-01-26,44.75,46.31,44.5,46.13,28.02407617276676,6589300,0.0000,1.0
2000-01-27,46.88,47.5,45.31,46.44,28.212401852661788,4539700,0.0000,1.0
2000-01-28,46.19,46.19,44.31,44.81,27.222173277729866,3981200,0.0000,1.0
2000-01-31,44.81,45.75,43.25,45.75,27.79322533934705,3717100,0.0000,1.0
2000-02-01,45.5,46.5,44.97,46.38,28.175951721069207,2960700,0.0000,1.0
2000-02-02,46.13,46.56,44.75,45.0,27.33759869443972,3099000,0.0000,1.0
2000-02-03,45.38,45.81,44.0,45.75,27.79322533934705,3275900,0.0000,1.0
2000-02-04,46.0,49.63,46.0,48.06,29.196555405661623,5717100,0.0000,1.0
2000-02-07,47.88,49.25,47.5,49.25,29.91948301558125,4373700,0.0000,1.0
2000-02-08,49.0,49.69,48.69,49.63,30.150333849000965,3328600,0.0000,1.0
2000-02-09,49.5,49.69,48.75,48.88,29.694707204093636,3685400,0.0000,1.0
2000-02-10,49.0,49.19,48.0,48.0,29.160105274069036,2088800,0.0000,1.0
2000-02-11,48.75,48.75,45.0,46.0,27.94510088764949,6163300,0.0000,1.0
2000-02-14,46.38,48.06,46.19,46.38,28.175951721069207,4625300,0.0000,1.0
2000-02-15,46.63,46.63,44.88,45.44,27.60489965945202,4631000,0.0000,1.0
2000-02-16,45.44,46.0,44.06,44.25,26.88197204953239,4768700,0.0000,1.0
2000-02-17,46.25,47.25,46.19,46.56,28.285302115846964,5653400,0.0000,1.0
2000-02-18,47.5,48.38,47.38,47.69,28.971779594174006,5579200,0.0000,1.0
2000-02-22,48.0,49.88,47.69,49.19,29.883032883988662,4152000,0.0000,1.0
2000-02-23,49.19,49.25,47.56,48.5,29.46385637067392,3148900,0.0000,1.0
2000-02-24,49.0,49.94,48.13,49.5,30.07135856388369,6309100,0.0000,1.0
2000-02-25,49.75,49.81,46.38,47.44,28.81990404587156,3017400,0.0000,1.0
2000-02-28,47.44,49.56,45.56,48.0,29.160105274069036,5692500,0.0000,1.0
2000-02-29,48.13,49.0,47.19,48.44,29.427406239081332,3287800,0.0000,1.0
2000-03-01,48.38,49.31,47.44,49.13,29.846582752396078,2397400,0.0000,1.0
2000-03-02,49.0,50.5,48.69,49.0,29.767607467278808,3221400,0.0000,1.0
2000-03-03,49.25,51.5,49.13,51.38,31.213462687118064,3125600,0.0000,1.0
2000-03-06,52.25,52.94,49.06,49.5,30.07135856388369,6101200,0.0000,1.0
