date,open,high,low,close,adj_close,volume,dividend,split
1999-11-01,93.25,94.19,92.12,92.37,28.093030414672135,26630600,0.0000,1.0
1999-11-02,92.75,94.5,91.94,92.56,28.15081623018353,23174500,0.0000,1.0
1999-11-03,92.94,93.5,91.5,92.0,27.980500142360466,22258500,0.0000,1.0
1999-11-04,92.31,92.75,90.31,91.75,27.904466174582314,27119700,0.0000,1.0
1999-11-05,91.81,92.87,90.5,91.56,27.846680359070916,35083700,0.0000,1.0
1999-11-08,84.81,90.75,84.37,89.94,27.35398024786848,121909600,0.0000,1.0
1999-11-09,89.75,89.87,86.44,88.87,27.028554865777988,54884900,0.0000,1.0
1999-11-10,88.12,89.12,86.44,87.12,26.496317091330912,34692700,0.0000,1.0
1999-11-11,88.25,90.44,88.25,89.62,27.256656769112446,34637300,0.0000,1.0
1999-11-12,89.75,90.0,87.06,89.19,27.125878344534023,24707100,0.0000,1.0
1999-11-15,88.25,88.5,86.94,87.0,26.459820786797398,23540200,0.0000,1.0
1999-11-16,86.94,87.75,85.87,87.31,26.55410290684231,29582600,0.0000,1.0
1999-11-17,86.44,87.06,85.0,85.0,25.85154904457217,33409500,0.0000,1.0
1999-11-18,84.94,85.81,84.5,84.94,25.833300892305413,32246600,0.0000,1.0
1999-11-19,84.44,86.56,84.37,86.0,26.155684915684784,29113000,0.0000,1.0
1999-11-22,89.62,90.37,88.44,89.81,27.314442584623844,45298300,0.0000,1.0
1999-11-23,89.25,91.37,88.37,89.62,27.256656769112446,35393700,0.0000,1.0
1999-11-24,89.56,92.25,89.5,91.69,27.886218022315557,26885500,0.0000,1.0
1999-11-26,91.62,93.37,91.0,91.12,27.712860575781367,14257100,0.0000,1.0
1999-11-29,90.12,92.06,89.5,90.19,27.430014215646636,25730100,0.0000,1.0
1999-11-30,89.75,92.87,89.56,91.05,27.691571064803483,32072800,0.0000,1.0
1999-12-01,91.06,93.94,90.87,93.19,28.342421828984477,24432100,0.0000,1.0
1999-12-02,93.06,95.25,92.87,94.81,28.835121940186912,27736900,0.0000,1.0
1999-12-03,95.81,97.12,95.73,96.12,29.23353993134444,32050300,0.0000,1.0
1999-12-06,95.25,97.19,94.75,95.44,29.026727538987856,24549100,0.0000,1.0
1999-12-07,94.75,94.87,92.87,93.0,28.28463601347308,28429600,0.0000,1.0
1999-12-08,93.12,94.31,91.69,91.75,27.904466174582314,20477900,0.0000,1.0
1999-12-09,92.0,93.31,91.44,92.75,28.208602045694928,23129100,0.0000,1.0
1999-12-10,93.37,94.12,92.25,93.87,28.549234221341056,18418000,0.0000,1.0
1999-12-13,93.61,96.94,92.75,96.62,29.385607866900745,26345800,0.0000,1.0
1999-12-14,96.19,101.12,95.31,98.69,30.015169120103852,72058100,0.0000,1.0
1999-12-15,98.56,108.75,98.5,108.44,32.980493863451834,77785800,0.0000,1.0
1999-12-16,109.25,115.0,108.94,113.69,34.57720718679306,64330100,0.0000,1.0
1999-12-17,116.62,117.12,113.62,115.25,35.051659145728735,52949400,0.0000,1.0
1999-12-20,114.81,115.0,111.19,112.75,34.291319467947204,19716900,0.0000,1.0
1999-12-21,112.37,116.62,110.62,115.87,35.24022338581856,28723000,0.0000,1.0
1999-12-22,116.3,118.0,115.12,117.56,35.75421300799888,19282600,0.0000,1.0
1999-12-23,117.25,119.25,116.75,117.44,35.71771670346536,15514200,0.0000,1.0
1999-12-27,118.44,119.25,116.12,119.12,36.22866496693455,16101100,0.0000,1.0
1999-12-28,118.75,118.81,117.06,117.5,35.73596485573212,12295500,0.0000,1.0
1999-12-29,116.94,118.37,116.81,117.94,35.86978463902167,8724600,0.0000,1.0
1999-12-30,117.87,119.94,117.12,117.62,35.772461160265635,11180000,0.0000,1.0
1999-12-31,117.5,117.75,116.25,116.75,35.50786295239766,6258800,0.0000,1.0
2000-01-03,117.37,118.62,112.0,116.56,35.450077136886264,26614200,0.0000,1.0
2000-01-04,113.56,117.12,112.25,112.62,34.25178180470257,27059500,0.0000,1.0
2000-01-05,111.12,116.37,109.37,113.81,34.613703491326575,32029800,0.0000,1.0
2000-01-06,112.19,113.87,108.37,110.0,33.454945822387515,27488300,0.0000,1.0
2000-01-07,108.62,112.25,107.31,111.44,33.892901476789675,31006800,0.0000,1.0
2000-01-10,113.44,113.69,111.37,112.25,34.139251532390894,22481800,0.0000,1.0
2000-01-11,111.5,114.25,108.69,109.37,33.26334022358657,23371800,0.0000,1.0
2000-01-12,108.5,108.87,104.44,105.81,32.180616522425666,33266200,0.0000,1.0
2000-01-13,104.37,108.62,101.5,107.81,32.78888826465089,41572000,0.0000,1.0
2000-01-14,107.19,113.94,105.75,112.25,34.139251532390894,36708200,0.0000,1.0
2000-01-18,111.81,116.5,111.75,115.31,35.06990729799549,40741800,0.0000,1.0
2000-01-19,110.5,111.5,106.0,107.0,32.542538209049674,48784100,0.0000,1.0
2000-01-20,107.06,109.69,105.87,106.0,32.23840233793706,28174900,0.0000,1.0
2000-01-21,107.0,107.25,103.25,103.75,31.554096627933678,34208100,0.0000,1.0
2000-01-24,103.8,105.69,100.81,101.25,30.793756950152144,31798800,0.0000,1.0
2000-01-25,101.0,103.87,99.56,102.81,31.26820890908782,29911600,0.0000,1.0
2000-01-26,102.44,103.5,99.12,99.37,30.22198151246043,24682500,0.0000,1.0
2000-01-27,99.89,101.19,97.25,98.75,30.03341727237061,31827400,0.0000,1.0
2000-01-28,98.12,100.25,97.25,98.25,29.881349336814303,29112700,0.0000,1.0
2000-01-31,97.62,98.19,94.87,97.87,29.76577770579151,36597100,0.0000,1.0
2000-02-01,98.5,103.25,97.69,102.94,31.307746572332462,35098300,0.0000,1.0
2000-02-02,102.44,103.94,100.5,100.81,30.659937166862594,24957800,0.0000,1.0
2000-02-03,102.06,104.19,100.12,103.62,31.51455896468904,24593000,0.0000,1.0
2000-02-04,104.37,108.0,104.14,106.56,32.40871842576012,27682700,0.0000,1.0
2000-02-07,106.81,106.87,104.25,106.62,32.42696657802688,20002900,0.0000,1.0
2000-02-08,106.44,110.0,106.44,109.94,33.43669767012076,28114500,0.0000,1.0
2000-02-09,109.44,109.44,103.87,104.0,31.630130595711833,27545000,0.0000,1.0
2000-02-10,103.89,106.56,102.5,106.0,32.23840233793706,27263900,0.0000,1.0
2000-02-11,104.87,104.87,99.12,99.94,30.395338958994618,57779500,0.0000,1.0
2000-02-14,101.23,101.75,99.06,99.62,30.298015480238586,40514300,0.0000,1.0
2000-02-15,99.75,100.0,98.12,98.56,29.975631456859215,35513800,0.0000,1.0
2000-02-16,99.25,100.19,97.12,97.62,29.68974373801336,32601300,0.0000,1.0
2000-02-17,98.5,99.69,97.14,99.62,30.298015480238586,40171700,0.0000,1.0
2000-02-18,100.0,100.06,94.87,95.06,28.911155907965064,39531500,0.0000,1.0
2000-02-22,95.12,97.12,92.81,93.81,28.5309860690743,33148100,0.0000,1.0
2000-02-23,93.5,95.75,92.06,94.25,28.66480585236385,37923600,0.0000,1.0
2000-02-24,94.25,95.87,92.0,94.75,28.816873787920155,34866600,0.0000,1.0
2000-02-25,94.69,94.7,90.5,91.31,27.770646391292765,32650700,0.0000,1.0
2000-02-28,90.25,92.12,88.12,91.56,27.846680359070916,38065900,0.0000,1.0
2000-02-29,91.75,91.75,88.87,89.37,27.180622801334295,29218700,0.0000,1.0
2000-03-01,89.62,94.09,88.94,90.81,27.618578455736458,53444900,0.0000,1.0
2000-03-02,91.81,95.37,91.12,93.37,28.39716628578475,53466300,0.0000,1.0
2000-03-03,94.75,98.87,93.87,96.12,29.23353993134444,50717600,0.0000,1.0
2000-03-06,96.0,97.37,90.12,90.62,27.56079264022506,46804700,0.0000,1.0
2000-03-07,96.12,97.5,91.94,92.87,28.245098350228442,67530500,0.0000,1.0
2000-03-08,93.81,96.19,91.0,95.56,29.06322384352137,47145000,0.0000,1.0
2000-03-09,95.31,100.0,95.0,100.0,30.41358711126138,44099400,0.0000,1.0
2000-03-10,99.56,102.5,99.5,101.0,30.717722982373992,42794500,0.0000,1.0
