date,open,high,low,close,adj_close,volume,dividend,split
1999-11-01,72.25,74.38,71.75,72.63,35.406194236154995,5175400,0.0000,1.0
1999-11-02,74.94,76.75,74.69,75.25,36.683410660480014,6003600,0.0000,1.0
1999-11-03,76.5,76.5,74.5,74.94,36.53228963317438,4698400,0.0000,1.0
1999-11-04,76.25,77.13,75.13,76.0,37.04902604912267,5065400,0.0000,1.0
1999-11-05,78.25,79.63,76.56,76.88,37.47801477179672,5218100,0.0000,1.0
1999-11-08,77.25,78.75,76.44,78.44,38.238494780173454,3219300,0.0000,1.0
1999-11-09,78.69,79.06,76.44,76.63,37.3561429755825,2742000,0.0000,1.0
1999-11-10,76.5,79.94,75.13,77.81,37.93137785371362,5727400,0.0000,1.0
1999-11-11,77.81,77.81,75.44,75.5,36.805282456694236,5544900,0.0000,1.0
1999-11-12,75.56,75.56,71.31,73.5,35.83030808698048,5030200,0.0000,1.0
1999-11-15,72.63,73.13,68.38,69.38,33.82186088537014,4555100,0.0000,1.0
1999-11-16,68.5,69.06,66.69,68.38,33.33437370051327,6491800,0.0000,1.0
1999-11-17,68.38,69.75,63.13,63.81,31.10655726571734,9323600,0.0000,1.0
1999-11-18,64.25,70.38,64.25,70.38,34.30934807022702,8819000,0.0000,1.0
1999-11-19,69.5,72.25,68.06,70.0,34.124102939981405,7783700,0.0000,1.0
1999-11-22,70.69,70.69,67.13,68.0,33.149128570267656,4272600,0.0000,1.0
1999-11-23,68.25,69.19,65.75,67.5,32.90538497783921,4466300,0.0000,1.0
1999-11-24,67.25,68.5,66.0,67.94,33.119879339176244,3381000,0.0000,1.0
1999-11-26,68.06,71.06,68.0,69.94,34.09485370888999,2248700,0.0000,1.0
1999-11-29,70.25,70.25,66.56,66.94,32.63239215431936,3387100,0.0000,1.0
1999-11-30,67.5,69.25,66.81,67.06,32.69089061650219,4692000,0.0000,1.0
1999-12-01,67.0,67.06,64.69,65.13,31.750040349728415,6219900,0.0000,1.0
