date,open,high,low,close,adj_close,volume,dividend,split
1999-11-01,21.75,24.38,21.75,23.5,0.04478836900938226,1630300,0.0000,1.0
1999-11-02,23.94,25.13,23.75,25.0,0.047647201073810916,1744800,0.0000,1.0
1999-11-03,26.0,28.13,25.81,27.44,0.05229756789861486,4191000,0.0000,1.0
1999-11-04,27.75,29.94,27.75,29.19,0.055632871973781625,2625700,0.0000,1.0
1999-11-05,30.0,30.25,26.88,28.25,0.05384133721340633,1284100,0.0000,1.0
1999-11-08,27.38,29.88,26.5,29.06,0.0553851065281978,979200,0.0000,1.0
1999-11-09,29.0,29.13,27.5,28.63,0.05456557466972826,567400,0.0000,1.0
1999-11-10,28.72,28.75,27.81,28.38,0.05408910265899015,300100,0.0000,1.0
1999-11-11,28.38,31.88,27.75,30.38,0.057900878744895024,1172300,0.0000,1.0
1999-11-12,31.69,32.0,29.88,32.0,0.06098841737447797,1044800,0.0000,1.0
1999-11-15,32.22,33.19,30.88,31.38,0.05980676678784746,754600,0.0000,1.0
1999-11-16,32.13,35.0,32.0,34.38,0.06552443091670478,1507900,0.0000,1.0
1999-11-17,35.0,37.5,34.5,35.69,0.06802114425297245,1638300,0.0000,1.0
1999-11-18,36.44,36.75,35.5,35.81,0.06824985081812676,491600,0.0000,1.0
1999-11-19,40.13,44.38,40.0,42.88,0.08172447928180049,4510800,0.0000,1.0
1999-11-22,43.97,44.0,40.25,42.81,0.08159106711879381,1125400,0.0000,1.0
1999-11-23,38.25,40.19,38.0,39.75,0.07575904970735936,1152600,0.0000,1.0
1999-11-24,39.56,40.0,35.56,38.5,0.07337668965366881,847600,0.0000,1.0
1999-11-26,38.13,38.5,37.0,38.25,0.0729002176429307,149500,0.0000,1.0
1999-11-29,38.13,38.63,36.0,36.88,0.07028915102408587,622100,0.0000,1.0
1999-11-30,37.0,37.63,34.63,34.63,0.06600090292744289,655600,0.0000,1.0
1999-12-01,34.63,36.88,34.63,36.38,0.06933620700260965,465700,0.0000,1.0
1999-12-02,36.5,39.56,36.5,39.06,0.07444398695772218,645600,0.0000,1.0
1999-12-03,39.44,40.13,37.63,38.13,0.07267151107777642,714100,0.0000,1.0
1999-12-06,38.25,39.38,38.25,39.19,0.07469175240330599,372100,0.0000,1.0
1999-12-07,39.5,39.56,36.38,37.88,0.07219503906703831,388300,0.0000,1.0
1999-12-08,37.75,39.94,37.63,39.56,0.07539693097919839,420200,0.0000,1.0
1999-12-09,39.5,40.5,37.0,38.38,0.07314798308851451,447800,0.0000,1.0
1999-12-10,39.06,39.25,37.25,37.94,0.07230939234961543,204800,0.0000,1.0
1999-12-13,37.5,38.81,37.0,37.81,0.07206162690403163,383000,0.0000,1.0
1999-12-14,37.88,38.81,36.81,37.19,0.07087997631740112,570600,0.0000,1.0
1999-12-15,36.94,37.13,35.13,36.0,0.06861196954628772,429100,0.0000,1.0
1999-12-16,36.19,36.75,35.63,35.75,0.06813549753554961,276200,0.0000,1.0
1999-12-17,36.75,38.19,36.56,37.63,0.0717185670563002,546000,0.0000,1.0
1999-12-20,37.69,41.13,36.38,40.75,0.07766493775031179,838400,0.0000,1.0
1999-12-21,40.75,42.56,39.25,42.5,0.08100024182547856,809100,0.0000,1.0
1999-12-22,42.63,44.0,41.0,43.5,0.08290612986843099,523300,0.0000,1.0
1999-12-23,43.56,46.5,43.38,46.38,0.08839508743213402,583800,0.0000,1.0
1999-12-27,47.38,47.44,44.13,44.63,0.08505978335696725,421700,0.0000,1.0
1999-12-28,44.63,46.25,44.38,44.5,0.08481201791138343,373300,0.0000,1.0
1999-12-29,44.41,46.5,44.38,46.0,0.08767084997581208,275300,0.0000,1.0
1999-12-30,46.0,46.69,45.25,46.38,0.08839508743213402,291200,0.0000,1.0
1999-12-31,46.28,47.0,46.13,46.94,0.08946238473618737,265300,0.0000,1.0
2000-01-03,47.25,47.63,45.25,46.81,0.08921461929060356,626900,0.0000,1.0
2000-01-04,46.0,46.13,43.25,45.56,0.08683225923691301,626000,0.0000,1.0
2000-01-05,44.25,45.0,43.75,44.19,0.08422119261806817,392400,0.0000,1.0
2000-01-06,44.06,44.06,39.5,41.19,0.07850352848921086,251000,0.0000,1.0
2000-01-07,41.0,42.31,40.38,41.88,0.07981859123884805,148300,0.0000,1.0
2000-01-10,42.0,45.0,41.25,43.25,0.08242965785769288,499700,0.0000,1.0
2000-01-11,43.0,43.5,41.5,41.5,0.07909435378252612,308600,0.0000,1.0
2000-01-12,41.5,41.56,39.88,40.44,0.07707411245699652,257400,0.0000,1.0
2000-01-13,40.38,42.5,39.88,42.13,0.08029506324958616,275400,0.0000,1.0
2000-01-14,42.75,45.69,42.63,43.94,0.08374472060733006,1259500,0.0000,1.0
2000-01-18,44.5,46.0,42.5,45.81,0.08730873124765112,545100,0.0000,1.0
2000-01-19,46.0,46.0,45.0,45.38,0.08648919938918158,343100,0.0000,1.0
2000-01-20,45.75,48.25,44.88,45.25,0.08624143394359776,374100,0.0000,1.0
2000-01-21,45.13,45.31,43.63,44.75,0.08528848992212154,1133900,0.0000,1.0
2000-01-24,46.19,46.19,42.5,42.75,0.08147671383621666,535300,0.0000,1.0
2000-01-25,42.94,43.38,41.0,42.38,0.08077153526032427,494000,0.0000,1.0
2000-01-26,42.38,43.5,39.88,40.63,0.07743623118515751,484300,0.0000,1.0
2000-01-27,40.94,40.94,37.0,38.5,0.07337668965366881,954600,0.0000,1.0
2000-01-28,38.0,38.25,35.88,37.38,0.07124209504556209,405100,0.0000,1.0
2000-01-31,37.56,38.38,35.0,37.06,0.0706322108718173,380000,0.0000,1.0
2000-02-01,37.13,38.25,35.75,37.94,0.07230939234961543,193700,0.0000,1.0
2000-02-02,38.13,39.75,37.94,39.0,0.07432963367514503,310500,0.0000,1.0
2000-02-03,40.25,41.06,39.38,39.63,0.07553034314220507,225500,0.0000,1.0
2000-02-04,40.88,40.88,39.75,40.56,0.07730281902215083,257700,0.0000,1.0
2000-02-07,40.75,40.75,38.0,38.06,0.07253809891476974,453100,0.0000,1.0
2000-02-08,39.0,41.25,38.0,39.88,0.07600681515294318,976700,0.0000,1.0
2000-02-09,41.38,42.06,40.81,40.88,0.07791270319589562,1227200,0.0000,1.0
2000-02-10,43.38,50.0,43.38,49.25,0.0938649861154075,2021000,0.0000,1.0
2000-02-11,51.69,51.75,46.38,50.0,0.09529440214762183,882900,0.0000,1.0
2000-02-14,50.12,58.0,49.63,58.0,0.11054150649124132,1354400,0.0000,1.0
2000-02-15,58.13,58.19,53.38,55.75,0.10625325839459834,938500,0.0000,1.0
2000-02-16,56.38,60.25,55.75,58.31,0.11113233178455659,2124100,0.0000,1.0
2000-02-17,58.0,60.75,57.5,60.38,0.11507752003346812,1116200,0.0000,1.0
2000-02-18,59.5,68.25,59.06,67.38,0.12841873633413517,2001800,0.0000,1.0
2000-02-22,65.25,66.13,63.0,65.5,0.1248356668133846,1130200,0.0000,1.0
2000-02-23,64.75,66.56,63.94,65.88,0.1255599042697065,1065400,0.0000,1.0
