date,open,high,low,close,adj_close,volume,dividend,split
1999-11-01,34.44,34.56,33.56,33.56,16.720373704245905,3635000,0.0000,1.0
1999-11-02,33.63,34.31,33.56,33.69,16.785142732301683,2682900,0.0000,1.0
1999-11-03,33.81,34.31,33.75,34.25,17.064147776234275,2898500,0.0000,1.0
1999-11-04,34.25,34.56,32.06,33.0,16.441368660313316,4683900,0.0000,1.0
1999-11-05,33.0,34.06,33.0,33.81,16.844929527430097,4080100,0.0000,1.0
1999-11-08,33.56,33.94,33.5,33.69,16.785142732301683,2449400,0.0000,1.0
1999-11-09,33.69,33.75,32.75,32.75,16.316812837129124,2391400,0.0000,1.0
1999-11-10,32.75,33.06,32.56,32.69,16.286919439564915,4237500,0.0000,1.0
1999-11-11,32.56,32.81,32.44,32.75,16.316812837129124,3282500,0.0000,1.0
1999-11-12,32.94,33.13,32.56,33.13,16.506137688369098,2409500,0.0000,1.0
1999-11-15,32.81,33.13,32.19,32.56,16.222150411509137,2604200,0.0000,1.0
1999-11-16,32.5,33.75,32.44,33.75,16.81503612986589,3370300,0.0000,1.0
1999-11-17,33.63,34.63,33.5,34.13,17.00436098110586,4214300,0.0000,1.0
1999-11-18,34.13,34.63,34.0,34.56,17.218596996982672,4350500,0.0000,1.0
1999-11-19,34.63,35.13,34.13,34.5,17.188703599418467,4527200,0.0000,1.0
1999-11-22,35.13,36.63,34.75,36.31,18.090487759272015,8637400,0.0000,1.0
1999-11-23,36.5,37.13,35.88,36.06,17.965931936087824,6060900,0.0000,1.0
1999-11-24,35.88,35.94,35.0,35.19,17.532477671406834,3406400,0.0000,1.0
1999-11-26,35.31,35.38,34.81,34.88,17.378028450658437,1328300,0.0000,1.0
1999-11-29,34.88,34.94,34.06,34.69,17.28336602503845,4712500,0.0000,1.0
1999-11-30,34.19,34.94,34.19,34.56,17.218596996982672,3090200,0.0000,1.0
1999-12-01,34.31,34.81,34.25,34.48,17.178739133563727,2953000,0.0000,1.0
1999-12-02,34.38,37.0,34.13,36.69,18.279812610511986,8161800,0.0000,1.0
1999-12-03,36.38,37.75,36.31,37.13,18.499030859316164,7442800,0.0000,1.0
1999-12-06,37.06,37.44,36.31,36.88,18.374475036131972,5641000,0.0000,1.0
1999-12-07,36.63,37.31,36.63,36.94,18.404368433696177,5861600,0.0000,1.0
1999-12-08,36.56,37.44,36.56,37.01,18.506504208707216,4648600,0.1350,1.0
1999-12-09,37.19,37.25,35.75,35.94,17.97146072037118,3755700,0.0000,1.0
1999-12-10,36.63,36.94,36.38,36.94,18.471501363675888,4618700,0.0000,1.0
1999-12-13,37.44,37.44,35.0,35.31,17.656435115089216,5867400,0.0000,1.0
1999-12-14,34.75,35.63,34.75,35.13,17.56642779929437,4302300,0.0000,1.0
1999-12-15,35.06,35.06,34.44,34.69,17.346409916240294,2771000,0.0000,1.0
1999-12-16,34.5,34.56,33.81,34.0,17.00138187236005,4415800,0.0000,1.0
1999-12-17,34.62,35.12,34.5,35.0,17.501422515664757,5427400,0.0000,1.0
1999-12-20,34.81,36.0,34.75,35.41,17.706439179419682,6300600,0.0000,1.0
1999-12-21,35.13,35.44,34.56,34.88,17.44141763846819,4263400,0.0000,1.0
1999-12-22,35.06,35.38,34.81,35.06,17.531424954263038,3809400,0.0000,1.0
1999-12-23,35.56,36.0,35.13,35.44,17.721440398718826,2765700,0.0000,1.0
1999-12-27,35.19,36.44,35.19,36.44,18.221481042023534,2452300,0.0000,1.0
1999-12-28,36.25,37.13,36.13,36.63,18.316488764251428,4185700,0.0000,1.0
1999-12-29,36.63,36.75,35.56,35.56,17.78144527591539,1189400,0.0000,1.0
1999-12-30,35.5,36.13,35.5,35.5,17.75144283731711,1939400,0.0000,1.0
1999-12-31,35.5,35.69,35.25,35.25,17.626432676490932,1223500,0.0000,1.0
2000-01-03,35.38,37.38,35.13,36.88,18.441498925077607,5298400,0.0000,1.0
2000-01-04,36.56,37.56,35.75,35.94,17.97146072037118,4555700,0.0000,1.0
2000-01-05,35.81,36.31,35.25,35.44,17.721440398718826,5701900,0.0000,1.0
2000-01-06,34.75,36.88,34.5,36.63,18.316488764251428,6863100,0.0000,1.0
2000-01-07,36.88,38.63,36.69,37.63,18.816529407556136,10527800,0.0000,1.0
2000-01-10,38.13,38.19,36.63,36.88,18.441498925077607,6402500,0.0000,1.0
2000-01-11,37.25,37.63,36.63,36.75,18.376493641447993,5607800,0.0000,1.0
2000-01-12,36.75,37.25,36.31,36.31,18.156475758393924,4267300,0.0000,1.0
2000-01-13,36.31,36.63,35.94,35.94,17.97146072037118,3144200,0.0000,1.0
2000-01-14,36.06,36.81,35.94,36.19,18.096470881197355,5413700,0.0000,1.0
2000-01-18,35.94,37.0,35.56,36.25,18.12647331979564,4821600,0.0000,1.0
2000-01-19,36.88,36.88,35.94,36.44,18.221481042023534,3999700,0.0000,1.0
2000-01-20,36.44,36.44,36.0,36.13,18.066468442599074,3106100,0.0000,1.0
2000-01-21,36.19,36.44,35.75,36.13,18.066468442599074,4454400,0.0000,1.0
2000-01-24,36.19,36.38,34.81,35.31,17.656435115089216,3785000,0.0000,1.0
2000-01-25,35.31,35.38,33.88,34.31,17.15639447178451,4356500,0.0000,1.0
2000-01-26,34.31,34.94,33.75,33.94,16.971379433761765,3174100,0.0000,1.0
2000-01-27,34.0,34.31,33.25,33.81,16.906374150132155,2610100,0.0000,1.0
2000-01-28,33.56,34.0,33.19,33.25,16.626351389881517,4090800,0.0000,1.0
2000-01-31,33.5,34.38,33.25,34.13,17.066387155989663,2989600,0.0000,1.0
2000-02-01,34.0,34.31,33.69,34.0,17.00138187236005,3602600,0.0000,1.0
2000-02-02,33.75,33.94,32.94,33.0,16.501341229055342,3289100,0.0000,1.0
2000-02-03,33.0,33.38,32.63,33.06,16.531343667653623,3662900,0.0000,1.0
2000-02-04,33.63,34.13,32.69,32.75,16.376331068229163,3885600,0.0000,1.0
2000-02-07,32.88,33.19,32.25,32.38,16.191316030206423,3999700,0.0000,1.0
2000-02-08,33.31,33.75,33.0,33.31,16.6563538284798,5010500,0.0000,1.0
2000-02-09,35.0,35.13,33.75,34.0,17.00138187236005,8432500,0.0000,1.0
2000-02-10,34.88,34.88,34.06,34.63,17.316407477642016,5909500,0.0000,1.0
2000-02-11,35.0,35.13,34.0,34.38,17.191397316815838,5530400,0.0000,1.0
2000-02-14,34.19,34.5,33.94,34.06,17.03138431095833,3493300,0.0000,1.0
2000-02-15,34.0,34.88,34.0,34.19,17.09638959458794,3909600,0.0000,1.0
2000-02-16,34.13,34.81,33.94,34.0,17.00138187236005,4606800,0.0000,1.0
2000-02-17,34.56,34.81,34.25,34.31,17.15639447178451,2847700,0.0000,1.0
2000-02-18,34.38,34.75,33.94,34.25,17.126392033186224,3664500,0.0000,1.0
2000-02-22,34.31,34.88,34.13,34.69,17.346409916240294,2929400,0.0000,1.0
2000-02-23,34.31,34.75,34.0,34.19,17.09638959458794,3249300,0.0000,1.0
2000-02-24,34.06,34.38,33.19,34.0,17.00138187236005,3612800,0.0000,1.0
2000-02-25,34.0,34.38,32.69,32.75,16.376331068229163,4205500,0.0000,1.0
2000-02-28,33.19,33.88,32.75,33.25,16.626351389881517,3654700,0.0000,1.0
2000-02-29,32.88,33.06,32.13,32.13,16.066305869380248,4635500,0.0000,1.0
2000-03-01,32.0,32.94,31.88,32.56,16.281323346001273,5496400,0.0000,1.0
2000-03-02,32.69,32.88,31.56,31.56,15.781282702696561,5170400,0.0000,1.0
2000-03-03,32.5,32.5,31.31,31.63,15.816285547727892,4626600,0.0000,1.0
2000-03-06,31.06,31.44,30.69,31.0,15.501259942445927,4457900,0.0000,1.0
2000-03-07,31.0,31.5,29.69,30.63,15.316244904423185,7053200,0.0000,1.0
2000-03-08,31.0,31.5,30.06,30.5,15.318745107639709,5159800,0.1350,1.0
2000-03-09,30.75,31.75,30.63,31.38,15.76072857304046,3913200,0.0000,1.0
2000-03-10,31.06,31.38,30.5,30.75,15.444308592128559,3649100,0.0000,1.0
2000-03-13,30.13,31.19,30.13,31.13,15.63516508855161,4308000,0.0000,1.0
2000-03-14,30.63,30.75,30.13,30.69,15.414173355851235,4602900,0.0000,1.0
2000-03-15,30.44,33.19,30.31,33.19,16.669808200739734,5463800,0.0000,1.0
2000-03-16,33.0,34.19,32.25,34.06,17.106769126760934,5410300,0.0000,1.0
2000-03-17,33.0,33.94,32.81,33.0,16.574379952528208,4464500,0.0000,1.0
2000-03-20,32.5,33.63,32.25,33.25,16.69994343701706,2643800,0.0000,1.0
2000-03-21,33.38,34.31,32.63,34.31,17.232332611249785,5479700,0.0000,1.0
2000-03-22,34.31,34.38,32.75,33.5,16.82550692150591,3431700,0.0000,1.0
2000-03-23,32.88,34.0,32.75,33.5,16.82550692150591,3792400,0.0000,1.0
2000-03-24,33.0,33.5,32.56,32.94,16.544244716250883,3345700,0.0000,1.0
2000-03-27,32.75,32.94,31.56,32.36,16.252937432236752,3397100,0.0000,1.0
2000-03-28,31.69,33.13,31.56,32.5,16.32325298355051,4814300,0.0000,1.0
2000-03-29,32.38,33.69,32.38,33.25,16.69994343701706,4254400,0.0000,1.0
2000-03-30,33.94,35.94,33.81,35.94,18.051006530117085,6850900,0.0000,1.0
2000-03-31,36.0,36.06,34.56,34.88,17.518617355884363,4957600,0.0000,1.0
2000-04-03,34.63,36.38,34.63,36.13,18.14643477832861,4337100,0.0000,1.0
2000-04-04,36.13,37.25,35.5,36.44,18.302133499094786,5803400,0.0000,1.0
2000-04-05,37.0,37.38,36.5,36.75,18.45783221986096,4780500,0.0000,1.0
2000-04-06,36.69,37.31,36.13,36.81,18.487967456138286,4050000,0.0000,1.0
2000-04-07,36.44,36.56,35.31,36.0,18.08114176639441,3829600,0.0000,1.0
2000-04-10,36.0,36.94,35.88,36.25,18.20670525088326,2549500,0.0000,1.0
2000-04-11,36.06,37.19,36.06,37.06,18.613530940627136,2408600,0.0000,1.0
2000-04-12,36.25,37.88,36.25,37.25,18.70895918883866,4071700,0.0000,1.0
2000-04-13,36.56,36.94,36.25,36.44,18.302133499094786,2835500,0.0000,1.0
2000-04-14,36.69,36.69,35.5,36.44,18.302133499094786,3407300,0.0000,1.0
2000-04-17,35.81,36.63,34.63,36.63,18.397561747306312,3648700,0.0000,1.0
2000-04-18,36.13,36.25,35.0,35.94,18.051006530117085,2980300,0.0000,1.0
2000-04-19,35.94,36.38,34.81,35.31,17.734586549205186,2949900,0.0000,1.0
2000-04-20,36.75,37.5,35.94,37.19,18.678823952561334,4931800,0.0000,1.0
2000-04-24,36.69,38.31,36.63,37.88,19.025379169750565,4457300,0.0000,1.0
2000-04-25,37.13,37.75,37.0,37.44,18.804387437050185,3344800,0.0000,1.0
2000-04-26,37.44,38.13,37.13,37.75,18.96008615781636,3345300,0.0000,1.0
2000-04-27,37.13,37.56,36.75,37.44,18.804387437050185,2825500,0.0000,1.0
2000-04-28,36.63,36.88,36.19,36.69,18.427696983583633,2279900,0.0000,1.0
2000-05-01,36.44,37.25,36.13,37.0,18.58339570434981,2130100,0.0000,1.0
2000-05-02,37.06,37.69,36.19,37.5,18.83452267332751,3228300,0.0000,1.0
2000-05-03,37.06,37.81,37.06,37.56,18.864657909604837,3802100,0.0000,1.0
2000-05-04,37.38,37.69,36.63,36.69,18.427696983583633,2320400,0.0000,1.0
2000-05-05,36.25,37.69,36.25,37.5,18.83452267332751,2252700,0.0000,1.0
2000-05-08,37.69,37.94,37.38,37.94,19.055514406027886,3246100,0.0000,1.0
2000-05-09,37.94,38.38,37.31,37.69,18.929950921539035,4305000,0.0000,1.0
2000-05-10,38.19,39.31,38.0,39.19,19.683331828472134,8784400,0.0000,1.0
2000-05-11,38.0,40.0,38.0,40.0,20.09015751821601,5743100,0.0000,1.0
2000-05-12,38.56,39.5,38.56,39.5,19.83903054923831,3598200,0.0000,1.0
2000-05-15,39.0,39.88,38.75,39.38,19.778760076683664,3519200,0.0000,1.0
2000-05-16,38.94,39.75,38.63,39.13,19.653196592194814,3736300,0.0000,1.0
2000-05-17,38.38,39.31,38.38,39.0,19.587903580260612,2963400,0.0000,1.0
2000-05-18,39.0,39.88,39.0,39.52,19.849075627997422,2544800,0.0000,1.0
2000-05-19,39.25,39.63,39.0,39.25,19.713467064749462,2577700,0.0000,1.0
