date,open,high,low,close,adj_close,volume,dividend,split
1999-11-01,221.6,229.6,220.0,225.2,17.18829717526011,4081000,0.0000,1.0
1999-11-02,229.5,229.5,219.3,224.8,17.157767340135315,4925000,0.0000,1.0
1999-11-03,247.9,260.8,241.0,260.5,19.88255512502335,14136300,0.0000,1.0
1999-11-04,268.7,269.1,257.6,263.9,20.142058723584118,6659400,0.0000,1.0
1999-11-05,272.8,298.9,271.1,294.4,22.469958651849804,11566800,0.0000,1.0
1999-11-08,294.5,295.9,286.0,289.4,22.088335712789856,5972700,0.0000,1.0
1999-11-09,301.0,306.0,290.3,299.8,22.882111426034555,6097800,0.0000,1.0
1999-11-10,302.5,328.3,298.2,319.6,24.393338264711954,9584100,0.0000,1.0
1999-11-11,326.1,346.0,322.0,345.5,26.370145089042488,9111000,0.0000,1.0
1999-11-12,354.6,395.5,350.0,378.0,28.850694192932156,18211500,0.0000,1.0
1999-11-15,390.3,406.1,350.0,368.0,28.08744831481226,16398800,0.0000,1.0
1999-11-16,367.0,373.5,355.0,365.5,27.896636845282284,8984000,0.0000,1.0
1999-11-17,364.5,368.5,328.0,342.9,26.171701160731313,14377600,0.0000,1.0
1999-11-18,343.8,363.0,330.0,355.8,27.156288343505985,7526900,0.0000,1.0
1999-11-19,356.7,369.0,349.0,367.1,28.01875618578147,5223700,0.0000,1.0
1999-11-22,365.5,366.0,356.7,360.0,27.47685161231634,3458100,0.0000,1.0
1999-11-23,360.5,365.9,344.8,360.3,27.499748988659938,4807000,0.0000,1.0
1999-11-24,359.8,376.1,354.0,375.3,28.644617805839786,4321800,0.0000,1.0
1999-11-26,381.2,390.4,379.0,384.8,29.369701390053688,2295200,0.0000,1.0
1999-11-29,382.5,389.8,370.0,371.3,28.339319454591827,3845600,0.0000,1.0
1999-11-30,371.0,378.0,359.3,362.3,27.65239816428392,4226600,0.0000,1.0
1999-12-01,363.5,368.3,355.0,364.1,27.7897824223455,3235100,0.0000,1.0
1999-12-02,368.5,374.8,368.5,374.0,28.545395841684197,3332500,0.0000,1.0
1999-12-03,381.0,392.5,379.1,384.4,29.339171554928893,3957700,0.0000,1.0
1999-12-06,387.4,401.4,385.0,394.8,30.132947268173588,4901200,0.0000,1.0
1999-12-07,399.8,407.5,395.5,398.9,30.445878078202743,4088500,0.0000,1.0
1999-12-08,396.1,407.0,388.8,389.3,29.713162035207645,3813000,0.0000,1.0
1999-12-09,400.0,400.9,379.5,395.0,30.148212185735986,3003200,0.0000,1.0
1999-12-10,396.0,400.9,383.9,391.5,29.88107612839402,3338700,0.0000,1.0
1999-12-13,393.0,419.5,390.0,417.6,31.873147870286957,5931700,0.0000,1.0
1999-12-14,420.0,437.6,414.0,421.3,32.15554884519132,5885700,0.0000,1.0
1999-12-15,414.1,425.1,405.0,423.2,32.300565562034095,4785800,0.0000,1.0
1999-12-16,431.5,440.0,424.0,439.3,33.529391425807134,3474300,0.0000,1.0
1999-12-17,453.0,456.0,442.0,455.0,34.72768745445538,5066800,0.0000,1.0
1999-12-20,455.9,479.5,451.6,466.8,35.628317590636854,5684700,0.0000,1.0
1999-12-21,479.6,500.9,479.0,496.9,37.925687683777745,6262700,0.0000,1.0
1999-12-22,516.3,522.1,485.0,485.4,37.04795492393986,7117200,0.0000,1.0
1999-12-23,478.8,479.0,464.4,466.5,35.60542021429326,5426100,0.0000,1.0
1999-12-27,478.3,520.1,458.3,513.4,39.18504338267558,6259300,0.0000,1.0
1999-12-28,527.8,528.5,470.0,503.0,38.39126766943089,4975400,0.0000,1.0
1999-12-29,562.5,662.1,560.0,659.0,50.2979033681013,14760400,0.0000,1.0
1999-12-30,734.4,740.1,638.9,647.0,49.38200831435742,16125400,0.0000,1.0
1999-12-31,170.9,181.1,166.5,176.1,53.76303965476564,9084275,0.0000,4.0
2000-01-03,199.0,200.0,174.0,179.3,54.739994378759114,45667000,0.0000,1.0
2000-01-04,171.8,175.1,160.0,162.1,49.488862737294205,31783700,0.0000,1.0
2000-01-05,159.9,163.0,139.0,158.0,48.23713949717757,46889200,0.0000,1.0
2000-01-06,148.5,156.0,139.8,140.1,42.7722990098391,29391300,0.0000,1.0
2000-01-07,134.0,150.5,132.9,150.0,45.7947526871939,34099300,0.0000,1.0
2000-01-10,161.6,163.0,152.5,159.4,48.66455718892472,17680400,0.0000,1.0
2000-01-11,156.0,157.9,141.5,145.8,44.51249961195248,15287900,0.0000,1.0
2000-01-12,145.0,147.5,136.1,138.3,42.22276197759278,17227800,0.0000,1.0
2000-01-13,144.4,145.6,137.6,143.1,43.68819406358298,12573400,0.0000,1.0
2000-01-14,147.6,148.9,139.5,140.4,42.863888515213496,13104600,0.0000,1.0
2000-01-18,137.4,141.3,135.0,139.1,42.46700065859114,14251500,0.0000,1.0
2000-01-19,137.1,147.0,137.0,146.6,44.756738292950836,15364200,0.0000,1.0
2000-01-20,149.3,156.0,147.1,155.6,47.50442345418247,19612000,0.0000,1.0
2000-01-21,158.3,160.4,151.0,154.9,47.2907146083089,17477500,0.0000,1.0
2000-01-24,155.8,157.0,139.6,140.1,42.7722990098391,16085300,0.0000,1.0
2000-01-25,143.6,149.9,140.0,149.0,45.48945433594594,19835700,0.0000,1.0
2000-01-26,129.0,130.9,120.0,124.6,38.04017456549573,68476600,0.0000,1.0
2000-01-27,126.7,128.0,117.4,120.0,36.63580214975512,31285500,0.0000,1.0
2000-01-28,121.1,121.4,105.6,110.6,33.7659976480243,42837500,0.0000,1.0
2000-01-31,117.1,127.5,116.8,127.0,38.77289060849083,40259000,0.0000,1.0
2000-02-01,131.5,140.0,130.9,136.1,41.551105604847265,34824200,0.0000,1.0
2000-02-02,136.9,145.5,136.0,141.8,43.29130620696064,28684100,0.0000,1.0
2000-02-03,145.1,148.0,132.0,139.2,42.497530493715935,26285500,0.0000,1.0
2000-02-04,141.9,141.9,135.1,137.4,41.947993461469615,15014400,0.0000,1.0
2000-02-07,134.4,135.3,130.3,133.4,40.72680005647778,10434200,0.0000,1.0
2000-02-08,133.5,139.6,133.4,139.1,42.46700065859114,10725400,0.0000,1.0
2000-02-09,139.5,140.0,133.0,133.3,40.69627022135298,10070600,0.0000,1.0
2000-02-10,134.6,137.1,133.0,136.9,41.79534428584564,7536100,0.0000,1.0
2000-02-11,135.1,136.5,131.5,132.0,40.29938236473063,6209700,0.0000,1.0
2000-02-14,129.4,130.0,125.0,127.1,38.80342044361563,11676800,0.0000,1.0
2000-02-15,124.4,127.7,120.1,126.6,38.65077126799165,15018000,0.0000,1.0
2000-02-16,125.4,131.5,121.0,121.9,37.215869017126245,15026000,0.0000,1.0
2000-02-17,125.1,131.0,122.0,130.0,39.688785662234714,17485800,0.0000,1.0
2000-02-18,132.0,138.8,131.8,134.5,41.06262824285053,21495800,0.0000,1.0
2000-02-22,132.5,135.8,126.3,130.6,39.87196467298349,12236000,0.0000,1.0
2000-02-23,133.4,147.5,130.8,146.9,44.84832779832523,26174600,0.0000,1.0
2000-02-24,136.9,142.3,135.0,139.7,42.65017966933992,25857700,0.0000,1.0
2000-02-25,136.3,142.0,133.4,133.6,40.78785972672737,11702800,0.0000,1.0
2000-02-28,137.5,147.5,137.5,143.3,43.749253733832575,18200400,0.0000,1.0
2000-02-29,146.0,148.0,138.3,142.4,43.474485217709415,15661700,0.0000,1.0
2000-03-01,140.5,141.3,136.5,139.0,42.43647082346635,10432700,0.0000,1.0
2000-03-02,138.9,139.1,132.0,132.2,40.360442034980224,10280400,0.0000,1.0
2000-03-03,131.0,135.0,126.0,131.9,40.26885252960584,16966300,0.0000,1.0
2000-03-06,129.5,138.0,128.0,133.3,40.69627022135298,11788100,0.0000,1.0
2000-03-07,134.5,134.8,127.5,128.0,39.078188959738796,10723500,0.0000,1.0
2000-03-08,130.6,131.6,125.0,129.1,39.41401714611155,11438000,0.0000,1.0
2000-03-09,127.2,129.3,124.8,127.0,38.77289060849083,8713900,0.0000,1.0
2000-03-10,125.2,145.5,122.0,136.1,41.551105604847265,41506400,0.0000,1.0
