date,open,high,low,close,adj_close,volume,dividend,split
1999-11-01,26.56,26.63,26.25,26.31,4.847132351045142,1124800,0.0000,1.0
1999-11-02,26.44,26.75,26.38,26.38,4.860028560264951,1385900,0.0000,1.0
1999-11-03,26.38,26.44,26.06,26.19,4.825024563811185,1817300,0.0000,1.0
1999-11-04,26.19,26.56,25.81,25.88,4.767912780123462,1786700,0.0000,1.0
1999-11-05,26.13,26.5,26.06,26.13,4.813970670194206,2500200,0.0000,1.0
1999-11-08,26.13,26.19,25.81,25.94,4.778966673740441,1929700,0.0000,1.0
1999-11-09,25.81,25.88,25.31,25.56,4.708958680832908,2293800,0.0000,1.0
1999-11-10,24.88,25.19,24.81,25.06,4.61684290069142,3414100,0.0000,1.0
1999-11-11,24.81,25.25,24.81,25.19,4.6407930035282074,1730700,0.0000,1.0
1999-11-12,25.38,25.5,25.13,25.19,4.6407930035282074,1609700,0.0000,1.0
1999-11-15,25.13,25.31,24.88,25.06,4.61684290069142,1138800,0.0000,1.0
1999-11-16,25.0,25.13,24.81,24.94,4.594735113457463,1741500,0.0000,1.0
1999-11-17,24.94,25.0,24.38,24.44,4.502619333315974,2877500,0.0000,1.0
1999-11-18,24.81,24.81,24.31,24.44,4.502619333315974,1772600,0.0000,1.0
1999-11-19,24.31,24.56,24.19,24.44,4.502619333315974,2065100,0.0000,1.0
1999-11-22,24.38,24.38,23.88,24.0,4.421557446791463,1594500,0.0000,1.0
1999-11-23,23.75,23.88,23.44,23.44,4.318387773032996,2165400,0.0000,1.0
1999-11-24,23.44,23.69,23.44,23.56,4.3404955602669535,1828600,0.0000,1.0
1999-11-26,23.5,23.63,23.38,23.56,4.3404955602669535,912700,0.0000,1.0
1999-11-29,23.38,23.38,22.56,22.81,4.20232189005472,2681600,0.0000,1.0
1999-11-30,22.81,23.63,22.75,23.38,4.307333879416017,3163500,0.0000,1.0
1999-12-01,23.31,23.69,23.25,23.44,4.318387773032996,3021600,0.0000,1.0
1999-12-02,23.44,23.88,23.38,23.75,4.37549955672072,2207300,0.0000,1.0
1999-12-03,23.81,24.19,23.81,23.94,4.410503553174485,3732300,0.0000,1.0
1999-12-06,23.88,24.06,23.69,23.69,4.364445663103741,1664200,0.0000,1.0
1999-12-07,23.75,23.81,23.25,23.25,4.283383776579231,1962300,0.0000,1.0
1999-12-08,23.44,23.56,23.0,23.0,4.237325886508486,2481200,0.0000,1.0
1999-12-09,22.81,23.0,22.06,22.06,4.064148219842487,4036000,0.0000,1.0
1999-12-10,22.13,22.69,22.13,22.63,4.169160209203784,2596800,0.0000,1.0
1999-12-13,22.5,22.56,22.25,22.39,4.12494463473587,2718400,0.0000,1.0
1999-12-14,22.31,22.81,22.31,22.69,4.180214102820763,3706900,0.0000,1.0
1999-12-15,22.69,23.5,22.63,23.44,4.318387773032996,3255100,0.0000,1.0
1999-12-16,23.38,23.44,23.13,23.13,4.261275989345273,2415600,0.0000,1.0
1999-12-17,23.13,23.63,23.06,23.56,4.3404955602669535,4293800,0.0000,1.0
1999-12-20,23.31,23.38,23.13,23.23,4.279699145373571,3019300,0.0000,1.0
1999-12-21,23.06,23.88,23.06,23.25,4.283383776579231,2016300,0.0000,1.0
1999-12-22,23.31,23.75,23.25,23.56,4.3404955602669535,1295300,0.0000,1.0
1999-12-23,23.75,24.0,23.69,23.81,4.386553450337698,1320600,0.0000,1.0
1999-12-27,23.81,24.19,23.63,23.63,4.353391769486762,1612200,0.0000,1.0
1999-12-28,23.75,24.0,23.75,23.75,4.37549955672072,1584800,0.0000,1.0
1999-12-29,23.81,23.94,23.44,23.44,4.318387773032996,1485100,0.0000,1.0
1999-12-30,23.5,23.75,23.31,23.69,4.364445663103741,1543400,0.0000,1.0
1999-12-31,23.56,23.69,23.44,23.5,4.329441666649975,883200,0.0000,1.0
2000-01-03,23.06,23.31,22.75,22.75,4.191267996437742,3706300,0.0000,1.0
2000-01-04,22.63,23.13,22.63,23.0,4.237325886508486,2302300,0.0000,1.0
2000-01-05,23.13,24.38,23.13,24.31,4.478669230479187,3067600,0.0000,1.0
2000-01-06,24.44,24.69,24.19,24.25,4.467615336862208,2570600,0.0000,1.0
2000-01-07,24.56,24.81,24.44,24.69,4.5486772233867185,2744300,0.0000,1.0
2000-01-10,24.56,24.81,24.38,24.5,4.513673226932952,1778100,0.0000,1.0
2000-01-11,24.38,24.56,24.25,24.31,4.478669230479187,1359300,0.0000,1.0
2000-01-12,24.25,24.94,24.25,24.75,4.559731117003697,2019800,0.0000,1.0
2000-01-13,24.69,24.75,24.31,24.44,4.502619333315974,2112100,0.0000,1.0
2000-01-14,24.38,24.5,23.94,24.13,4.445507549628251,1676000,0.0000,1.0
2000-01-18,23.69,23.81,23.38,23.38,4.307333879416017,1491800,0.0000,1.0
2000-01-19,23.31,24.13,23.31,23.94,4.410503553174485,1401200,0.0000,1.0
2000-01-20,23.63,23.94,23.5,23.81,4.386553450337698,1964300,0.0000,1.0
2000-01-21,24.13,24.75,23.94,24.5,4.513673226932952,2524700,0.0000,1.0
2000-01-24,24.63,25.25,24.63,25.13,4.629739109911228,2533800,0.0000,1.0
2000-01-25,25.06,25.38,24.75,25.38,4.675796999981973,3512600,0.0000,1.0
2000-01-26,25.38,25.63,25.25,25.5,4.69790478721593,2411300,0.0000,1.0
2000-01-27,25.5,25.88,25.5,25.56,4.708958680832908,1922900,0.0000,1.0
2000-01-28,25.56,25.75,25.13,25.31,4.662900790762165,3141400,0.0000,1.0
2000-01-31,25.31,25.75,25.25,25.69,4.732908783669696,2079800,0.0000,1.0
2000-02-01,25.63,25.88,25.38,25.38,4.675796999981973,2268700,0.0000,1.0
2000-02-02,25.25,25.38,25.13,25.19,4.6407930035282074,3479700,0.0000,1.0
2000-02-03,24.63,25.31,24.63,24.88,4.645398792535282,3331900,0.3350,1.0
2000-02-04,25.13,25.13,24.31,24.31,4.538972855568034,2711000,0.0000,1.0
2000-02-07,24.19,24.44,24.19,24.31,4.538972855568034,1264600,0.0000,1.0
2000-02-08,24.25,24.94,24.25,24.44,4.563245437683372,1238100,0.0000,1.0
2000-02-09,24.38,24.63,24.19,24.25,4.527770125360956,2417900,0.0000,1.0
2000-02-10,24.25,24.69,24.25,24.5,4.57444816789045,2449800,0.0000,1.0
2000-02-11,24.56,24.56,24.25,24.38,4.552042707476293,2425200,0.0000,1.0
2000-02-14,24.38,24.69,24.25,24.38,4.552042707476293,1210600,0.0000,1.0
2000-02-15,24.38,24.5,24.19,24.31,4.538972855568034,2031500,0.0000,1.0
2000-02-16,24.31,24.31,23.81,23.88,4.4586866224173045,4646000,0.0000,1.0
