date,open,high,low,close,adj_close,volume,dividend,split
1999-11-01,136.5,137.0,135.5625,135.5625,84.67057197847296,4006500,0.0000,1.0
1999-11-02,135.968704,137.25,134.593704,134.593704,84.06547461415425,6516900,0.0000,1.0
1999-11-03,136.0,136.375,135.125,135.5,84.63153529245247,7222300,0.0000,1.0
1999-11-04,136.75,137.359299,135.765594,136.531204,85.27561188078987,7907500,0.0000,1.0
1999-11-05,138.625,139.109299,136.781204,137.875,86.11492936123162,7431500,0.0000,1.0
1999-11-08,137.0,138.375,136.75,138.0,86.19300273327262,4649200,0.0000,1.0
1999-11-09,138.5,138.6875,136.281204,136.703094,85.3829721361509,4533700,0.0000,1.0
1999-11-10,136.25,138.390594,136.078094,137.718704,86.01730891517944,6405600,0.0000,1.0
1999-11-11,138.1875,138.5,137.468704,138.5,86.50529622143665,4794100,0.0000,1.0
1999-11-12,139.25,139.984299,137.125,139.75,87.28602994184673,11802900,0.0000,1.0
1999-11-15,139.843704,140.25,139.406204,140.078094,87.4909531812581,2187500,0.0000,1.0
1999-11-16,140.5625,143.0,140.093704,141.25,88.22291040633883,7544800,0.0000,1.0
1999-11-17,142.25,142.9375,141.3125,141.625,88.45713052246185,9459000,0.0000,1.0
1999-11-18,142.4375,143.0,141.625,142.625,89.08171749878991,4491000,0.0000,1.0
1999-11-19,142.406204,142.968704,142.0,142.5,89.0036441267489,4832100,0.0000,1.0
1999-11-22,142.4375,143.0,141.5,142.468704,88.98409705273774,4155400,0.0000,1.0
1999-11-23,142.843704,142.843704,140.375,141.218704,88.20336333232767,5918000,0.0000,1.0
1999-11-24,140.75,142.4375,140.0,141.968704,88.67180356457371,4459700,0.0000,1.0
1999-11-26,142.468704,142.875,141.25,141.4375,88.34002046440034,1693900,0.0000,1.0
1999-11-29,140.875,141.921799,140.4375,140.9375,88.02772697623631,7348600,0.0000,1.0
1999-11-30,140.75,142.3125,139.0,139.281204,86.99322606569204,7682000,0.0000,1.0
1999-12-01,139.3125,140.5,139.0,140.406204,87.6958864140611,6980200,0.0000,1.0
1999-12-02,140.625,141.375,140.375,141.25,88.22291040633883,6698300,0.0000,1.0
1999-12-03,143.031204,145.343704,143.031204,143.843704,89.84290414518883,10045400,0.0000,1.0
1999-12-06,143.531204,143.718704,142.25,142.781204,89.17928048284026,3138900,0.0000,1.0
1999-12-07,143.281204,143.3125,141.375,141.625,88.45713052246185,10714200,0.0000,1.0
1999-12-08,141.343704,142.0625,140.5,140.718704,87.89106984416364,4611400,0.0000,1.0
1999-12-09,141.8125,142.218704,139.375,141.406204,88.32047339038917,6474700,0.0000,1.0
1999-12-10,142.281204,142.8125,140.875,141.875,88.61327726654386,5127300,0.0000,1.0
1999-12-13,141.4375,142.718704,141.281204,142.125,88.76942401062588,4210800,0.0000,1.0
1999-12-14,141.625,142.484299,140.625,140.75,87.9106169181748,5739000,0.0000,1.0
1999-12-15,140.375,142.203094,140.031204,141.5,88.37905715042083,6879100,0.0000,1.0
1999-12-16,142.1875,142.656204,141.156204,142.125,88.76942401062588,5854900,0.0000,1.0
1999-12-17,143.0,143.3125,142.0625,142.6875,89.3378306376072,4775400,0.3476,1.0
1999-12-20,142.5625,143.1875,141.093704,141.656204,88.69212763359323,4608700,0.0000,1.0
1999-12-21,141.593704,144.0625,141.343704,143.8125,90.04220249545955,7981300,0.0000,1.0
1999-12-22,143.625,144.1875,142.968704,144.1875,90.27699311474366,5377500,0.0000,1.0
1999-12-23,145.015594,146.484299,145.0,146.484299,91.71503807362672,5721700,0.0000,1.0
1999-12-27,146.5,146.781204,145.0625,146.281204,91.58787860476403,2691000,0.0000,1.0
1999-12-28,145.875,146.5,145.484299,146.1875,91.52920975092563,4084500,0.0000,1.0
1999-12-29,146.3125,146.8125,145.3125,146.8125,91.9205274497325,3001000,0.0000,1.0
1999-12-30,147.125,147.5625,146.1875,146.640594,91.81289567320275,3641300,0.0000,1.0
1999-12-31,146.843704,147.5,146.25,146.875,91.95965921961319,3172700,0.0000,1.0
2000-01-03,148.25,148.25,143.875,145.4375,91.05962851235739,8164300,0.0000,1.0
2000-01-04,143.531204,144.0625,139.640594,139.75,87.49863745321493,8089800,0.0000,1.0
2000-01-05,139.9375,141.531204,137.25,140.0,87.65516453273767,12177900,0.0000,1.0
2000-01-06,139.625,141.5,137.75,137.75,86.24642081703296,6227200,0.0000,1.0
2000-01-07,140.3125,145.75,140.0625,145.75,91.25528736176084,8066500,0.0000,1.0
2000-01-10,146.25,146.906204,145.031204,146.25,91.56834152080631,5741700,0.0000,1.0
2000-01-11,145.8125,146.093704,143.5,144.5,90.4726519641471,7503700,0.0000,1.0
2000-01-12,144.593704,144.593704,142.875,143.0625,89.57262125689131,6907700,0.0000,1.0
2000-01-13,144.468704,145.75,143.281204,145.0,90.7857061231926,5158300,0.0000,1.0
2000-01-14,146.531204,147.468704,145.968704,146.968704,92.01832807345158,7437300,0.0000,1.0
2000-01-18,145.343704,146.625,145.1875,145.8125,91.29441913164152,6488500,0.0000,1.0
2000-01-19,145.3125,147.0,145.0,147.0,92.03792275937455,6157900,0.0000,1.0
2000-01-20,146.968704,146.968704,143.8125,144.75,90.62917904366985,5800100,0.0000,1.0
2000-01-21,145.5,145.5,144.0625,144.4375,90.4335201942664,6244800,0.0000,1.0
2000-01-24,145.656204,145.843704,139.406204,140.343704,87.87036046609882,7896900,0.0000,1.0
2000-01-25,140.515594,141.9375,139.0,141.9375,88.86824939903896,9942500,0.0000,1.0
2000-01-26,141.0,141.546799,140.093704,140.8125,88.1638775411866,5158100,0.0000,1.0
2000-01-27,141.843704,142.218704,138.125,140.25,87.81169161226042,10922700,0.0000,1.0
2000-01-28,139.4375,140.0625,135.531204,135.875,85.07246772061237,11916200,0.0000,1.0
2000-01-31,135.8125,139.671799,135.0,139.5625,87.38124214357286,10768700,0.0000,1.0
2000-02-01,139.75,141.6875,138.531204,140.9375,88.24214108094797,8419900,0.0000,1.0
2000-02-02,141.281204,142.25,140.375,141.0625,88.32040462070934,6205900,0.0000,1.0
2000-02-03,140.875,143.25,140.0,143.1875,89.65088479665269,7997500,0.0000,1.0
2000-02-04,143.1875,144.0,142.125,142.593704,89.27910418180353,4925400,0.0000,1.0
2000-02-07,142.5625,142.781204,141.4375,142.375,89.14217178820375,5845800,0.0000,1.0
2000-02-08,143.968704,144.5625,143.625,144.3125,90.35525665450504,4936400,0.0000,1.0
2000-02-09,144.468704,144.468704,141.265594,141.281204,88.45733701430912,8511500,0.0000,1.0
2000-02-10,141.625,142.5625,140.875,141.5625,88.63345877975483,6690600,0.0000,1.0
2000-02-11,141.843704,141.9375,138.031204,138.6875,86.83339736524326,9849800,0.0000,1.0
2000-02-14,139.781204,139.781204,138.3125,139.5,87.34211037369218,8528800,0.0000,1.0
2000-02-15,139.25,141.218704,137.796799,141.078094,88.33016815382165,11078300,0.0000,1.0
2000-02-16,140.375,140.9375,138.796799,139.0,87.02905621464669,8845400,0.0000,1.0
2000-02-17,140.4375,140.4375,138.218704,138.281204,86.57901206003616,7584200,0.0000,1.0
