date,open,high,low,close,adj_close,volume,dividend,split
1999-11-01,64.94,65.62,63.06,63.56,18.199801349451356,2142400,0.0000,1.0
1999-11-02,63.81,64.56,63.62,63.69,18.237025612752625,1432600,0.0000,1.0
1999-11-03,64.0,64.56,62.38,63.25,18.111035798502176,1707700,0.0000,1.0
1999-11-04,63.25,64.19,62.31,63.94,18.308610734485836,2001400,0.0000,1.0
1999-11-05,65.0,65.69,64.75,65.38,18.720941035669124,1272300,0.0000,1.0
1999-11-08,65.25,65.25,62.5,62.88,18.005089818337026,1563600,0.0000,1.0
1999-11-09,61.38,62.25,60.81,61.94,17.735929760620152,1727500,0.0000,1.0
1999-11-10,61.88,62.25,60.88,61.0,17.466769702903285,2201900,0.0000,1.0
1999-11-11,61.0,61.38,60.5,61.31,17.555535253852465,1047900,0.0000,1.0
1999-11-12,61.44,61.88,60.62,61.38,17.575579087937765,1376700,0.0000,1.0
1999-11-15,61.38,62.44,60.0,62.0,17.753110189836125,2469600,0.0000,1.0
1999-11-16,62.0,62.38,59.38,60.75,17.395184581170074,3381100,0.0000,1.0
1999-11-17,60.5,63.06,60.5,62.31,17.87050978947859,2476800,0.1000,1.0
1999-11-18,62.88,64.0,62.56,63.62,18.24621782710043,2647200,0.0000,1.0
1999-11-19,63.62,65.0,63.62,64.56,18.515809854096258,1804800,0.0000,1.0
1999-11-22,64.38,64.88,63.75,64.44,18.48139385064998,3155400,0.0000,1.0
1999-11-23,66.12,67.06,66.06,66.69,19.126693915267648,3221800,0.0000,1.0
1999-11-24,66.5,67.0,65.12,66.56,19.089409911534183,1841100,0.0000,1.0
1999-11-26,66.31,67.0,66.25,66.75,19.143901916990785,292800,0.0000,1.0
1999-11-29,66.94,71.5,66.69,71.0,20.36280203904638,3898600,0.0000,1.0
1999-11-30,70.5,70.75,69.12,70.56,20.236610026410037,2574300,0.0000,1.0
1999-12-01,70.38,70.38,68.5,69.31,19.878109990511334,3685100,0.0000,1.0
1999-12-02,68.0,68.88,66.38,68.31,19.59130996179237,1484900,0.0000,1.0
1999-12-03,69.38,70.0,67.94,67.94,19.48519395116635,1644700,0.0000,1.0
1999-12-06,68.12,68.5,66.94,67.0,19.215601924170528,1252300,0.0000,1.0
1999-12-07,67.62,67.75,66.38,66.62,19.106617913257324,1311700,0.0000,1.0
1999-12-08,66.38,67.75,66.38,66.88,19.18118592072425,1297500,0.0000,1.0
1999-12-09,67.0,67.69,66.0,66.0,18.928801895451564,2505700,0.0000,1.0
