date,open,high,low,close,adj_close,volume,dividend,split
1999-11-01,89.5,90.38,87.0,87.0,26.412507405649087,5267800,0.0000,1.0
1999-11-02,87.63,90.5,87.56,88.88,26.98326043924242,4159800,0.0000,1.0
1999-11-03,90.56,93.0,89.5,91.63,27.81813854689225,4175100,0.0000,1.0
1999-11-04,93.81,96.25,92.81,95.94,29.12662023560889,5008800,0.0000,1.0
1999-11-05,98.0,98.63,92.0,93.44,28.36764013774541,4252300,0.0000,1.0
1999-11-08,92.13,94.25,91.75,92.25,28.006365611162394,3133600,0.0000,1.0
1999-11-09,93.5,94.75,92.0,93.44,28.36764013774541,3120500,0.0000,1.0
1999-11-10,93.69,97.94,92.56,97.38,29.563792771978253,4727000,0.0000,1.0
1999-11-11,99.63,102.5,99.38,101.4,30.784232769342733,4813400,0.0000,1.0
1999-11-12,101.5,102.0,96.88,100.8,30.602077545855494,4399400,0.0000,1.0
1999-11-15,101.0,101.2,97.75,98.63,29.943282820909992,2607700,0.0000,1.0
1999-11-16,97.88,100.9,96.88,100.9,30.632436749770036,3098700,0.0000,1.0
1999-11-17,98.25,99.41,93.94,94.94,28.823028196463497,4520300,0.0000,1.0
1999-11-18,96.0,99.75,95.75,98.13,29.791486801337296,4401100,0.0000,1.0
1999-11-19,98.0,99.5,96.19,98.19,29.80970232368602,3833000,0.0000,1.0
1999-11-22,98.0,99.44,95.38,99.25,30.131509885180137,3614500,0.0000,1.0
1999-11-23,99.94,102.5,98.06,99.94,30.340988392190457,4227800,0.0000,1.0
1999-11-24,100.5,102.8,98.56,101.0,30.662795953684572,2816200,0.0000,1.0
1999-11-26,103.3,104.8,102.6,103.1,31.300339235889894,1621500,0.0000,1.0
1999-11-29,102.4,104.9,99.81,100.0,30.35920391453918,3961000,0.0000,1.0
1999-11-30,99.88,102.1,95.75,96.06,29.163051280306338,3656600,0.0000,1.0
1999-12-01,96.25,99.31,96.19,99.25,30.131509885180137,3745800,0.0000,1.0
1999-12-02,99.44,101.5,98.25,99.9,30.328844710624644,2902600,0.0000,1.0
