date,open,high,low,close,adj_close,volume,dividend,split
1999-11-01,53.0,54.94,52.0,52.19,4.96086056923439,1236500,0.0000,1.0
1999-11-02,54.88,55.94,53.75,55.31,5.257428589468368,3101500,0.0000,1.0
1999-11-03,55.06,55.06,52.5,52.94,5.032150958713712,2002800,0.0000,1.0
1999-11-04,52.75,53.5,51.44,52.0,4.942800337232962,1290100,0.0000,1.0
1999-11-05,52.5,53.06,52.44,52.56,4.996030494710856,724600,0.0000,1.0
1999-11-08,52.75,55.25,52.56,54.94,5.222258663991902,1308200,0.0000,1.0
1999-11-09,54.94,54.94,52.62,53.31,5.067320884190178,780500,0.0000,1.0
1999-11-10,53.0,54.38,52.81,53.19,5.055914421873485,812700,0.0000,1.0
1999-11-11,53.19,53.81,52.25,52.69,5.008387495553937,950800,0.0000,1.0
1999-11-12,52.44,53.62,52.31,53.25,5.061617653031831,604100,0.0000,1.0
1999-11-15,53.25,54.94,53.25,54.56,5.186138199989046,814700,0.0000,1.0
1999-11-16,54.75,55.62,54.69,55.06,5.233665126308594,901400,0.0000,1.0
1999-11-17,55.38,57.19,55.06,56.38,5.3591362117922,1361900,0.0000,1.0
1999-11-18,56.0,58.5,55.31,58.5,5.5606503793870825,1793800,0.0000,1.0
1999-11-19,57.5,57.62,55.38,55.69,5.293549053471224,868500,0.0000,1.0
1999-11-22,55.75,56.06,54.38,55.0,5.227961895150249,647100,0.0000,1.0
1999-11-23,56.0,57.25,54.94,55.69,5.293549053471224,697800,0.0000,1.0
1999-11-24,54.25,54.5,52.94,52.94,5.032150958713712,832500,0.0000,1.0
1999-11-26,52.94,52.94,51.81,51.81,4.9247401052315345,320800,0.0000,1.0
1999-11-29,51.75,51.75,50.31,50.31,4.782159326272891,800000,0.0000,1.0
1999-11-30,50.31,52.25,49.75,51.94,4.937097106074616,1112000,0.0000,1.0
1999-12-01,51.38,53.62,51.38,52.81,5.01979395787063,864900,0.0000,1.0
1999-12-02,52.56,55.0,52.44,54.56,5.186138199989046,735100,0.0000,1.0
1999-12-03,54.62,56.38,53.75,54.06,5.138611273669499,753600,0.0000,1.0
1999-12-06,53.88,54.44,53.25,54.06,5.138611273669499,399600,0.0000,1.0
1999-12-07,54.06,54.12,51.62,52.44,4.984624032394164,713400,0.0000,1.0
1999-12-08,52.25,53.06,51.81,52.56,4.996030494710856,597000,0.0000,1.0
1999-12-09,53.5,53.94,50.19,50.5,4.800219558274319,571300,0.0000,1.0
1999-12-10,50.62,51.81,49.44,50.94,4.842043253435521,718500,0.0000,1.0
1999-12-13,50.88,51.12,48.94,50.25,4.776456095114545,591600,0.0000,1.0
1999-12-14,50.75,52.06,50.31,52.0,4.942800337232962,746100,0.0000,1.0
1999-12-15,51.56,52.88,50.25,52.88,5.026447727555366,582500,0.0000,1.0
1999-12-16,51.88,52.69,51.44,51.5,4.895273410913414,1156300,0.0000,1.0
1999-12-17,51.75,52.06,50.5,50.75,4.823983021434093,1113600,0.0000,1.0
1999-12-20,50.56,50.56,49.06,49.62,4.716572167951915,886200,0.0000,1.0
1999-12-21,49.38,50.0,49.38,49.62,4.716572167951915,479000,0.0000,1.0
1999-12-22,49.56,51.44,49.31,50.25,4.776456095114545,809800,0.0000,1.0
1999-12-23,50.94,51.25,50.62,50.95,4.842993791961912,522700,0.0000,1.0
1999-12-27,51.12,52.19,51.06,51.81,4.9247401052315345,663100,0.0000,1.0
1999-12-28,51.69,51.94,51.44,51.69,4.913333642914842,654600,0.0000,1.0
1999-12-29,51.56,52.31,51.5,52.19,4.96086056923439,448600,0.0000,1.0
1999-12-30,52.0,53.56,51.94,53.06,5.043557421030403,366000,0.0000,1.0
1999-12-31,53.0,53.44,52.94,53.12,5.049260652188749,154300,0.0000,1.0
2000-01-03,53.12,54.06,52.94,53.75,5.109144579351379,428900,0.0000,1.0
2000-01-04,53.38,54.25,52.94,53.06,5.043557421030403,749700,0.0000,1.0
