date,open,high,low,close,adj_close,volume,dividend,split
1999-11-01,55.81,55.88,53.69,54.13,7.9931433291780065,760300,0.0000,1.0
1999-11-02,53.88,54.88,53.69,54.0,7.973946790608024,441600,0.0000,1.0
1999-11-03,53.75,53.88,52.5,52.75,7.7893646889735795,594200,0.0000,1.0
1999-11-04,52.94,52.94,52.5,52.69,7.780504748095125,611800,0.0000,1.0
1999-11-05,53.0,53.19,51.81,52.06,7.6874753688713655,728900,0.0000,1.0
1999-11-08,52.06,53.31,52.06,53.31,7.872057470505811,375300,0.0000,1.0
1999-11-09,55.0,55.0,52.94,53.13,7.84547764787045,607000,0.0000,1.0
1999-11-10,53.06,53.44,51.63,52.19,7.706671907441347,566800,0.0000,1.0
1999-11-11,52.19,52.44,51.0,51.69,7.632839066787569,464700,0.0000,1.0
1999-11-12,51.94,52.5,51.69,52.5,7.75244826864669,582700,0.0000,1.0
1999-11-15,52.25,53.0,52.19,52.63,7.771644807216672,649500,0.0000,1.0
1999-11-16,52.56,53.19,52.06,53.06,7.835141050178922,464700,0.0000,1.0
1999-11-17,53.06,53.06,51.56,51.63,7.623979125909116,896600,0.0000,1.0
1999-11-18,51.63,52.0,51.38,51.44,7.59592264646068,528900,0.0000,1.0
1999-11-19,51.38,51.5,50.0,50.06,7.392144006256253,464100,0.0000,1.0
1999-11-22,49.75,49.75,48.63,48.75,7.198701963743355,1041300,0.0000,1.0
1999-11-23,48.88,49.56,48.44,49.19,7.26367486351868,556500,0.0000,1.0
1999-11-24,49.13,49.25,48.56,48.81,7.207561904621809,528400,0.0000,1.0
1999-11-26,48.69,48.94,48.38,48.69,7.189842022864902,153400,0.0000,1.0
1999-11-29,48.56,48.63,47.25,47.38,6.996399980352003,567700,0.0000,1.0
1999-11-30,47.44,47.69,47.06,47.06,6.949146962333586,825100,0.0000,1.0
1999-12-01,47.0,47.19,46.69,46.69,6.894510660249789,674000,0.0000,1.0
1999-12-02,46.94,47.0,46.13,46.19,6.820677819596011,706400,0.0000,1.0
1999-12-03,46.0,46.81,45.75,46.75,6.903370601128243,918700,0.0000,1.0
1999-12-06,46.31,46.81,46.0,46.81,6.941763678268209,554800,0.2000,1.0
1999-12-07,46.63,47.0,45.25,45.31,6.71931878364308,719300,0.0000,1.0
1999-12-08,45.75,46.44,45.5,46.06,6.830541230955644,742100,0.0000,1.0
1999-12-09,46.06,46.06,44.63,44.94,6.66444904296888,701500,0.0000,1.0
1999-12-10,44.81,44.88,44.5,44.56,6.608096336330514,485600,0.0000,1.0
1999-12-13,44.38,44.5,44.0,44.3,6.569539221262158,727400,0.0000,1.0
1999-12-14,43.63,44.25,43.38,43.69,6.479078297447939,757900,0.0000,1.0
1999-12-15,43.88,43.94,42.88,43.63,6.470180501662934,1633600,0.0000,1.0
1999-12-16,43.75,43.94,43.38,43.81,6.49687388901795,860300,0.0000,1.0
1999-12-17,44.31,44.31,44.31,44.31,6.571022187226326,907200,0.0000,1.0
1999-12-20,45.0,45.13,42.5,42.63,6.321883905246181,999300,0.0000,1.0
