date,open,high,low,close,adj_close,volume,dividend,split
1999-11-01,65.19,65.31,64.44,64.44,15.876829939866884,4260300,0.0000,1.0
1999-11-02,64.31,64.87,63.0,63.0,15.522040444003938,2668800,0.0000,1.0
1999-11-03,62.75,63.75,62.56,63.5,15.645231241178571,2965100,0.0000,1.0
1999-11-04,63.56,63.69,62.63,62.63,15.430879254094709,2207800,0.0000,1.0
1999-11-05,62.81,63.5,62.31,62.31,15.352037143902942,4171900,0.0000,1.0
1999-11-08,62.38,64.5,62.38,64.44,15.876829939866884,3440800,0.0000,1.0
1999-11-09,64.31,64.31,62.5,62.88,15.492474652682025,2853700,0.0000,1.0
1999-11-10,62.75,63.69,62.56,63.63,15.677260848443977,2528200,0.0000,1.0
1999-11-11,64.12,64.12,62.94,63.5,15.645231241178571,2714600,0.0000,1.0
1999-11-12,63.38,63.69,62.88,62.88,15.492474652682025,2531700,0.0000,1.0
1999-11-15,63.25,63.56,62.81,63.38,15.61566544985666,2036000,0.0000,1.0
1999-11-16,63.5,64.81,63.38,64.44,15.876829939866884,2261300,0.0000,1.0
1999-11-17,64.19,65.44,64.12,65.19,16.061616135628835,2598900,0.0000,1.0
1999-11-18,64.94,65.12,63.94,64.0,15.768422038353206,2016500,0.0000,1.0
1999-11-19,64.19,65.12,64.12,64.81,15.967991129776115,1780900,0.0000,1.0
1999-11-22,64.12,64.25,63.0,63.58,15.664941768726512,2267600,0.0000,1.0
1999-11-23,63.63,63.63,61.63,61.88,15.246093058332757,2441800,0.0000,1.0
1999-11-24,61.56,62.56,61.56,62.13,15.307688456920074,2378700,0.0000,1.0
1999-11-26,62.63,63.63,62.5,62.88,15.492474652682025,1168700,0.0000,1.0
1999-11-29,63.63,63.63,62.13,62.63,15.430879254094709,4198600,0.0000,1.0
1999-11-30,63.0,64.5,63.0,63.78,15.714218087596368,4334800,0.0000,1.0
1999-12-01,63.25,64.87,62.56,64.44,15.876829939866884,4393500,0.0000,1.0
1999-12-02,64.19,65.87,63.94,64.83,15.972918761663099,3414700,0.0000,1.0
1999-12-03,64.75,66.31,64.69,66.0,16.261185227051744,4208100,0.0000,1.0
1999-12-06,65.0,65.94,63.69,64.37,15.859583228262437,3198900,0.0000,1.0
1999-12-07,65.19,65.69,63.75,64.0,15.768422038353206,3565800,0.0000,1.0
1999-12-08,64.12,64.75,63.56,64.05,15.780741118070669,2088600,0.0000,1.0
1999-12-09,64.06,64.37,63.5,64.37,15.859583228262437,2545500,0.0000,1.0
1999-12-10,64.75,64.75,63.13,63.25,15.583635842591255,2074900,0.0000,1.0
1999-12-13,63.06,65.56,62.75,65.31,16.09118192695075,3323100,0.0000,1.0
1999-12-14,64.5,65.56,64.19,64.81,15.967991129776115,3276400,0.0000,1.0
1999-12-15,64.5,65.19,64.44,64.69,15.938425338454202,3204600,0.0000,1.0
1999-12-16,64.5,64.75,63.44,64.31,15.84480033260148,4029400,0.0000,1.0
1999-12-17,64.87,65.44,64.37,64.94,16.000020737041517,6575800,0.0000,1.0
1999-12-20,64.94,65.0,64.0,64.87,15.982774025437072,2725000,0.0000,1.0
1999-12-21,65.37,67.25,64.87,65.56,16.152777325538068,5252600,0.0000,1.0
1999-12-22,67.0,67.25,64.31,64.5,15.891612835527841,5084200,0.0000,1.0
1999-12-23,64.44,65.5,63.69,63.94,15.753639142692249,3487600,0.0000,1.0
1999-12-27,62.63,62.69,59.19,60.13,14.814925268221536,8822500,0.0000,1.0
1999-12-28,61.0,62.44,60.69,62.19,15.32247135258103,4197600,0.0000,1.0
1999-12-29,62.5,62.75,61.38,61.75,15.214063451067352,1798400,0.0000,1.0
1999-12-30,61.31,61.63,61.06,61.5,15.152468052480033,1575100,0.0000,1.0
1999-12-31,61.56,62.19,61.44,61.56,15.16725094814099,993000,0.0000,1.0
2000-01-03,60.63,61.63,59.63,59.94,14.768112765295173,4663700,0.0000,1.0
2000-01-04,59.69,60.44,57.25,58.0,14.290132472257593,5005800,0.0000,1.0
