date,open,high,low,close,adj_close,volume,dividend,split
1999-11-01,57.25,57.88,56.13,56.25,11.881212933752165,4778500,0.0000,1.0
1999-11-02,56.31,57.13,55.63,56.13,11.85586634616016,4579600,0.0000,1.0
1999-11-03,55.75,56.44,55.0,55.75,11.775602152118813,4081300,0.0000,1.0
1999-11-04,56.5,57.0,55.88,56.0,11.828407542935489,4150600,0.0000,1.0
1999-11-05,57.5,58.75,57.25,58.06,12.263523963264902,6239900,0.0000,1.0
1999-11-08,58.5,59.19,58.31,58.5,12.356461451102252,4881400,0.0000,1.0
1999-11-09,58.0,58.19,56.56,58.0,12.250850669468898,10026300,0.0000,1.0
1999-11-10,58.0,58.5,57.13,57.13,12.067087909426865,6991200,0.0000,1.0
1999-11-11,56.88,57.5,56.69,57.44,12.132566594039544,6290200,0.0000,1.0
1999-11-12,57.94,58.88,56.88,58.88,12.4367256451436,5607700,0.0000,1.0
1999-11-15,59.0,60.69,58.25,58.94,12.4493989389396,9037800,0.0000,1.0
1999-11-16,59.5,60.38,58.75,59.88,12.647947208410304,6215300,0.0000,1.0
1999-11-17,59.38,60.63,58.69,58.88,12.4367256451436,6465700,0.0000,1.0
1999-11-18,59.19,59.75,58.5,59.38,12.542336426776952,5723900,0.0000,1.0
1999-11-19,58.38,59.06,57.75,58.13,12.278309472693572,4987500,0.0000,1.0
1999-11-22,57.19,57.25,56.13,56.75,11.986823715385517,6322600,0.0000,1.0
1999-11-23,56.63,56.63,55.5,56.0,11.828407542935489,6477000,0.0000,1.0
1999-11-24,56.5,58.5,56.44,57.94,12.238177375672896,5668800,0.0000,1.0
1999-11-26,58.0,58.69,57.63,58.21,12.295207197754907,2297100,0.0000,1.0
1999-11-29,58.5,59.38,58.0,59.0,12.462072232735604,4793000,0.0000,1.0
1999-11-30,58.75,58.94,57.25,57.5,12.145239887835546,4376100,0.0000,1.0
1999-12-01,57.69,59.0,57.69,58.57,12.37124696053092,5319400,0.0000,1.0
1999-12-02,59.0,59.19,57.0,57.67,12.181147553590886,5285000,0.0000,1.0
1999-12-03,58.19,59.25,57.94,59.06,12.474745526531606,6172000,0.0000,1.0
1999-12-06,58.56,60.5,58.25,59.58,12.584580739430292,5449000,0.0000,1.0
1999-12-07,59.81,60.13,58.0,58.0,12.250850669468898,6361700,0.0000,1.0
1999-12-08,58.81,59.31,58.0,58.65,12.388144685592257,4600000,0.0000,1.0
1999-12-09,58.5,62.25,57.63,62.25,13.148542313352396,8808100,0.0000,1.0
1999-12-10,62.5,64.5,61.88,63.25,13.3597638766191,12595800,0.0000,1.0
1999-12-13,65.5,69.19,64.75,68.0,14.36306630213595,9391000,0.0000,1.0
1999-12-14,67.0,68.5,66.94,67.06,14.164518032665248,7505100,0.0000,1.0
1999-12-15,67.0,67.06,65.13,66.01,13.953296469398543,7842800,0.0500,1.0
1999-12-16,66.75,68.75,66.0,68.63,14.507116144445114,8487000,0.0000,1.0
1999-12-17,68.81,68.88,64.75,65.0,13.739801098483643,14669900,0.0000,1.0
1999-12-20,66.13,66.44,63.19,64.28,13.587606378623516,6330600,0.0000,1.0
1999-12-21,64.0,65.69,63.56,64.81,13.699638602964999,4629900,0.0000,1.0
1999-12-22,64.63,66.06,64.63,65.69,13.88565437168293,3752700,0.0000,1.0
