date,open,high,low,close,adj_close,volume,dividend,split
1999-11-01,15.25,15.25,15.0,15.19,10.023862291751545,33375,0.0000,1.0
1999-11-02,15.25,16.19,15.19,16.0,10.558380294142511,21125,0.0000,1.0
1999-11-03,16.19,16.19,16.06,16.19,10.683761060135454,2500,0.0000,1.0
1999-11-04,16.06,16.12,15.88,15.94,10.518786368039477,5900,0.0000,1.0
1999-11-05,15.94,16.06,15.56,15.81,10.432999528149569,13875,0.0000,1.0
1999-11-08,15.56,15.56,14.87,14.94,9.858887599655569,5925,0.0000,1.0
1999-11-09,14.94,15.69,14.87,15.69,10.353811675943499,4875,0.0000,1.0
1999-11-10,15.69,15.69,15.44,15.44,10.188836983847523,2825,0.0000,1.0
1999-11-11,15.44,15.5,15.38,15.44,10.188836983847523,9125,0.0000,1.0
1999-11-12,15.56,16.25,15.44,16.12,10.63756814634858,14225,0.0000,1.0
1999-11-15,16.12,16.63,16.06,16.56,10.927923604437497,7925,0.0000,1.0
1999-11-16,16.5,16.88,16.5,16.75,11.05330437043044,27525,0.0000,1.0
1999-11-17,16.75,16.94,16.75,16.75,11.05330437043044,6525,0.0000,1.0
1999-11-18,16.75,17.13,16.75,17.13,11.304065902416324,33900,0.0000,1.0
1999-11-19,17.25,17.31,17.0,17.0,11.218279062526417,27075,0.0000,1.0
1999-11-22,16.88,16.94,16.56,16.56,10.927923604437497,7925,0.0000,1.0
1999-11-23,16.5,16.63,16.5,16.56,10.927923604437497,10150,0.0000,1.0
1999-11-24,16.56,16.69,16.5,16.63,10.974116518224372,4650,0.0000,1.0
1999-11-26,16.63,16.75,16.25,16.56,10.927923604437497,5550,0.0000,1.0
1999-11-29,16.5,16.5,15.69,16.31,10.762948912341521,27900,0.0000,1.0
1999-11-30,16.37,16.94,16.25,16.88,11.139091210320348,16650,0.0000,1.0
1999-12-01,16.88,16.88,16.19,16.25,10.723354986238487,9750,0.0000,1.0
1999-12-02,16.12,16.12,15.88,15.94,10.518786368039477,17050,0.0000,1.0
1999-12-03,15.88,16.19,15.88,16.06,10.597974220245545,9850,0.0000,1.0
1999-12-06,16.19,16.19,15.88,15.88,10.479192441936442,8175,0.0000,1.0
1999-12-07,15.94,15.97,15.5,15.5,10.228430909950557,9275,0.0000,1.0
1999-12-08,15.5,15.81,15.5,15.62,10.307618762156626,4350,0.0000,1.0
1999-12-09,15.81,15.88,15.38,15.38,10.149243057744489,10550,0.0000,1.0
1999-12-10,15.38,15.44,15.25,15.44,10.188836983847523,11425,0.0000,1.0
1999-12-13,15.44,15.44,14.75,14.81,9.773100759765661,18250,0.0000,1.0
1999-12-14,14.81,14.81,14.38,14.62,9.647719993772718,10400,0.0000,1.0
1999-12-15,14.62,14.81,14.38,14.38,9.489344289360583,13975,0.0000,1.0
1999-12-16,14.5,14.5,14.0,14.12,9.317770609580766,4900,0.0000,1.0
1999-12-17,14.25,14.31,14.06,14.12,9.317770609580766,15100,0.0000,1.0
1999-12-20,14.25,14.25,14.06,14.19,9.363963523367639,26600,0.0000,1.0
1999-12-21,14.19,14.31,14.06,14.25,9.403557449470673,19575,0.0000,1.0
1999-12-22,14.19,14.25,14.06,14.12,9.317770609580766,13525,0.0000,1.0
1999-12-23,14.19,15.0,14.12,14.88,9.819293673552535,24225,0.0000,1.0
1999-12-27,14.94,14.94,14.5,14.5,9.568532141566651,9850,0.0000,1.0
1999-12-28,14.56,14.94,14.38,14.94,9.858887599655569,21375,0.0000,1.0
1999-12-29,14.94,15.06,14.88,15.0,9.898481525758603,28425,0.0000,1.0
1999-12-30,15.12,15.12,14.94,15.0,9.898481525758603,9850,0.0000,1.0
1999-12-31,15.0,15.75,14.94,15.5,10.228430909950557,16300,0.0000,1.0
2000-01-03,15.5,15.5,14.88,15.12,9.977669377964672,13425,0.0000,1.0
2000-01-04,15.0,15.06,14.25,14.31,9.443151375573708,13700,0.0000,1.0
2000-01-05,14.19,14.62,14.19,14.5,9.568532141566651,10325,0.0000,1.0
2000-01-06,14.44,14.44,14.06,14.19,9.363963523367639,13700,0.0000,1.0
2000-01-07,14.25,14.81,14.25,14.75,9.733506833662627,14275,0.0000,1.0
2000-01-10,15.0,15.0,14.56,14.75,9.733506833662627,8800,0.0000,1.0
2000-01-11,14.69,14.88,14.69,14.75,9.733506833662627,6325,0.0000,1.0
2000-01-12,14.69,14.94,14.69,14.88,9.819293673552535,6275,0.0000,1.0
2000-01-13,14.75,14.94,14.75,14.81,9.773100759765661,5000,0.0000,1.0
2000-01-14,14.88,14.88,14.69,14.75,9.733506833662627,8025,0.0000,1.0
2000-01-18,14.62,14.88,14.44,14.81,9.773100759765661,9800,0.0000,1.0
2000-01-19,14.81,14.81,14.69,14.75,9.733506833662627,1925,0.0000,1.0
2000-01-20,14.75,14.94,14.56,14.62,9.647719993772718,15825,0.0000,1.0
2000-01-21,14.62,14.62,13.94,14.0,9.238582757374697,17375,0.0000,1.0
2000-01-24,14.12,14.38,13.88,13.88,9.159394905168629,7700,0.0000,1.0
2000-01-25,13.88,13.88,12.75,12.75,8.413709296894814,25225,0.0000,1.0
2000-01-26,13.0,13.75,13.0,13.62,8.987821225388812,112750,0.0000,1.0
2000-01-27,13.69,14.06,13.62,14.0,9.238582757374697,9275,0.0000,1.0
2000-01-28,14.12,14.94,14.12,14.94,9.858887599655569,125150,0.0000,1.0
2000-01-31,14.94,14.94,14.81,14.81,9.773100759765661,12025,0.0000,1.0
2000-02-01,14.88,15.0,14.56,14.81,9.773100759765661,15300,0.0000,1.0
2000-02-02,14.81,14.88,14.62,14.62,9.647719993772718,9975,0.0000,1.0
2000-02-03,14.56,15.0,14.5,14.88,9.819293673552535,17925,0.0000,1.0
2000-02-04,14.94,14.94,14.19,14.19,9.363963523367639,9775,0.0000,1.0
2000-02-07,14.31,14.5,14.06,14.12,9.317770609580766,5625,0.0000,1.0
2000-02-08,14.12,14.44,14.12,14.19,9.363963523367639,7500,0.0000,1.0
2000-02-09,14.31,14.31,14.0,14.0,9.238582757374697,6625,0.0000,1.0
2000-02-10,14.06,14.19,14.0,14.12,9.317770609580766,18225,0.0000,1.0
2000-02-11,14.12,14.19,13.75,13.88,9.159394905168629,17600,0.0000,1.0
2000-02-14,14.0,15.0,13.94,14.94,9.858887599655569,16400,0.0000,1.0
2000-02-15,15.0,15.0,14.75,15.0,9.898481525758603,10375,0.0000,1.0
2000-02-16,14.88,14.88,14.62,14.69,9.693912907559593,5775,0.0000,1.0
2000-02-17,14.75,14.75,14.62,14.69,9.693912907559593,21325,0.0000,1.0
2000-02-18,14.75,15.0,14.56,14.56,9.608126067669685,11825,0.0000,1.0
2000-02-22,14.69,14.88,14.62,14.88,9.819293673552535,3775,0.0000,1.0
2000-02-23,14.81,14.81,14.25,14.56,9.608126067669685,7075,0.0000,1.0
2000-02-24,14.5,14.62,14.25,14.31,9.443151375573708,6850,0.0000,1.0
2000-02-25,14.31,14.44,14.06,14.12,9.317770609580766,4500,0.0000,1.0
2000-02-28,14.06,14.19,13.94,14.06,9.278176683477732,5400,0.0000,1.0
2000-02-29,14.12,14.69,14.12,14.5,9.568532141566651,12425,0.0000,1.0
2000-03-01,14.5,14.62,14.0,14.31,9.443151375573708,23150,0.0000,1.0
2000-03-02,14.25,14.25,13.0,13.5,8.908633373182743,26125,0.0000,1.0
2000-03-03,13.5,14.31,13.5,14.31,9.443151375573708,21625,0.0000,1.0
2000-03-06,14.31,14.31,13.81,13.81,9.113201991381755,3125,0.0000,1.0
2000-03-07,13.94,14.0,13.44,13.44,8.86903944707971,10550,0.0000,1.0
2000-03-08,13.44,13.44,13.0,13.12,8.657871841196858,11250,0.0000,1.0
2000-03-09,13.25,13.31,13.06,13.19,8.704064754983731,13950,0.0000,1.0
2000-03-10,13.12,13.25,13.12,13.19,8.704064754983731,11125,0.0000,1.0
2000-03-13,13.38,13.38,13.12,13.19,8.704064754983731,9375,0.0000,1.0
2000-03-14,13.19,13.19,12.88,12.94,8.539090062887755,12075,0.0000,1.0
2000-03-15,13.06,13.12,12.94,12.94,8.539090062887755,19050,0.0000,1.0
2000-03-16,13.25,14.19,13.19,14.19,9.363963523367639,20675,0.0000,1.0
2000-03-17,14.06,14.5,14.06,14.25,9.403557449470673,15350,0.0000,1.0
2000-03-20,14.25,14.56,14.25,14.44,9.528938215463615,6225,0.0000,1.0
2000-03-21,14.31,14.31,14.06,14.19,9.363963523367639,36050,0.0000,1.0
2000-03-22,14.31,14.31,14.06,14.31,9.443151375573708,3275,0.0000,1.0
2000-03-23,14.19,14.5,14.19,14.31,9.443151375573708,11950,0.0000,1.0
2000-03-24,14.31,14.69,14.31,14.38,9.489344289360583,2950,0.0000,1.0
2000-03-27,14.38,14.38,13.88,13.88,9.159394905168629,6825,0.0000,1.0
2000-03-28,14.0,14.0,13.56,13.56,8.948227299285778,6500,0.0000,1.0
2000-03-29,13.94,14.0,13.81,14.0,9.238582757374697,15300,0.0000,1.0
2000-03-30,14.12,14.75,14.12,14.38,9.489344289360583,10975,0.0000,1.0
2000-03-31,14.5,14.81,14.25,14.81,9.773100759765661,23875,0.0000,1.0
2000-04-03,14.75,14.88,14.62,14.62,9.647719993772718,30550,0.0000,1.0
2000-04-04,14.62,14.62,13.44,14.06,9.278176683477732,25500,0.0000,1.0
2000-04-05,14.06,14.19,13.5,13.5,8.908633373182743,14000,0.0000,1.0
2000-04-06,13.62,13.94,13.56,13.62,8.987821225388812,14525,0.0000,1.0
2000-04-07,13.75,13.81,13.25,13.44,8.86903944707971,5225,0.0000,1.0
2000-04-10,13.44,13.56,13.31,13.5,8.908633373182743,6250,0.0000,1.0
2000-04-11,13.44,13.5,13.38,13.38,8.829445520976675,9400,0.0000,1.0
2000-04-12,13.38,13.5,13.31,13.5,8.908633373182743,16100,0.0000,1.0
2000-04-13,13.38,13.44,13.0,13.12,8.657871841196858,12875,0.0000,1.0
2000-04-14,13.12,13.25,12.94,13.0,8.57868398899079,31200,0.0000,1.0
2000-04-17,13.12,13.25,13.06,13.19,8.704064754983731,8400,0.0000,1.0
2000-04-18,13.19,13.31,13.06,13.06,8.618277915093826,6275,0.0000,1.0
2000-04-19,13.19,13.5,13.19,13.44,8.86903944707971,11925,0.0000,1.0
2000-04-20,13.38,14.0,13.38,14.0,9.238582757374697,14675,0.0000,1.0
2000-04-24,13.88,13.94,13.38,13.38,8.829445520976675,3950,0.0000,1.0
2000-04-25,13.44,13.75,13.25,13.75,9.07360806527872,13175,0.0000,1.0
2000-04-26,13.88,13.94,13.81,13.88,9.159394905168629,6575,0.0000,1.0
2000-04-27,13.88,13.94,13.62,13.62,8.987821225388812,70325,0.0000,1.0
2000-04-28,14.12,15.38,14.12,15.19,10.023862291751545,88000,0.0000,1.0
2000-05-01,15.12,15.19,14.88,15.0,9.898481525758603,45400,0.0000,1.0
2000-05-02,14.94,15.12,14.94,14.94,9.858887599655569,27000,0.0000,1.0
2000-05-03,15.0,15.0,14.31,14.44,9.528938215463615,38825,0.0000,1.0
2000-05-04,14.5,14.69,14.38,14.69,9.693912907559593,11150,0.0000,1.0
2000-05-05,14.81,15.0,14.81,15.0,9.898481525758603,7750,0.0000,1.0
2000-05-08,14.94,15.0,14.62,14.94,9.858887599655569,7100,0.0000,1.0
2000-05-09,14.94,14.94,14.69,14.94,9.858887599655569,14425,0.0000,1.0
2000-05-10,14.81,14.81,14.0,14.56,9.608126067669685,6675,0.0000,1.0
2000-05-11,14.5,14.75,14.38,14.56,9.608126067669685,27950,0.0000,1.0
2000-05-12,14.5,14.75,14.38,14.44,9.528938215463615,8275,0.0000,1.0
2000-05-15,14.44,14.62,14.31,14.44,9.528938215463615,18475,0.0000,1.0
2000-05-16,14.56,14.94,14.56,14.94,9.858887599655569,23450,0.0000,1.0
2000-05-17,14.81,14.88,14.75,14.81,9.773100759765661,5500,0.0000,1.0
2000-05-18,14.75,14.81,14.69,14.75,9.733506833662627,8650,0.0000,1.0
2000-05-19,14.62,14.69,14.31,14.56,9.608126067669685,6850,0.0000,1.0
2000-05-22,14.69,14.88,14.12,14.19,9.363963523367639,6300,0.0000,1.0
2000-05-23,14.25,14.38,13.94,14.12,9.317770609580766,5125,0.0000,1.0
2000-05-24,14.06,14.19,13.94,14.0,9.238582757374697,15450,0.0000,1.0
2000-05-25,14.12,14.44,14.06,14.06,9.278176683477732,6000,0.0000,1.0
2000-05-26,14.19,14.19,13.62,13.94,9.198988831271663,10400,0.0000,1.0
2000-05-30,13.94,14.12,13.75,14.06,9.278176683477732,19975,0.0000,1.0
2000-05-31,14.19,14.31,14.12,14.31,9.443151375573708,5750,0.0000,1.0
2000-06-01,14.31,14.62,14.25,14.38,9.489344289360583,13525,0.0000,1.0
2000-06-02,14.25,14.5,14.19,14.5,9.568532141566651,7250,0.0000,1.0
2000-06-05,14.38,14.69,14.38,14.62,9.647719993772718,3775,0.0000,1.0
2000-06-06,14.62,15.0,14.62,14.94,9.858887599655569,20825,0.0000,1.0
2000-06-07,14.94,14.94,14.75,14.81,9.773100759765661,4250,0.0000,1.0
2000-06-08,14.75,14.88,14.62,14.81,9.773100759765661,12550,0.0000,1.0
2000-06-09,14.75,14.94,14.62,14.75,9.733506833662627,4050,0.0000,1.0
2000-06-12,14.62,14.75,14.5,14.62,9.647719993772718,14900,0.0000,1.0
2000-06-13,14.75,14.81,14.69,14.75,9.733506833662627,2375,0.0000,1.0
2000-06-14,14.69,14.69,14.56,14.62,9.647719993772718,10000,0.0000,1.0
2000-06-15,14.69,14.88,14.56,14.88,9.819293673552535,9525,0.0000,1.0
2000-06-16,14.75,14.81,14.38,14.75,9.733506833662627,22075,0.0000,1.0
2000-06-19,14.75,14.81,14.5,14.62,9.647719993772718,4750,0.0000,1.0
2000-06-20,14.62,14.69,14.25,14.25,9.403557449470673,10750,0.0000,1.0
2000-06-21,14.31,14.44,14.12,14.12,9.317770609580766,12600,0.0000,1.0
2000-06-22,14.12,14.25,13.94,13.94,9.198988831271663,2275,0.0000,1.0
2000-06-23,13.94,13.94,13.69,13.69,9.034014139175685,5075,0.0000,1.0
2000-06-26,13.69,13.81,13.44,13.44,8.86903944707971,6225,0.0000,1.0
2000-06-27,13.5,14.0,13.5,13.69,9.034014139175685,3525,0.0000,1.0
2000-06-28,13.62,14.69,13.56,14.0,9.238582757374697,12725,0.0000,1.0
2000-06-29,14.06,14.38,13.81,14.19,9.363963523367639,6700,0.0000,1.0
2000-06-30,14.06,14.62,14.0,14.5,9.568532141566651,16275,0.0000,1.0
2000-07-03,14.5,14.62,14.47,14.62,9.647719993772718,2900,0.0000,1.0
2000-07-05,14.56,14.75,14.5,14.62,9.647719993772718,5650,0.0000,1.0
2000-07-06,14.56,14.62,14.0,14.31,9.443151375573708,35125,0.0000,1.0
2000-07-07,14.31,14.5,14.25,14.44,9.528938215463615,3525,0.0000,1.0
2000-07-10,14.44,14.81,14.44,14.81,9.773100759765661,4450,0.0000,1.0
2000-07-11,14.88,14.88,14.75,14.81,9.773100759765661,2525,0.0000,1.0
2000-07-12,14.94,15.0,14.88,15.0,9.898481525758603,13525,0.0000,1.0
2000-07-13,15.0,15.06,14.94,15.0,9.898481525758603,26825,0.0000,1.0
2000-07-14,15.0,15.0,14.81,14.94,9.858887599655569,4825,0.0000,1.0
2000-07-17,15.0,15.12,14.94,15.06,9.93807545186164,14450,0.0000,1.0
2000-07-18,14.94,15.0,14.75,14.81,9.773100759765661,3775,0.0000,1.0
2000-07-19,14.81,14.81,14.19,14.25,9.403557449470673,23000,0.0000,1.0
2000-07-20,14.38,14.81,14.38,14.75,9.733506833662627,2350,0.0000,1.0
2000-07-21,14.81,14.81,14.5,14.5,9.568532141566651,2475,0.0000,1.0
2000-07-24,14.5,14.5,14.38,14.44,9.528938215463615,7225,0.0000,1.0
2000-07-25,14.5,14.88,14.38,14.75,9.733506833662627,7500,0.0000,1.0
2000-07-26,14.69,14.75,14.5,14.62,9.647719993772718,6375,0.0000,1.0
2000-07-27,14.5,14.75,14.44,14.69,9.693912907559593,3125,0.0000,1.0
2000-07-28,14.69,14.69,14.0,14.12,9.317770609580766,4450,0.0000,1.0
2000-07-31,14.06,14.06,13.81,14.0,9.238582757374697,7750,0.0000,1.0
2000-08-01,14.06,14.31,14.06,14.25,9.403557449470673,6125,0.0000,1.0
2000-08-02,14.19,14.25,13.75,13.94,9.198988831271663,17950,0.0000,1.0
2000-08-03,13.88,14.0,13.75,14.0,9.238582757374697,4650,0.0000,1.0
2000-08-04,13.94,14.0,13.88,13.94,9.198988831271663,2150,0.0000,1.0
2000-08-07,13.94,14.31,13.94,14.31,9.443151375573708,2550,0.0000,1.0
2000-08-08,14.31,14.31,14.12,14.12,9.317770609580766,2875,0.0000,1.0
2000-08-09,14.38,14.44,14.12,14.44,9.528938215463615,10700,0.0000,1.0
2000-08-10,14.38,14.5,14.38,14.5,9.568532141566651,6750,0.0000,1.0
2000-08-11,14.5,14.62,14.5,14.62,9.647719993772718,6475,0.0000,1.0
2000-08-14,14.62,14.69,14.56,14.62,9.647719993772718,3400,0.0000,1.0
2000-08-15,14.62,14.62,14.38,14.44,9.528938215463615,9825,0.0000,1.0
2000-08-16,14.5,14.5,14.44,14.44,9.528938215463615,4450,0.0000,1.0
2000-08-17,14.62,14.62,14.5,14.56,9.608126067669685,3725,0.0000,1.0
2000-08-18,14.62,14.62,14.56,14.62,9.647719993772718,3675,0.0000,1.0
2000-08-21,14.62,14.69,14.62,14.69,9.693912907559593,9650,0.0000,1.0
2000-08-22,14.69,14.88,14.69,14.88,9.819293673552535,4300,0.0000,1.0
2000-08-23,14.75,14.75,14.44,14.5,9.568532141566651,24775,0.0000,1.0
2000-08-24,14.38,14.44,13.75,13.81,9.113201991381755,12875,0.0000,1.0
2000-08-25,13.88,14.25,13.88,14.12,9.317770609580766,4050,0.0000,1.0
2000-08-28,14.19,14.25,14.12,14.12,9.317770609580766,1625,0.0000,1.0
2000-08-29,14.12,14.5,14.12,14.5,9.568532141566651,5450,0.0000,1.0
2000-08-30,14.5,14.5,14.0,14.0,9.238582757374697,9675,0.0000,1.0
2000-08-31,13.94,14.0,13.94,13.94,9.198988831271663,4225,0.0000,1.0
2000-09-01,13.88,14.19,13.62,14.12,9.317770609580766,5450,0.0000,1.0
2000-09-05,14.25,14.25,14.0,14.0,9.238582757374697,4400,0.0000,1.0
2000-09-06,14.06,14.44,14.06,14.25,9.403557449470673,4825,0.0000,1.0
2000-09-07,14.25,14.25,14.12,14.19,9.363963523367639,7200,0.0000,1.0
