date,open,high,low,close,adj_close,volume,dividend,split
1999-11-01,13.44,14.0,13.25,13.69,6.760919623410799,251200,0.0000,1.0
1999-11-02,13.84,14.0,13.5,13.63,6.73128812761791,400700,0.0000,1.0
1999-11-03,13.59,14.19,13.5,14.06,6.94364718080028,336100,0.0000,1.0
1999-11-04,14.03,14.13,13.63,13.88,6.854752693421614,257600,0.0000,1.0
1999-11-05,14.0,14.13,13.5,13.56,6.6967180491928735,401000,0.0000,1.0
1999-11-08,13.5,13.88,13.38,13.75,6.790551119203688,207600,0.0000,1.0
1999-11-09,13.69,13.81,13.0,13.06,6.449788917585466,459200,0.0000,1.0
1999-11-10,13.0,13.38,13.0,13.19,6.5139904918033915,336800,0.0000,1.0
1999-11-11,13.25,13.38,13.0,13.13,6.484358996010504,212000,0.0000,1.0
1999-11-12,13.13,13.5,13.06,13.5,6.667086553399984,408400,0.0000,1.0
1999-11-15,13.38,13.81,13.13,13.63,6.73128812761791,413000,0.0000,1.0
1999-11-16,13.63,13.88,13.5,13.5,6.667086553399984,276400,0.0000,1.0
1999-11-17,13.53,13.56,12.88,12.88,6.3608944302068,530900,0.0000,1.0
1999-11-18,12.81,12.94,11.69,12.38,6.1139652985993935,1378700,0.0000,1.0
1999-11-19,12.41,12.56,11.88,12.13,5.99050073279569,1371800,0.0000,1.0
1999-11-22,12.06,12.25,11.88,12.06,5.955930654370653,1115800,0.0000,1.0
1999-11-23,12.0,12.06,11.63,11.69,5.773203096981171,717100,0.0000,1.0
1999-11-24,11.5,11.69,11.13,11.38,5.62010703538458,1138300,0.0000,1.0
1999-11-26,11.41,11.69,11.25,11.5,5.679370026970357,232600,0.0000,1.0
1999-11-29,11.38,11.44,11.13,11.19,5.526273965373765,815700,0.0000,1.0
1999-11-30,11.22,11.31,11.0,11.13,5.496642469580876,652500,0.0000,1.0
1999-12-01,11.0,11.06,10.31,10.56,5.215143259548433,1311200,0.0000,1.0
1999-12-02,10.56,10.81,10.5,10.81,5.338607825352136,905300,0.0000,1.0
1999-12-03,10.88,11.06,10.63,10.75,5.308976329559247,760400,0.0000,1.0
1999-12-06,10.75,10.81,10.25,10.31,5.091678693744729,1104300,0.0000,1.0
1999-12-07,10.31,10.38,10.0,10.19,5.032415702158951,614900,0.0000,1.0
1999-12-08,10.13,10.19,9.625,9.813,4.846231136926967,816600,0.0000,1.0
1999-12-09,9.813,10.19,9.75,10.06,4.9682141279410255,501300,0.0000,1.0
1999-12-10,10.0,10.13,9.688,10.0,4.938582632148137,670600,0.0000,1.0
1999-12-13,9.938,10.5,9.875,10.03,4.953398380044581,861800,0.0000,1.0
1999-12-14,9.938,9.938,9.063,9.188,4.537569722417708,874700,0.0000,1.0
1999-12-15,9.125,9.875,9.125,9.625,4.755855074758656,846200,0.0050,1.0
1999-12-16,9.438,9.625,9.25,9.5,4.694090723138414,748100,0.0000,1.0
1999-12-17,9.563,10.5,9.375,10.44,5.158558647322636,1781800,0.0000,1.0
1999-12-20,10.13,10.25,9.75,9.875,4.8793837779991405,963700,0.0000,1.0
1999-12-21,9.875,10.06,9.844,9.938,4.910513011215743,736000,0.0000,1.0
1999-12-22,10.06,10.31,9.75,9.75,4.817619426378898,1696100,0.0000,1.0
1999-12-23,9.813,10.13,9.75,10.06,4.9707950183971,1198000,0.0000,1.0
1999-12-27,10.09,10.19,9.781,9.969,4.9258305704175624,1194200,0.0000,1.0
1999-12-28,9.938,10.06,9.688,9.75,4.817619426378898,603500,0.0000,1.0
1999-12-29,9.844,10.0,9.625,9.906,4.894701337200961,734900,0.0000,1.0
1999-12-30,9.781,9.969,9.75,9.813,4.8487486595955005,691200,0.0000,1.0
1999-12-31,9.75,9.813,9.5,9.703,4.794396030169687,517900,0.0000,1.0
2000-01-03,9.72,9.72,9.06,9.31,4.600208908675646,645600,0.0000,1.0
2000-01-04,9.375,9.406,9.125,9.188,4.539926901494289,279200,0.0000,1.0
2000-01-05,9.266,9.5,9.125,9.25,4.570562019897929,1602100,0.0000,1.0
2000-01-06,9.156,9.281,8.125,8.469,4.184658350974655,1826900,0.0000,1.0
2000-01-07,8.469,8.938,8.125,8.938,4.4163981982538045,2212400,0.0000,1.0
2000-01-10,9.0,9.438,9.0,9.25,4.570562019897929,775800,0.0000,1.0
2000-01-11,9.297,9.594,9.125,9.5,4.694090723138414,490000,0.0000,1.0
2000-01-12,9.469,9.5,9.125,9.156,4.524115227479507,454200,0.0000,1.0
2000-01-13,9.234,9.375,9.125,9.125,4.508797668277687,524700,0.0000,1.0
2000-01-14,9.25,9.375,9.125,9.25,4.570562019897929,323100,0.0000,1.0
2000-01-18,9.125,9.188,8.875,9.125,4.508797668277687,403900,0.0000,1.0
2000-01-19,9.141,9.5,9.125,9.438,4.663455604734774,454600,0.0000,1.0
2000-01-20,9.5,10.13,9.438,9.75,4.817619426378898,1662000,0.0000,1.0
2000-01-21,9.844,10.19,9.844,10.0,4.941148129619383,959400,0.0000,1.0
2000-01-24,9.984,10.88,9.938,9.938,4.910513011215743,608000,0.0000,1.0
2000-01-25,10.0,10.03,9.375,9.438,4.663455604734774,604000,0.0000,1.0
2000-01-26,9.5,9.813,9.25,9.75,4.817619426378898,806800,0.0000,1.0
2000-01-27,9.766,9.813,9.25,9.438,4.663455604734774,486800,0.0000,1.0
2000-01-28,9.438,9.5,9.375,9.484,4.686184886131023,276400,0.0000,1.0
2000-01-31,9.469,9.5,9.063,9.25,4.570562019897929,307500,0.0000,1.0
2000-02-01,9.25,9.25,8.938,9.063,4.478162549874047,399600,0.0000,1.0
2000-02-02,8.969,9.375,8.938,9.359,4.62442053451078,409000,0.0000,1.0
2000-02-03,9.438,9.75,9.375,9.438,4.663455604734774,514800,0.0000,1.0
2000-02-04,9.375,9.625,9.313,9.438,4.663455604734774,159600,0.0000,1.0
2000-02-07,9.531,9.719,9.438,9.625,4.755855074758656,193000,0.0000,1.0
2000-02-08,9.656,9.875,9.563,9.688,4.786984307975258,293500,0.0000,1.0
2000-02-09,9.641,10.0,9.313,9.313,4.601691253114532,268400,0.0000,1.0
2000-02-10,9.375,9.5,9.063,9.063,4.478162549874047,290700,0.0000,1.0
2000-02-11,9.063,9.25,9.0,9.125,4.508797668277687,242200,0.0000,1.0
2000-02-14,9.219,9.5,9.063,9.063,4.478162549874047,269500,0.0000,1.0
2000-02-15,9.438,9.438,9.0,9.0,4.4470333166574445,272800,0.0000,1.0
2000-02-16,9.25,9.813,9.219,9.688,4.786984307975258,982600,0.0000,1.0
2000-02-17,9.563,10.13,9.563,9.938,4.910513011215743,877200,0.0000,1.0
2000-02-18,9.938,9.938,9.75,9.813,4.8487486595955005,652600,0.0000,1.0
2000-02-22,9.844,10.19,9.75,9.906,4.894701337200961,856900,0.0000,1.0
2000-02-23,9.813,10.06,9.75,9.938,4.910513011215743,643900,0.0000,1.0
2000-02-24,9.938,10.06,9.688,9.75,4.817619426378898,527400,0.0000,1.0
2000-02-25,9.688,9.938,9.688,9.75,4.817619426378898,460900,0.0000,1.0
2000-02-28,9.844,9.875,9.563,9.781,4.8329369855807185,511700,0.0000,1.0
2000-02-29,9.781,9.875,9.25,9.25,4.570562019897929,977600,0.0000,1.0
2000-03-01,9.375,9.469,8.938,8.938,4.4163981982538045,930700,0.0000,1.0
2000-03-02,9.031,9.063,8.75,8.813,4.354633846633562,778900,0.0000,1.0
2000-03-03,8.813,8.938,8.563,8.625,4.261740261796718,759100,0.0000,1.0
2000-03-06,8.688,8.875,8.5,8.813,4.354633846633562,672600,0.0000,1.0
2000-03-07,8.813,9.094,8.688,8.875,4.385268965037202,673000,0.0000,1.0
2000-03-08,8.969,9.063,8.563,8.625,4.261740261796718,892300,0.0000,1.0
2000-03-09,8.625,8.688,8.438,8.625,4.261740261796718,574200,0.0000,1.0
2000-03-10,8.594,8.625,8.438,8.547,4.223199306385687,686400,0.0000,1.0
2000-03-13,8.5,8.969,8.375,8.781,4.33882217261878,347500,0.0000,1.0
2000-03-14,8.813,8.875,8.5,8.5,4.199975910176476,447200,0.0000,1.0
