date,open,high,low,close,adj_close,volume,dividend,split
1999-11-01,7.06,7.06,6.75,7.0,30.79789837928385,6000,0.0000,1.0
1999-11-02,7.06,7.06,6.88,7.0,30.79789837928385,1500,0.0000,1.0
1999-11-03,7.06,7.13,6.94,7.06,31.061880365391996,500,0.0000,1.0
1999-11-04,6.88,7.0,6.88,6.94,30.533916393175705,3000,0.0000,1.0
1999-11-05,6.94,6.94,6.63,6.88,30.269934407067552,9000,0.0000,1.0
1999-11-08,6.88,6.88,6.88,6.88,30.269934407067552,2000,0.0000,1.0
1999-11-09,6.94,7.13,6.94,7.13,31.369859349184836,24000,0.0000,1.0
1999-11-10,7.13,7.13,7.0,7.13,31.369859349184836,1500,0.0000,1.0
1999-11-11,7.0,7.13,7.0,7.13,31.369859349184836,10000,0.0000,1.0
1999-11-12,7.06,7.19,7.0,7.13,31.369859349184836,3500,0.0000,1.0
1999-11-15,7.13,7.19,7.0,7.19,31.633841335292985,4500,0.0000,1.0
1999-11-16,7.13,7.25,7.13,7.25,31.89782332140113,20000,0.0000,1.0
1999-11-17,7.25,7.25,7.06,7.19,31.633841335292985,3000,0.0000,1.0
1999-11-18,7.25,7.25,7.0,7.19,31.633841335292985,5000,0.0000,1.0
1999-11-19,7.19,7.19,7.0,7.19,31.633841335292985,4000,0.0000,1.0
1999-11-22,7.06,7.13,6.88,7.13,31.369859349184836,15500,0.0000,1.0
1999-11-23,7.13,7.13,6.88,7.13,31.369859349184836,5500,0.0000,1.0
1999-11-24,7.0,7.13,7.0,7.13,31.369859349184836,2500,0.0000,1.0
1999-11-26,7.0,7.13,7.0,7.13,31.369859349184836,1000,0.0000,1.0
1999-11-29,7.0,7.13,6.94,7.06,31.061880365391996,5500,0.0000,1.0
1999-11-30,7.06,7.06,6.75,7.06,31.061880365391996,9000,0.0000,1.0
1999-12-01,7.0,7.13,6.75,7.0,30.79789837928385,8000,0.0000,1.0
1999-12-02,7.0,7.0,6.94,7.0,30.79789837928385,500,0.0000,1.0
1999-12-03,6.88,7.13,6.75,7.0,30.79789837928385,14500,0.0000,1.0
1999-12-06,7.06,7.06,6.75,6.88,30.269934407067552,10000,0.0000,1.0
1999-12-07,6.75,6.94,6.63,6.94,30.533916393175705,3500,0.0000,1.0
1999-12-08,6.94,6.94,6.75,6.88,30.269934407067552,7500,0.0000,1.0
1999-12-09,6.63,7.0,6.63,7.0,30.79789837928385,5000,0.0000,1.0
1999-12-10,7.0,7.0,6.69,6.88,30.269934407067552,9500,0.0000,1.0
1999-12-13,6.63,7.19,6.63,7.19,31.633841335292985,24000,0.0000,1.0
1999-12-14,7.13,7.25,7.0,7.19,31.633841335292985,2500,0.0000,1.0
1999-12-15,7.06,7.13,7.06,7.06,31.061880365391996,2000,0.0000,1.0
1999-12-16,7.06,7.19,7.0,7.13,31.369859349184836,10000,0.0000,1.0
1999-12-17,7.0,7.13,6.44,6.44,28.33406650894114,40000,0.0000,1.0
1999-12-20,6.5,6.69,6.44,6.63,29.170009464950272,10000,0.0000,1.0
1999-12-21,6.69,6.69,6.25,6.63,29.170009464950272,11000,0.0000,1.0
1999-12-22,6.5,6.69,6.25,6.69,29.43399145105842,17000,0.0000,1.0
1999-12-23,6.5,6.63,6.25,6.5,28.598048495049287,18500,0.0000,1.0
1999-12-27,6.38,6.5,6.31,6.5,28.598048495049287,11500,0.0000,1.0
1999-12-28,6.5,6.5,6.31,6.5,28.598048495049287,20000,0.0000,1.0
1999-12-29,6.38,6.94,6.31,6.94,30.533916393175705,26000,0.0000,1.0
1999-12-30,6.94,6.94,6.75,6.94,30.533916393175705,10500,0.0000,1.0
1999-12-31,6.94,7.13,6.75,7.13,31.369859349184836,6500,0.0000,1.0
2000-01-03,7.13,7.19,6.88,7.19,31.633841335292985,10000,0.0000,1.0
2000-01-04,7.06,7.19,7.0,7.19,31.633841335292985,8000,0.0000,1.0
2000-01-05,7.19,7.19,7.0,7.19,31.633841335292985,9500,0.0000,1.0
2000-01-06,7.19,7.19,7.06,7.19,31.633841335292985,1500,0.0000,1.0
2000-01-07,7.06,7.06,6.75,6.94,30.533916393175705,18000,0.0000,1.0
2000-01-10,6.88,7.0,6.75,7.0,30.79789837928385,11000,0.0000,1.0
2000-01-11,6.88,7.0,6.63,7.0,30.79789837928385,13500,0.0000,1.0
2000-01-12,7.0,7.0,6.81,7.0,30.79789837928385,1500,0.0000,1.0
2000-01-13,6.88,7.06,6.88,7.06,31.061880365391996,2000,0.0000,1.0
2000-01-14,7.06,7.06,7.0,7.0,30.79789837928385,500,0.0000,1.0
2000-01-18,7.0,7.13,7.0,7.06,31.061880365391996,6000,0.0000,1.0
2000-01-19,7.0,7.25,7.0,7.13,31.369859349184836,30500,0.0000,1.0
2000-01-20,7.06,7.25,7.06,7.06,31.061880365391996,19500,0.0000,1.0
2000-01-21,7.0,7.13,7.0,7.13,31.369859349184836,5500,0.0000,1.0
2000-01-24,7.13,7.38,7.06,7.19,31.633841335292985,62000,0.0000,1.0
2000-01-25,7.13,7.25,7.0,7.13,31.369859349184836,16500,0.0000,1.0
2000-01-26,7.06,7.38,7.06,7.31,32.161805307509276,46500,0.0000,1.0
2000-01-27,7.38,7.44,7.25,7.31,32.161805307509276,5500,0.0000,1.0
2000-01-28,7.25,7.38,7.13,7.38,32.46978429130211,11500,0.0000,1.0
2000-01-31,7.38,7.88,7.31,7.5,32.99774826351841,37500,0.0000,1.0
2000-02-01,7.56,7.69,7.38,7.56,33.26173024962655,16500,0.0000,1.0
2000-02-02,7.56,7.56,7.44,7.56,33.26173024962655,2500,0.0000,1.0
2000-02-03,7.38,7.75,7.38,7.75,34.09767320563569,11000,0.0000,1.0
2000-02-04,7.75,8.25,7.75,8.0,35.19759814775297,48500,0.0000,1.0
2000-02-07,8.19,8.25,8.0,8.13,35.76955911765396,11000,0.0000,1.0
2000-02-08,8.13,8.25,8.06,8.19,36.033541103762104,26000,0.0000,1.0
2000-02-09,8.06,8.25,8.06,8.13,35.76955911765396,11500,0.0000,1.0
2000-02-10,8.0,8.13,7.56,7.94,34.93361616164483,34500,0.0000,1.0
2000-02-11,8.0,8.0,8.0,8.0,35.19759814775297,0,0.0000,1.0
2000-02-14,7.75,8.0,7.63,7.69,33.833691219527545,15000,0.0000,1.0
2000-02-15,7.69,7.75,7.5,7.75,34.09767320563569,6000,0.0000,1.0
2000-02-16,7.75,7.75,7.63,7.69,33.833691219527545,1500,0.0000,1.0
2000-02-17,7.63,7.75,7.63,7.69,33.833691219527545,17500,0.0000,1.0
2000-02-18,7.5,7.75,7.5,7.69,33.833691219527545,5500,0.0000,1.0
2000-02-22,7.63,7.63,7.5,7.63,33.569709233419395,3500,0.0000,1.0
2000-02-23,7.5,7.5,7.0,7.44,32.73376627741026,60500,0.0000,1.0
2000-02-24,7.31,7.38,7.25,7.31,32.161805307509276,5500,0.0000,1.0
2000-02-25,7.5,7.5,7.19,7.19,31.633841335292985,2000,0.0000,1.0
2000-02-28,7.25,7.25,7.13,7.25,31.89782332140113,9000,0.0000,1.0
2000-02-29,7.0,7.13,6.88,7.13,31.369859349184836,10000,0.0000,1.0
2000-03-01,6.88,7.25,6.88,7.19,31.633841335292985,4500,0.0000,1.0
2000-03-02,7.0,7.13,6.94,6.94,30.533916393175705,16000,0.0000,1.0
2000-03-03,6.94,7.25,6.94,7.13,31.369859349184836,5500,0.0000,1.0
2000-03-06,7.0,7.13,6.94,7.06,31.061880365391996,2500,0.0000,1.0
2000-03-07,7.0,7.13,6.94,6.94,30.533916393175705,10500,0.0000,1.0
2000-03-08,6.94,7.0,6.94,6.94,30.533916393175705,3500,0.0000,1.0
2000-03-09,6.94,7.13,6.88,7.06,31.061880365391996,12500,0.0000,1.0
2000-03-10,7.0,7.13,7.0,7.0,30.79789837928385,24000,0.0000,1.0
2000-03-13,6.88,7.0,6.88,7.0,30.79789837928385,7500,0.0000,1.0
2000-03-14,6.94,7.06,6.88,6.94,30.533916393175705,2000,0.0000,1.0
2000-03-15,6.88,7.0,6.75,6.81,29.961955423274713,5500,0.0000,1.0
2000-03-16,6.63,7.0,6.63,6.88,30.269934407067552,11500,0.0000,1.0
2000-03-17,6.75,6.88,6.5,6.56,28.862030481157433,17500,0.0000,1.0
2000-03-20,6.56,6.69,6.25,6.44,28.33406650894114,9000,0.0000,1.0
2000-03-21,6.44,6.5,6.38,6.44,28.33406650894114,5000,0.0000,1.0
2000-03-22,6.38,7.0,6.38,7.0,30.79789837928385,26000,0.0000,1.0
2000-03-23,7.06,7.06,6.75,6.88,30.269934407067552,4500,0.0000,1.0
2000-03-24,6.69,6.88,6.69,6.75,29.697973437166567,20000,0.0000,1.0
2000-03-27,6.63,6.94,6.63,6.81,29.961955423274713,20000,0.0000,1.0
2000-03-28,6.69,6.88,6.69,6.81,29.961955423274713,12500,0.0000,1.0
2000-03-29,6.75,6.88,6.63,6.75,29.697973437166567,8000,0.0000,1.0
2000-03-30,6.63,6.75,6.56,6.69,29.43399145105842,13500,0.0000,1.0
2000-03-31,6.63,6.88,6.63,6.88,30.269934407067552,9500,0.0000,1.0
2000-04-03,6.88,6.94,6.75,6.81,29.961955423274713,6000,0.0000,1.0
2000-04-04,6.75,6.88,6.63,6.75,29.697973437166567,29000,0.0000,1.0
2000-04-05,6.75,6.81,6.63,6.69,29.43399145105842,32000,0.0000,1.0
2000-04-06,6.75,6.81,6.75,6.81,29.961955423274713,16000,0.0000,1.0
2000-04-07,6.81,6.81,6.75,6.75,29.697973437166567,500,0.0000,1.0
2000-04-10,6.75,6.75,6.63,6.75,29.697973437166567,7500,0.0000,1.0
2000-04-11,6.63,6.75,6.63,6.75,29.697973437166567,9000,0.0000,1.0
2000-04-12,6.75,6.75,6.56,6.63,29.170009464950272,4500,0.0000,1.0
2000-04-13,6.75,6.75,6.38,6.56,28.862030481157433,6000,0.0000,1.0
2000-04-14,6.63,6.63,6.38,6.63,29.170009464950272,3500,0.0000,1.0
2000-04-17,6.63,6.63,6.5,6.63,29.170009464950272,4000,0.0000,1.0
2000-04-18,6.69,6.81,6.44,6.81,29.961955423274713,13500,0.0000,1.0
2000-04-19,6.81,6.81,6.63,6.75,29.697973437166567,2000,0.0000,1.0
2000-04-20,6.63,6.69,6.56,6.69,29.43399145105842,4500,0.0000,1.0
2000-04-24,6.75,6.75,6.63,6.69,29.43399145105842,4500,0.0000,1.0
2000-04-25,6.75,7.0,6.75,6.75,29.697973437166567,29500,0.0000,1.0
2000-04-26,6.88,6.88,6.75,6.75,29.697973437166567,1500,0.0000,1.0
2000-04-27,6.75,6.75,6.5,6.69,29.43399145105842,11500,0.0000,1.0
2000-04-28,6.63,6.75,6.63,6.75,29.697973437166567,500,0.0000,1.0
2000-05-01,6.75,6.81,6.63,6.81,29.961955423274713,21500,0.0000,1.0
2000-05-02,6.81,6.94,6.75,6.88,30.269934407067552,6000,0.0000,1.0
2000-05-03,6.88,6.88,6.63,6.81,29.961955423274713,9500,0.0000,1.0
2000-05-04,6.88,6.94,6.88,6.94,30.533916393175705,2500,0.0000,1.0
2000-05-05,6.94,6.94,6.75,6.88,30.269934407067552,13000,0.0000,1.0
2000-05-08,6.88,6.94,6.63,6.81,29.961955423274713,8000,0.0000,1.0
2000-05-09,6.81,6.81,6.63,6.63,29.170009464950272,10500,0.0000,1.0
2000-05-10,6.5,6.69,6.5,6.69,29.43399145105842,12500,0.0000,1.0
2000-05-11,6.75,6.75,6.63,6.63,29.170009464950272,15500,0.0000,1.0
2000-05-12,6.69,6.69,6.38,6.63,29.170009464950272,16000,0.0000,1.0
2000-05-15,6.5,6.69,6.38,6.69,29.43399145105842,18000,0.0000,1.0
