date,open,high,low,close,adj_close,volume,dividend,split
1999-11-01,7.625,7.75,7.625,7.75,1.87308289250865,11900,0.0000,1.0
1999-11-02,7.625,7.75,7.625,7.75,1.87308289250865,46600,0.0000,1.0
1999-11-03,7.75,7.75,7.75,7.75,1.87308289250865,2900,0.0000,1.0
1999-11-04,7.688,7.75,7.625,7.688,1.8580982293685806,15300,0.0000,1.0
1999-11-05,7.625,7.625,7.625,7.625,1.842871878113349,1400,0.0000,1.0
1999-11-08,7.75,7.813,7.75,7.813,1.8883092437638815,20000,0.0000,1.0
1999-11-09,7.625,7.625,7.625,7.625,1.842871878113349,1300,0.0000,1.0
1999-11-10,7.625,7.75,7.625,7.75,1.87308289250865,7200,0.0000,1.0
1999-11-11,7.625,7.625,7.625,7.625,1.842871878113349,11500,0.0000,1.0
1999-11-12,7.75,7.75,7.625,7.75,1.87308289250865,21600,0.0000,1.0
1999-11-15,7.688,7.688,7.625,7.688,1.8580982293685806,16800,0.0000,1.0
1999-11-16,7.69,7.69,7.69,7.69,1.8585816055989057,0,0.0000,1.0
1999-11-17,7.656,7.688,7.625,7.625,1.842871878113349,5500,0.0000,1.0
1999-11-18,7.625,7.688,7.625,7.625,1.842871878113349,31000,0.0000,1.0
1999-11-19,7.75,7.75,7.625,7.625,1.842871878113349,1300,0.0000,1.0
1999-11-22,7.688,7.688,7.625,7.688,1.8580982293685806,1300,0.0000,1.0
1999-11-23,7.625,7.625,7.625,7.625,1.842871878113349,3900,0.0000,1.0
1999-11-24,7.625,7.656,7.625,7.656,1.8503642096833837,14600,0.0000,1.0
1999-11-26,7.66,7.66,7.66,7.66,1.8513309621440335,0,0.0000,1.0
1999-11-29,7.672,7.75,7.625,7.75,1.87308289250865,17800,0.0000,1.0
1999-11-30,7.75,7.875,7.625,7.75,1.87308289250865,49700,0.0000,1.0
1999-12-01,7.563,7.563,7.0,7.125,1.722027820532146,113500,0.0000,1.0
1999-12-02,7.125,7.375,7.125,7.375,1.7824498493227474,4700,0.0000,1.0
1999-12-03,8.313,8.375,7.25,7.313,1.7674651861826782,46200,0.0000,1.0
1999-12-06,7.594,7.594,7.25,7.25,1.7522388349274467,1800,0.0000,1.0
1999-12-07,7.25,7.25,7.25,7.25,1.7522388349274467,13400,0.0000,1.0
1999-12-08,7.313,7.375,6.75,6.75,1.6313947773462434,290800,0.0000,1.0
1999-12-09,6.938,7.125,6.5,6.625,1.6011837629509427,35600,0.0000,1.0
1999-12-10,6.625,6.75,6.0,6.75,1.6313947773462434,15200,0.0000,1.0
1999-12-13,6.0,6.063,5.0,5.25,1.268862604602634,7400,0.0000,1.0
1999-12-14,5.875,6.125,5.625,5.875,1.419917676579138,126000,0.0000,1.0
1999-12-15,5.844,6.0,5.5,5.5,1.3292846333932355,31600,0.0000,1.0
1999-12-16,5.5,5.875,5.0,5.375,1.2990736189979346,359400,0.0000,1.0
1999-12-17,5.75,5.75,5.0,5.375,1.2990736189979346,142600,0.0000,1.0
1999-12-20,5.438,5.5,5.125,5.5,1.3292846333932355,12000,0.0000,1.0
1999-12-21,5.125,5.25,5.0,5.25,1.268862604602634,26400,0.0000,1.0
1999-12-22,5.125,5.25,4.625,5.0,1.2084405758120322,17300,0.0000,1.0
1999-12-23,5.0,5.625,4.75,5.25,1.268862604602634,56100,0.0000,1.0
1999-12-27,5.344,5.438,5.0,5.313,1.2840889558578654,80300,0.0000,1.0
