date,open,high,low,close,adj_close,volume,dividend,split
1999-11-01,37.38,38.06,37.25,37.59,7.283969975444275,198200,0.0000,1.0
1999-11-02,37.69,39.13,37.5,37.5,7.266530302717751,462100,0.0000,1.0
1999-11-03,37.75,37.88,36.88,36.88,7.146390335046151,574000,0.0000,1.0
1999-11-04,37.03,37.13,36.69,36.75,7.121199696663396,408800,0.0000,1.0
1999-11-05,37.06,37.31,36.63,36.81,7.132826145147745,250600,0.0000,1.0
1999-11-08,36.56,37.5,36.13,37.27,7.221962250194416,127600,0.0000,1.0
1999-11-09,37.5,37.5,35.88,36.38,7.049503264343248,173700,0.0000,1.0
1999-11-10,35.75,37.06,35.63,37.0,7.169643232014848,301600,0.0000,1.0
1999-11-11,37.06,37.63,37.0,37.25,7.2180867673663,217400,0.0000,1.0
1999-11-12,37.34,38.0,36.63,37.03,7.175456456257022,186800,0.0000,1.0
1999-11-15,37.31,38.13,36.88,36.94,7.158016783530499,245100,0.0000,1.0
1999-11-16,37.13,38.0,37.0,37.63,7.291720941100507,561400,0.0000,1.0
1999-11-17,37.66,37.69,35.63,35.94,6.964242642124693,507800,0.0000,1.0
1999-11-18,35.94,36.56,32.88,33.81,6.551503720930325,1156000,0.0000,1.0
1999-11-19,33.44,36.75,33.38,36.44,7.061129712827595,2733900,0.0000,1.0
1999-11-22,36.19,37.06,35.5,36.31,7.035939074444841,304400,0.0000,1.0
1999-11-23,35.81,36.44,35.75,36.0,6.9758690906090415,191700,0.0000,1.0
1999-11-24,36.25,36.25,34.94,35.38,6.855729122937442,212600,0.0000,1.0
1999-11-26,35.06,35.38,34.94,35.0,6.782094949203234,83000,0.0000,1.0
1999-11-29,34.88,37.63,34.88,35.19,6.818912036070337,240800,0.0000,1.0
1999-11-30,35.63,36.13,35.19,35.91,6.958429417882518,186400,0.0000,1.0
1999-12-01,36.13,36.81,35.81,36.81,7.132826145147745,119500,0.0000,1.0
1999-12-02,36.81,37.13,35.44,36.88,7.146390335046151,152900,0.0000,1.0
1999-12-03,36.88,37.63,36.5,36.88,7.146390335046151,125500,0.0000,1.0
1999-12-06,37.0,37.0,35.81,36.0,6.9758690906090415,197500,0.0000,1.0
1999-12-07,35.88,36.5,35.63,36.25,7.024312625960492,144800,0.0000,1.0
1999-12-08,36.38,36.5,34.19,34.25,6.636764343148879,746800,0.0000,1.0
1999-12-09,34.06,34.06,25.38,26.88,5.208648920988084,7823100,0.0000,1.0
1999-12-10,25.0,25.06,21.25,23.31,4.516875236169354,9157200,0.0000,1.0
1999-12-13,24.13,25.75,24.06,25.0,4.844353535145167,2879200,0.0000,1.0
1999-12-14,25.5,25.94,25.0,25.13,4.869544173527922,2322000,0.0000,1.0
1999-12-15,25.28,25.63,24.5,25.5,4.941240605848071,611600,0.0000,1.0
1999-12-16,25.09,26.13,25.06,25.88,5.014874779582277,796500,0.0000,1.0
1999-12-17,26.0,26.0,24.75,24.94,4.832727086660819,1182900,0.0000,1.0
1999-12-20,25.0,25.25,22.5,23.5,4.553692323036457,1219900,0.0000,1.0
1999-12-21,23.72,24.31,23.06,24.25,4.6990229290908125,691500,0.0000,1.0
1999-12-22,24.38,24.5,23.75,24.19,4.6873964806064645,396800,0.0000,1.0
1999-12-23,24.19,24.25,23.25,23.63,4.578882961419212,279500,0.0000,1.0
1999-12-27,23.63,23.63,22.5,23.06,4.468431700817902,974000,0.0000,1.0
1999-12-28,23.0,25.0,22.88,24.75,4.795909999793715,1005400,0.0000,1.0
1999-12-29,25.0,26.5,24.88,25.81,5.001310589683871,1104200,0.0000,1.0
1999-12-30,25.91,26.25,25.5,25.63,4.966431244230826,525700,0.0000,1.0
1999-12-31,25.53,26.75,25.0,26.06,5.049754125035323,248200,0.0000,1.0
2000-01-03,26.19,27.13,26.13,26.88,5.208648920988084,650900,0.0000,1.0
2000-01-04,26.88,27.0,25.0,25.5,4.941240605848071,645000,0.0000,1.0
2000-01-05,25.88,25.88,25.19,25.25,4.892797070496619,492600,0.0000,1.0
2000-01-06,25.06,25.63,25.0,25.13,4.869544173527922,258900,0.0000,1.0
2000-01-07,25.44,26.0,25.13,25.69,4.978057692715175,380300,0.0000,1.0
2000-01-10,26.28,27.0,26.25,26.25,5.086571211902426,453700,0.0000,1.0
2000-01-11,26.44,26.63,25.5,25.5,4.941240605848071,799100,0.0000,1.0
2000-01-12,25.81,25.81,25.13,25.34,4.910236743223142,112800,0.0000,1.0
2000-01-13,25.44,26.13,25.38,26.06,5.049754125035323,330100,0.0000,1.0
2000-01-14,26.25,26.38,25.0,26.0,5.038127676550974,152400,0.0000,1.0
2000-01-18,26.13,26.19,25.0,25.69,4.978057692715175,418200,0.0000,1.0
2000-01-19,25.75,25.81,25.38,25.5,4.941240605848071,1012900,0.0000,1.0
2000-01-20,25.44,25.81,25.31,25.81,5.001310589683871,1163600,0.0000,1.0
2000-01-21,25.5,25.63,25.25,25.38,4.917987708879374,708000,0.0000,1.0
2000-01-24,25.38,25.56,24.38,24.38,4.7242135674735675,959300,0.0000,1.0
2000-01-25,24.44,25.0,24.31,24.88,4.82110063817647,472200,0.0000,1.0
2000-01-26,25.0,25.13,24.63,24.91,4.826913862418645,508700,0.0000,1.0
