date,open,high,low,close,adj_close,volume,dividend,split
1999-11-01,12.5,13.19,12.38,13.0,1.3650240603869537,249778,0.0000,1.0
1999-11-02,13.0,13.56,12.94,13.44,1.411224874738512,291378,0.0000,1.0
1999-11-03,14.44,14.5,13.13,13.63,1.4311752263903215,616435,0.0000,1.0
1999-11-04,13.75,13.75,13.0,13.31,1.3975746341346427,225067,0.0000,1.0
1999-11-05,13.25,13.69,12.38,13.44,1.411224874738512,720375,0.0000,1.0
1999-11-08,13.66,13.75,13.25,13.5,1.4175249857864518,106430,0.0000,1.0
1999-11-09,13.5,13.69,13.38,13.56,1.4238250968343917,137185,0.0000,1.0
1999-11-10,14.06,14.44,13.69,13.75,1.443775448486201,374163,0.0000,1.0
1999-11-11,13.81,14.0,13.63,13.69,1.4374753374382612,142163,0.0000,1.0
1999-11-12,13.75,13.81,13.63,13.81,1.4500755595341408,111052,0.0000,1.0
1999-11-15,13.75,13.81,13.13,13.5,1.4175249857864518,264830,0.0000,1.0
1999-11-16,13.69,13.75,13.0,13.06,1.3713241714348936,65185,0.0000,1.0
1999-11-17,13.06,13.19,12.81,12.94,1.3587239493390137,162568,0.0000,1.0
1999-11-18,12.97,13.06,12.13,12.81,1.3450737087351443,84168,0.0000,1.0
1999-11-19,12.88,12.94,12.38,12.44,1.3062230239395156,120000,0.0000,1.0
1999-11-22,12.53,13.13,12.5,13.0,1.3650240603869537,163200,0.0000,1.0
1999-11-23,13.06,13.13,12.88,13.0,1.3650240603869537,86400,0.0000,1.0
1999-11-24,13.0,13.06,12.5,12.81,1.3450737087351443,68642,0.0000,1.0
1999-11-26,13.03,13.06,12.69,12.81,1.3450737087351443,42568,0.0000,1.0
1999-11-29,12.81,12.88,12.31,12.63,1.326173375591325,97620,0.0000,1.0
1999-11-30,12.38,12.81,12.38,12.81,1.3450737087351443,37985,0.0000,1.0
1999-12-01,12.88,14.0,12.78,14.0,1.4700259111859502,201442,0.0000,1.0
1999-12-02,13.94,14.44,13.75,14.25,1.4962763738856992,547378,0.0000,1.0
1999-12-03,14.38,15.38,13.13,15.36,1.6128284282725853,561442,0.0000,1.0
1999-12-06,15.44,17.38,15.38,16.69,1.7524808898352506,853867,0.0000,1.0
1999-12-07,17.56,17.69,16.25,16.63,1.7461807787873107,270578,0.0000,1.0
1999-12-08,16.69,17.38,16.38,17.25,1.8112819262826885,154035,0.0000,1.0
1999-12-09,17.34,18.06,17.0,17.0,1.7850314635829394,322568,0.0000,1.0
1999-12-10,17.25,17.44,15.75,16.25,1.7062800754836922,718953,0.0000,1.0
1999-12-13,16.19,17.0,15.88,17.0,1.7850314635829394,357175,0.0000,1.0
1999-12-14,16.88,17.0,16.25,16.94,1.7787313525349997,209244,0.0000,1.0
1999-12-15,16.75,16.88,16.0,16.69,1.7524808898352506,46775,0.0000,1.0
1999-12-16,16.53,16.53,16.0,16.0,1.680029612783943,42430,0.0000,1.0
