date,open,high,low,close,adj_close,volume,dividend,split
1999-11-01,20.94,21.69,20.94,21.31,13.145175028218762,9400,0.0000,1.0
1999-11-02,21.44,22.0,21.44,21.94,13.533793529756908,5200,0.0000,1.0
1999-11-03,21.81,22.25,21.81,21.94,13.533793529756908,7600,0.0000,1.0
1999-11-04,22.06,22.19,21.88,21.94,13.533793529756908,3900,0.0000,1.0
1999-11-05,21.88,22.0,21.88,21.94,13.533793529756908,12300,0.0000,1.0
1999-11-08,21.75,21.88,21.75,21.81,13.453602410391891,3400,0.0000,1.0
1999-11-09,21.94,21.94,21.81,21.94,13.533793529756908,4400,0.0000,1.0
1999-11-10,21.75,21.88,21.62,21.88,13.49678224389613,8100,0.0000,1.0
1999-11-11,22.0,22.0,21.38,21.5,13.262377433444552,12000,0.0000,1.0
1999-11-12,21.62,22.0,21.56,21.81,13.453602410391891,11300,0.0000,1.0
1999-11-15,21.81,21.94,21.5,21.5,13.262377433444552,5500,0.0000,1.0
1999-11-16,21.56,21.69,21.31,21.5,13.262377433444552,10500,0.0000,1.0
1999-11-17,21.5,21.5,21.38,21.44,13.225366147583777,10000,0.0000,1.0
1999-11-18,21.31,21.31,21.19,21.25,13.108163742357988,18000,0.0000,1.0
1999-11-19,21.25,21.25,20.38,20.38,12.571500097376743,14000,0.0000,1.0
1999-11-22,20.5,20.75,20.5,20.5,12.645522669098295,32200,0.0000,1.0
1999-11-23,20.5,20.5,20.06,20.19,12.454297692150956,14700,0.0000,1.0
1999-11-24,20.19,20.38,20.06,20.38,12.571500097376743,67000,0.0000,1.0
1999-11-26,20.5,20.5,20.44,20.5,12.645522669098295,12700,0.0000,1.0
1999-11-29,20.5,20.5,20.31,20.5,12.645522669098295,55000,0.0000,1.0
1999-11-30,20.62,21.12,20.5,21.12,13.027972622992975,35800,0.0000,1.0
1999-12-01,21.06,21.06,20.75,20.75,12.799736360184859,14200,0.0000,1.0
1999-12-02,20.88,21.0,20.88,21.0,12.953950051271423,15200,0.0000,1.0
1999-12-03,21.0,21.25,21.0,21.12,13.027972622992975,22100,0.0000,1.0
1999-12-06,21.0,21.25,20.94,21.25,13.108163742357988,19100,0.0000,1.0
