date,open,high,low,close,adj_close,volume,dividend,split
1999-11-01,22.5,23.06,22.5,22.81,9.481847209479938,129500,0.0000,1.0
1999-11-02,22.81,23.06,22.69,22.88,9.510945381538843,35800,0.0000,1.0
1999-11-03,22.69,23.0,22.5,22.75,9.456905919143736,128400,0.0000,1.0
1999-11-04,22.5,22.75,22.38,22.38,9.303101295403815,104000,0.0000,1.0
1999-11-05,22.88,22.88,22.44,22.44,9.32804258574002,22300,0.0000,1.0
1999-11-08,22.44,22.63,22.25,22.31,9.274003123344912,99300,0.0000,1.0
1999-11-09,22.25,22.5,22.25,22.38,9.303101295403815,68900,0.0000,1.0
1999-11-10,22.34,22.44,22.25,22.25,9.249061833008708,81800,0.0000,1.0
1999-11-11,22.25,22.25,22.0,22.13,9.199179252336302,21600,0.0000,1.0
1999-11-12,22.0,22.63,22.0,22.56,9.377925166412425,56000,0.0000,1.0
1999-11-15,22.38,22.56,22.38,22.38,9.303101295403815,46400,0.0000,1.0
1999-11-16,22.38,22.56,22.38,22.44,9.32804258574002,55100,0.0000,1.0
1999-11-17,22.5,22.56,22.38,22.38,9.303101295403815,39800,0.0000,1.0
1999-11-18,22.38,22.63,22.38,22.63,9.407023338471328,58100,0.0000,1.0
1999-11-19,22.44,22.63,22.38,22.63,9.407023338471328,77700,0.0000,1.0
1999-11-22,22.63,22.63,22.5,22.56,9.377925166412425,69900,0.0000,1.0
1999-11-23,22.5,23.31,22.5,23.31,9.689691295614965,203600,0.0000,1.0
1999-11-24,23.06,23.06,22.63,22.88,9.510945381538843,44200,0.0000,1.0
1999-11-26,22.75,22.75,22.75,22.75,9.456905919143736,2100,0.0000,1.0
1999-11-29,23.0,23.0,22.44,22.5,9.404944897609978,61600,0.1250,1.0
1999-11-30,22.5,23.25,22.5,23.0,9.613943673112422,70600,0.0000,1.0
1999-12-01,22.88,23.5,22.75,23.25,9.718443060863644,170200,0.0000,1.0
1999-12-02,23.06,23.25,22.94,23.06,9.639023526172714,161800,0.0000,1.0
1999-12-03,23.19,23.38,23.0,23.19,9.693363207803351,170700,0.0000,1.0
1999-12-06,23.0,23.5,23.0,23.13,9.668283354743057,216800,0.0000,1.0
1999-12-07,23.13,23.19,22.75,22.81,9.534524138421492,160500,0.0000,1.0
1999-12-08,22.75,23.0,22.25,22.38,9.354785191489391,188900,0.0000,1.0
1999-12-09,22.44,22.63,22.06,22.5,9.404944897609978,101200,0.0000,1.0
1999-12-10,22.75,22.75,22.56,22.56,9.43002475067027,76000,0.0000,1.0
1999-12-13,22.56,22.56,22.5,22.5,9.404944897609978,47000,0.0000,1.0
1999-12-14,22.56,22.56,22.38,22.44,9.379865044549685,19900,0.0000,1.0
1999-12-15,22.38,22.38,22.13,22.19,9.275365656798463,36800,0.0000,1.0
1999-12-16,22.31,22.31,21.88,21.88,9.145786415986947,109400,0.0000,1.0
1999-12-17,21.88,21.91,21.88,21.88,9.145786415986947,20300,0.0000,1.0
1999-12-20,21.88,22.0,21.56,22.0,9.195946122107534,235000,0.0000,1.0
