date,open,high,low,close,adj_close,volume,dividend,split
1999-11-01,6.38,6.38,6.19,6.38,3.7785164362879757,6300,0.0000,1.0
1999-11-02,6.31,6.62,6.31,6.62,3.9206549856154234,7000,0.0000,1.0
1999-11-03,6.69,6.69,6.56,6.62,3.9206549856154234,1300,0.0000,1.0
1999-11-04,6.62,6.62,6.5,6.5,3.8495857109516995,1100,0.0000,1.0
1999-11-05,6.5,6.5,6.38,6.5,3.8495857109516995,6900,0.0000,1.0
1999-11-08,6.5,6.5,6.25,6.44,3.814051073619838,5200,0.0000,1.0
1999-11-09,6.56,6.56,6.31,6.31,3.7370593594008032,9600,0.0000,1.0
1999-11-10,6.38,6.38,6.38,6.38,3.7785164362879757,400,0.0000,1.0
1999-11-11,6.31,6.44,6.31,6.44,3.814051073619838,11600,0.0000,1.0
1999-11-12,6.5,6.62,6.5,6.56,3.8851203482835612,4500,0.0000,1.0
1999-11-15,6.56,6.62,6.38,6.62,3.9206549856154234,29500,0.0000,1.0
1999-11-16,6.62,6.75,6.62,6.75,3.997646699834457,3300,0.0000,1.0
1999-11-17,6.88,7.19,6.81,6.81,4.033181337166319,28900,0.0000,1.0
1999-11-18,6.75,6.81,6.75,6.75,3.997646699834457,9900,0.0000,1.0
1999-11-19,6.75,6.75,6.75,6.75,3.997646699834457,5300,0.0000,1.0
1999-11-22,6.75,6.94,6.69,6.81,4.033181337166319,3500,0.0000,1.0
1999-11-23,6.81,6.81,6.69,6.81,4.033181337166319,9800,0.0000,1.0
1999-11-24,6.75,6.81,6.75,6.81,4.033181337166319,3900,0.0000,1.0
1999-11-26,6.81,6.81,6.75,6.75,3.997646699834457,400,0.0000,1.0
1999-11-29,6.81,6.81,6.75,6.75,3.997646699834457,9800,0.0000,1.0
1999-11-30,6.69,6.81,6.69,6.81,4.033181337166319,6700,0.0000,1.0
1999-12-01,6.69,6.75,6.69,6.69,3.9621120625025954,6400,0.0000,1.0
1999-12-02,6.62,6.75,6.62,6.69,3.9621120625025954,4300,0.0000,1.0
1999-12-03,6.62,6.69,6.5,6.5,3.8495857109516995,8900,0.0000,1.0
1999-12-06,6.5,6.56,6.44,6.5,3.8495857109516995,18900,0.0000,1.0
1999-12-07,6.44,6.44,6.44,6.44,3.814051073619838,23100,0.0000,1.0
1999-12-08,6.44,6.62,6.44,6.44,3.814051073619838,12900,0.0000,1.0
1999-12-09,6.5,6.5,6.38,6.38,3.7785164362879757,8500,0.0000,1.0
1999-12-10,6.38,6.5,6.38,6.44,3.814051073619838,8600,0.0000,1.0
1999-12-13,6.31,6.5,6.31,6.38,3.7785164362879757,36200,0.0000,1.0
1999-12-14,6.38,6.44,6.31,6.44,3.814051073619838,8100,0.0000,1.0
1999-12-15,6.5,6.5,6.31,6.31,3.7370593594008032,14500,0.0000,1.0
1999-12-16,6.38,6.38,6.31,6.38,3.7785164362879757,9700,0.0000,1.0
1999-12-17,6.5,6.56,6.38,6.38,3.7785164362879757,8200,0.0000,1.0
1999-12-20,6.31,6.75,6.31,6.38,3.7785164362879757,17600,0.0000,1.0
1999-12-21,6.38,6.5,6.31,6.31,3.7370593594008032,7500,0.0000,1.0
1999-12-22,6.31,6.31,6.25,6.31,3.7370593594008032,24500,0.0000,1.0
1999-12-23,6.31,6.38,6.25,6.25,3.701524722068942,13800,0.0000,1.0
1999-12-27,6.25,6.38,6.19,6.19,3.6659900847370803,15000,0.0000,1.0
