date,open,high,low,close,adj_close,volume,dividend,split
1999-11-01,34.25,35.06,33.94,33.94,15.693230702953807,63500,0.0000,1.0
1999-11-02,34.19,34.88,34.19,34.75,16.067759779836322,70100,0.0000,1.0
1999-11-03,35.0,35.0,34.13,34.56,16.06313596407234,57600,0.1800,1.0
1999-11-04,34.38,34.94,34.38,34.94,16.23975609330693,80000,0.0000,1.0
1999-11-05,35.0,35.31,34.88,35.13,16.32806615792423,119300,0.0000,1.0
1999-11-08,35.03,35.06,34.5,34.75,16.151446028689637,44100,0.0000,1.0
1999-11-09,34.75,34.75,34.31,34.75,16.151446028689637,74500,0.0000,1.0
1999-11-10,34.53,34.53,34.13,34.25,15.919051121802015,335600,0.0000,1.0
1999-11-11,34.13,34.31,33.81,33.81,15.71454360374091,43900,0.0000,1.0
1999-11-12,34.0,34.44,33.63,34.44,16.00736118641931,162300,0.0000,1.0
1999-11-15,34.31,34.38,33.81,34.13,15.863276344148987,75300,0.0000,1.0
1999-11-16,34.25,34.5,33.88,34.13,15.863276344148987,112100,0.0000,1.0
1999-11-17,33.75,34.13,33.38,33.56,15.5983461502971,106600,0.0000,1.0
1999-11-18,33.88,34.0,32.88,33.22,15.440317613613516,57800,0.0000,1.0
1999-11-19,33.28,33.44,32.5,32.94,15.310176465756449,206400,0.0000,1.0
1999-11-22,32.94,33.0,32.5,32.81,15.249753789965668,76100,0.0000,1.0
1999-11-23,32.78,32.88,31.63,31.94,14.845386651981208,73600,0.0000,1.0
1999-11-24,31.97,32.69,31.88,32.69,15.193979012312637,124200,0.0000,1.0
1999-11-26,32.38,32.75,31.94,32.5,15.105668947695342,30300,0.0000,1.0
1999-11-29,32.25,32.25,31.5,31.5,14.640879133920102,72500,0.0000,1.0
1999-11-30,31.5,31.88,31.38,31.44,14.612991745093588,100700,0.0000,1.0
1999-12-01,31.5,32.0,31.25,31.88,14.817499263154692,38000,0.0000,1.0
1999-12-02,32.13,32.13,31.5,31.5,14.640879133920102,117300,0.0000,1.0
1999-12-03,31.5,32.0,31.38,31.63,14.701301809710882,181000,0.0000,1.0
1999-12-06,31.38,31.38,30.75,30.88,14.352709449379452,120100,0.0000,1.0
1999-12-07,30.75,30.88,30.0,30.19,14.032004477874535,193500,0.0000,1.0
1999-12-08,29.88,30.19,29.5,29.5,13.711299506369619,230000,0.0000,1.0
1999-12-09,29.38,29.81,28.5,28.56,13.274397081420892,187000,0.0000,1.0
1999-12-10,28.63,29.17,28.5,28.81,13.390594534864702,243300,0.0000,1.0
1999-12-13,28.69,29.0,27.88,28.0,13.014114785706758,175300,0.0000,1.0
1999-12-14,27.75,27.75,27.25,27.25,12.665522425375325,185700,0.0000,1.0
1999-12-15,27.25,27.75,27.13,27.63,12.842142554609918,102300,0.0000,1.0
1999-12-16,27.5,27.59,26.38,26.88,12.493550194278486,146400,0.0000,1.0
1999-12-17,26.63,27.38,26.5,27.25,12.665522425375325,286400,0.0000,1.0
1999-12-20,27.25,27.38,26.69,26.69,12.405240129661191,125000,0.0000,1.0
1999-12-21,26.88,27.06,26.69,27.06,12.577212360758029,108300,0.0000,1.0
1999-12-22,27.06,27.06,26.44,26.63,12.377352740834676,71700,0.0000,1.0
1999-12-23,26.88,27.38,26.81,27.22,12.651578730962068,126600,0.0000,1.0
1999-12-27,27.06,27.69,27.06,27.63,12.842142554609918,235000,0.0000,1.0
1999-12-28,27.69,27.69,27.0,27.09,12.591156055171288,95600,0.0000,1.0
1999-12-29,27.13,27.5,27.0,27.38,12.725945101166106,51200,0.0000,1.0
1999-12-30,27.31,27.88,27.13,27.59,12.823550962058908,64200,0.0000,1.0
1999-12-31,27.22,28.0,27.19,27.94,12.986227396880244,39900,0.0000,1.0
2000-01-03,27.75,27.75,25.12,25.69,11.94045031588595,145600,0.0000,1.0
2000-01-04,24.75,25.5,24.38,25.25,11.735942797824844,142400,0.0000,1.0
2000-01-05,25.5,25.81,25.13,25.63,11.912562927059435,146900,0.0000,1.0
2000-01-06,25.75,26.63,25.5,26.13,12.144957833947055,383700,0.0000,1.0
2000-01-07,26.31,26.63,26.13,26.5,12.316930065043895,138900,0.0000,1.0
2000-01-10,26.13,26.63,24.75,24.81,11.531435279763736,140400,0.0000,1.0
2000-01-11,24.88,25.44,24.5,24.69,11.475660502110708,72300,0.0000,1.0
2000-01-12,24.38,24.88,24.31,24.56,11.415237826319926,124900,0.0000,1.0
2000-01-13,24.78,25.56,24.78,25.5,11.852140251268654,109900,0.0000,1.0
2000-01-14,25.38,27.13,25.38,26.5,12.316930065043895,154800,0.0000,1.0
2000-01-18,26.38,26.5,25.69,26.41,12.275098981804124,78700,0.0000,1.0
2000-01-19,26.06,26.44,25.5,25.94,12.05664776932976,71600,0.0000,1.0
2000-01-20,25.56,25.75,24.88,25.0,11.619745344381032,69900,0.0000,1.0
2000-01-21,25.22,25.38,24.75,24.81,11.531435279763736,241500,0.0000,1.0
2000-01-24,24.75,25.0,23.38,23.5,10.922560623718171,159000,0.0000,1.0
2000-01-25,23.69,24.88,23.13,24.81,11.531435279763736,157700,0.0000,1.0
2000-01-26,25.0,25.38,24.75,24.88,11.563970566728003,340300,0.0000,1.0
2000-01-27,25.0,25.5,24.88,25.31,11.763830186651358,412200,0.0000,1.0
2000-01-28,25.19,25.25,24.0,24.19,11.243265595223088,184800,0.0000,1.0
2000-01-31,24.5,25.31,24.13,25.25,11.735942797824844,177500,0.0000,1.0
2000-02-01,25.19,25.31,24.38,24.75,11.503547890937222,177400,0.0000,1.0
2000-02-02,24.88,24.88,24.13,24.41,11.429181520733184,246000,0.1800,1.0
2000-02-03,24.5,25.13,24.38,25.0,11.705429660726326,208900,0.0000,1.0
2000-02-04,25.0,25.0,24.56,24.69,11.560282332933319,128600,0.0000,1.0
2000-02-07,24.63,24.81,23.75,23.88,11.181026411925785,61000,0.0000,1.0
2000-02-08,24.19,24.81,24.06,24.5,11.471321067511798,221600,0.0000,1.0
2000-02-09,24.72,24.94,24.38,24.94,11.677336629540584,252700,0.0000,1.0
2000-02-10,24.63,24.88,24.25,24.56,11.49941409869754,108400,0.0000,1.0
2000-02-11,24.31,24.63,23.63,23.63,11.063972115318522,72000,0.0000,1.0
2000-02-14,23.75,23.94,23.5,23.94,11.209119443111529,77900,0.0000,1.0
2000-02-15,23.75,24.38,23.25,24.0,11.237212474297273,135400,0.0000,1.0
2000-02-16,24.19,24.19,23.38,24.0,11.237212474297273,90400,0.0000,1.0
2000-02-17,23.94,24.06,23.75,24.06,11.265305505483015,118300,0.0000,1.0
2000-02-18,24.06,24.06,23.25,23.25,10.886049584475483,227300,0.0000,1.0
2000-02-22,23.56,23.88,23.13,23.5,11.003103881082746,132800,0.0000,1.0
2000-02-23,23.53,23.69,23.13,23.38,10.94691781871126,96200,0.0000,1.0
2000-02-24,23.13,23.13,21.94,22.75,10.651940991260956,107900,0.0000,1.0
2000-02-25,22.81,23.13,22.5,22.75,10.651940991260956,68300,0.0000,1.0
2000-02-28,22.5,23.25,22.5,22.94,10.740902256682476,75200,0.0000,1.0
2000-02-29,22.94,23.13,22.5,22.69,10.623847960075214,101600,0.0000,1.0
2000-03-01,22.69,23.13,22.38,23.03,10.783041803461092,113600,0.0000,1.0
2000-03-02,22.81,22.81,22.13,22.25,10.41783239804643,71500,0.0000,1.0
2000-03-03,22.25,22.63,21.94,22.19,10.389739366860686,332700,0.0000,1.0
2000-03-06,22.06,22.38,21.63,21.88,10.24459203906768,139600,0.0000,1.0
2000-03-07,21.88,21.94,20.75,21.0,9.832560915010113,123000,0.0000,1.0
2000-03-08,20.97,21.25,20.75,21.19,9.921522180431634,76200,0.0000,1.0
2000-03-09,21.0,22.25,21.0,22.19,10.389739366860686,90000,0.0000,1.0
2000-03-10,22.0,22.38,21.94,22.25,10.41783239804643,94200,0.0000,1.0
2000-03-13,22.06,22.31,21.25,21.75,10.183723804831903,319700,0.0000,1.0
